"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051673","BP","GO:0051673","membrane disruption in another organism",13,0.965466055948708,2.33428239287504,8.80210903896944e-12,6.9994371077885e-08,6.31620813880576e-08,43,"tags=77%, list=0%, signal=77%","Defa41/Defa21/Defa30/Defa17/Defa22/Defa34/Defa20/Defa24/Defa2/Defa5"
"GO:0010817","BP","GO:0010817","regulation of hormone levels",449,-0.436642634324004,-1.76257056487288,6.75605386785363e-09,1.91949302073244e-05,1.7321274915722e-05,2525,"tags=31%, list=17%, signal=27%","Star/Gpr27/Hnf1a/Hmga2/Kcnma1/Rims2/Abcc8/Stxbp3/Lyn/Duoxa2/Lrp1/Sytl4/Sct/Vamp8/Stc2/Hsd17b11/Cpq/Abca12/Dio3/Ppard/Tg/Aacs/Bmp2/Retsat/Dhcr7/Oxct1/Jak2/Cckar/Mcu/Rdh14/Atp1a1/Blk/Ano1/Ppargc1a/Cpt1a/Hsd17b7/Hadh/Pcsk5/Papss2/Hnf4a/Bmp5/Ccdc186/Sri/Duox2/Trpa1/Nr3c1/Piwil4/Irs2/Aldh1a3/C2cd2l/Arrb1/Mfn2/Pparg/Prkn/Tcf7l2/Nos1/P2ry1/Egr1/C1qtnf3/Scnn1b/Snap25/Slc8b1/Pdgfra/Tacr1/Crabp1/Trpm4/Cyp2d22/Ptprn2/Per2/Pax8/Fam3d/Prkce/Dhrs9/Hsd17b2/Acvr1c/Cry2/Slc16a1/Dio1/Syt7/Nell2/Ugt2b5/Tnfsf11/Ddo/Cyp2d26/Trpv6/Clcn2/Nr1d1/Ugt1a7c/Ildr1/Agtr1a/Adcy5/Ffar2/Vdr/Srd5a2/Lrat/Kalrn/Adcyap1/Cacna1e/Fam3b/Edn2/Cyp2d34/Glp1r/Edn3/Pdx1/Iyd/Cd38/Akr1c18/Npy1r/Ugt1a1/Tac1/Sult1a1/Aldh1a1/Adipoq/Ugt2b36/Sult1b1/Nr1h4/Pla2g3/Gcg/Abcb1a/Adh1/Ccn3/Rdh16/Reln/Cyp2d10/Abat/Cyp26b1/Cyp2d12/Ffar3/Cyp2s1/Wnt4/Tacr2/Mep1a/Sybu/Akr1c14/Cyp2d9/Pcsk2/Hsd3b3/Ptger3/Hsd3b2/Cyp2c55"
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis",406,0.401314428587655,1.75356537283544,7.24154811644532e-09,1.91949302073244e-05,1.7321274915722e-05,5528,"tags=62%, list=38%, signal=40%","Srpk3/Cdkn2a/Luc7l3/Rpl13a/C1qbp/Ppan/Prpf39/Luc7l/Khdc4/Rpp38/Naf1/Wdr77/Nop56/Dis3/Dimt1/Rrp1b/Prmt5/Ago1/Gar1/Nle1/Snrpg/Rrs1/Psip1/Prmt7/Dhx37/Tbl3/Pih1d2/Ddx51/Mettl16/Nol8/Gemin8/Rbmx/Trmt112/Rpl24/Mrm3/Mrto4/Ptbp2/Nop16/Shq1/Znhit3/Wdr43/Ddx17/Exosc1/Nop58/Npm1/Utp25/Fastkd2/Sdad1/Pelp1/Rpp40/Gemin5/Mybbp1a/Grwd1/Ddx39b/Snrpe/Srfbp1/Lyar/Wdr36/Mettl17/Wdr75/Xpo1/Rrn3/Mdn1/Utp4/Rps21/Ruvbl2/Nudt21/Snrpd1/Wdr3/Mphosph10/Rps19/Ran/Dkc1/Mettl5/Rps8/Wdr18/Ruvbl1/Ipo4/Srsf10/Nip7/Ddx31/Rsl1d1/Coil/Exosc8/Gtpbp4/Nopchap1/Mak16/Abce1/Rsl24d1/Usp36/Celf4/Mettl15/Hsp90ab1/Rcl1/Rpl7l1/Ddx18/Prpf31/Rpl35/Smn1/Nop14/Gemin6/Suv39h1/Rbm5/Snrpd2/Urb1/Ddx28/Ptges3/Pop4/Npm3/Tsr3/Fbl/Ipo9/Nhp2/Pwp2/Kri1/Riox1/Znhit6/Gtf3a/Utp18/Rrp9/Rpf2/Rps16/Wdr12/Rpl38/Rpusd4/Srsf1/Taf9/Dhx29/Rpl5/Nol3/Dhx30/Prpf3/Srsf6/Lsg1/Utp15/Rrp15/Nufip1/Atr/Eri2/Eri3/Ftsj3/Prkdc/Nob1/Krr1/Heatr1/Gcfc2/Bysl/Nop2/Rps2/Noc4l/Pinx1/Xrcc5/Clns1a/Nup88/Esf1/Nol10/Sf3a3/Ddx27/Nol9/Pwp1/Nsun5/Aatf/Rpl6/Rpl14/Rrp8/Utp14a/Tsr2/Brix1/Rexo4/Lsm2/Eri1/Rpsa/Nol11/Cdc73/Eif2d/Snrpd3/Helq/Usp39/Rps28/Srpk2/Pes1/Rpl11/Gnl2/Rps5/Nsun4/Sf3a1/Mrm1/Rrp1/Snu13/Exosc10/Pa2g4/Rpl35a/Noc2l/Puf60/Rrp12/Rpl7/Nop9/Mrps7/Ddx21/Mrpl1/Ythdc1/Ncbp1/Nsa2/Mterf3/Rpp30/Rpl10a/Hsp90aa1/Prpf19/Rpl10/Strap/Tarbp2/Riok1/Snrpb/Gnl3l/Snrpc/Pdcd11/Ddx52/Exosc5/Sfswap/Ercc2/Luc7l2/Sf3a2/Ncl/Nvl/Isg20l2/Rps14/Eif3a/Wdr46/Nifk/Cpsf7/Rps24/Bms1/Rpl26/Rps25/Pak1ip1/Fcf1/Rps6/Ddx54/Riok2/Sf3b1/Las1l/Mcts1/Snrpf/Tfb1m/Polr2d/Ddx56/Eif2s3x/Xab2/Exosc9/Cpsf6/Traf7/Sart3"
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process",69,-0.670791696775906,-2.17680680617067,3.11068088358687e-08,4.12268906438047e-05,3.72026519007223e-05,2184,"tags=57%, list=15%, signal=48%","Grin1/Cbr1/Pon3/Cyp2b10/Cyp2u1/Gstt1/Cyp2j6/Fmo1/Hnf4a/Nos1/Fmo4/Gsto1/Cyp2d22/Acaa1b/Nr1i2/Cyp2c66/Akr1c13/Gstm2/Cyp2d26/Cyp2c69/Akr1c12/Fmo5/Rorc/Cyp2d34/Ugt1a1/Sult1a1/Sult1b1/Cyp2d10/Cyp26b1/Cyp2d12/Cyp2c68/Cyp2f2/Cyp2s1/Ahrr/Cyp2d9/Gsta1/Cyp2c65/Ugt1a6b/Cyp2c55"
"GO:0006631","BP","GO:0006631","fatty acid metabolic process",349,-0.448621421220604,-1.77764546188001,2.78542762529789e-08,4.12268906438047e-05,3.72026519007223e-05,3249,"tags=40%, list=22%, signal=32%","Ces2g/Acaa2/Acsf2/Mid1ip1/Decr2/Mapk14/Peds1/Cyp2j9/Ces2b/Hacl1/Etfa/Acadvl/C1qtnf2/Acot9/Acad10/Slc27a4/Acsl3/Acot6/Lypla1/Decr1/Acsl1/Prxl2b/Elovl1/Abhd2/Elovl7/Acat1/Acot12/Adipor1/Pam/Phyh/Mgll/Prkab1/Pdk1/Pex2/Hnf1a/Ech1/Acot11/Asah1/Acad12/Echdc1/Slc45a3/Tnfrsf1a/Abcd1/Cd74/Mmut/Acss1/Ppard/Cyp2b10/Aacs/Elovl6/Cyp2u1/Nudt7/Abcd2/Nudt19/Insig1/Acadm/Ppargc1a/Acot8/Cyp2j6/Daglb/Cpt1a/Hadh/Fmo1/Hnf4a/Liph/Crat/Lpin3/Pdk2/Irs2/Sco1/Nr1h3/Ptgis/Oxsm/Etfbkmt/Lipa/Acss2/Echdc3/Pparg/Twist1/C3/Fmo4/Cav1/Acox1/Ceacam1/Cyp2d22/Gk/Per2/Dgat2/Erlin1/Pla2g10/Acaa1b/Cryl1/Eci3/Ehhadh/Cyp2c66/Cyp4f40/Lipg/Acsm3/Cyp2d26/Thnsl2/Acad11/Cyp2c69/Acacb/Ppara/Acot4/Ces1f/Ephx2/Pla2g5/Tnxb/Ces1e/Ces1g/Edn2/Cyp2d34/Adtrp/C1qtnf9/Ces2a/Akr1c18/Pla2g4f/Adipoq/Fabp1/Pla2g3/Ces1d/Prkaa2/Cyp2d10/Ces2e/Ces2c/Cyp2d12/Cyp2c68/Cyp2f2/Hpgd/Cyp2s1/Fa2h/Pck1/Cyp4f14/Ces2f/Akr1c14/Cyp2d9/Hao2/Cyp2c65/Fabp2/Cyp2c55"
"GO:0015318","MF","GO:0015318","inorganic molecular entity transmembrane transporter activity",498,-0.419141803714639,-1.70252724964287,2.38779802551234e-08,4.12268906438047e-05,3.72026519007223e-05,2400,"tags=33%, list=16%, signal=29%","Abcc8/Slc45a3/Chp1/Slc39a2/Atp1b1/Ano10/Tmem38b/Vdac2/Uqcrfs1/Cox6c/Ptk2b/Nipal3/Slc30a4/Atp1b2/Grin1/Trpm1/Slc30a1/Slc1a1/Slc12a8/Ano7/Kcnip4/Hcn3/Grid2/Aqp11/Atp6v0a1/Trpc6/Cox5a/Mcu/Fxyd4/Atp6v0d1/Unc80/Atp1a1/Xpr1/Clca3a2/Atp2b1/Kcnk10/Psen1/Gabrd/Kcnh1/Ano1/Scn8a/CYTB/Slc20a1/Pkdrej/Cox6a1/Slc26a10/Mcoln2/Tmem63a/Slc8a1/Trpa1/Slc6a20a/Slc39a11/Kcnh3/COX3/Cox7a1/Slc5a3/Hcn2/Slc5a6/Slc37a1/Slc5a1/Tpcn1/Lrrc55/Slc5a9/Slc39a9/Tmco3/Pkd1l3/COX2/Tmem266/COX1/P2rx5/Slc13a3/Tmc5/ATP6/Lrrc8e/Apol7c/Slc41a2/Scnn1b/Stim1/Hrh1/Snap25/Slc26a4/Slc8b1/Trpm4/Ryr3/P2rx4/Slc36a2/Cnga3/Chrnb4/Lrrc26/Grik3/Scn3a/Slc46a1/Gabra3/Tmc8/Slc40a1/Tmem37/P2rx6/Slc9a7/Kcnq3/Htr3a/Slc39a4/Tmc1/Calhm6/Grin2d/Clca3b/Slc2a13/Slc10a5/Kcnk5/Trpv6/Kcnk6/Slc36a1/Kcnj15/Kcnn3/Scnn1g/Clcn2/Slc39a5/Trpm6/Atp2a3/Best2/Slc6a8/Cacna1b/Cnnm4/Apol9a/Slc24a3/Kcna5/Slc4a4/Trpv3/Gpm6a/Apol10b/Atp2c2/Cacna2d2/Cacna1e/Apol7a/Clca4a/Rhbg/Kcnk4/Clca1/Slc9a2/Gria4/Scnn1a/Clca4b/Slc37a2/Kcnd3/Clic5/Slc5a8/Slc26a2/Ano2/Slc15a1/Slc13a1/Aqp4/Slc10a6/Grin3a/Kcnf1/Cacnb2/Slc6a4/Atp12a/Nalf1/Aqp8/Slc10a4/Slc8a3/Kcnab1/Asic2/Slc26a3/Apol10a/Slc5a7/Kcna2"
"GO:0042445","BP","GO:0042445","hormone metabolic process",164,-0.543741642743654,-2.00084279249556,4.03236116832695e-08,4.58076228721941e-05,4.13362497511049e-05,2228,"tags=36%, list=15%, signal=31%","Stc2/Hsd17b11/Cpq/Dio3/Tg/Bmp2/Retsat/Dhcr7/Rdh14/Atp1a1/Ppargc1a/Hsd17b7/Pcsk5/Papss2/Bmp5/Duox2/Nr3c1/Aldh1a3/Tcf7l2/Egr1/Scnn1b/Pdgfra/Crabp1/Cyp2d22/Pax8/Dhrs9/Hsd17b2/Dio1/Ugt2b5/Ddo/Cyp2d26/Clcn2/Ugt1a7c/Srd5a2/Lrat/Cyp2d34/Iyd/Akr1c18/Ugt1a1/Sult1a1/Aldh1a1/Ugt2b36/Sult1b1/Adh1/Rdh16/Reln/Cyp2d10/Cyp26b1/Cyp2d12/Ffar3/Cyp2s1/Wnt4/Mep1a/Akr1c14/Cyp2d9/Pcsk2/Hsd3b3/Hsd3b2/Cyp2c55"
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus",121,-0.583397784745443,-2.07941632716127,8.8541068277675e-08,8.80098218680089e-05,7.94190082169619e-05,2184,"tags=40%, list=15%, signal=34%","Grin1/Cbr1/Pon3/Cyp2b10/Cyp2u1/Gstt1/Cyp2j6/Fmo1/Hnf4a/Rb1/Nos1/Mylk/Fmo4/Gsto1/Cyp2d22/Acaa1b/Prnp/Nr1i2/Ppm1e/Cyp2c66/Akr1c13/Gstm2/Cyp2d26/Cyp2c69/Akr1c12/Fmo5/Rorc/Cyp2d34/Ugt1a1/Sult1a1/Adipoq/Sult1b1/Nr1h4/Prkaa2/Cyp2d10/Cyp26b1/Cyp2d12/Cyp2c68/Cyp2f2/Cyp2s1/Ahrr/Cyp2d9/Gsta1/Dpep1/Cyp2c65/Ugt1a6b/Asic2/Cyp2c55"
"GO:0035821","BP","GO:0035821","modulation of process of another organism",29,0.793183719973139,2.35001020798353,1.05078150733555e-07,9.28423838481368e-05,8.37798542164498e-05,273,"tags=41%, list=2%, signal=41%","Defa41/Defa21/Reg1/Defa30/Defa17/Defa22/Defa34/Defa20/Defa24/Defa2/Defa5/Reg3b"
"GO:0042254","BP","GO:0042254","ribosome biogenesis",291,0.419918454200173,1.77657161077822,1.89829172719513e-07,0.000150952158146557,0.000136217417939887,5327,"tags=60%, list=36%, signal=39%","Cdkn2a/C1qbp/Ppan/Rpp38/Naf1/Nop56/Dis3/Dimt1/Rrp1b/Gar1/Nle1/Rrs1/Dhx37/Tbl3/Pih1d2/Ddx51/Mettl16/Nol8/Trmt112/Rpl24/Mrm3/Mrto4/Nop16/Shq1/Znhit3/Wdr43/Ddx17/Exosc1/Nop58/Npm1/Utp25/Fastkd2/Sdad1/Pelp1/Rpp40/Mybbp1a/Grwd1/Srfbp1/Lyar/Wdr36/Mettl17/Wdr75/Xpo1/Rrn3/Mdn1/Utp4/Rps21/Wdr3/Mphosph10/Rps19/Ran/Dkc1/Mettl5/Rps8/Wdr18/Ipo4/Nip7/Ddx31/Rsl1d1/Exosc8/Gtpbp4/Mak16/Abce1/Rsl24d1/Usp36/Mettl15/Rcl1/Rpl7l1/Ddx18/Rpl35/Nop14/Suv39h1/Urb1/Ddx28/Pop4/Npm3/Tsr3/Fbl/Ipo9/Nhp2/Pwp2/Kri1/Riox1/Znhit6/Gtf3a/Utp18/Rrp9/Rpf2/Rps16/Wdr12/Rpl38/Rpusd4/Dhx29/Rpl5/Dhx30/Lsg1/Utp15/Rrp15/Eri2/Eri3/Ftsj3/Prkdc/Nob1/Krr1/Heatr1/Bysl/Nop2/Rps2/Noc4l/Pinx1/Xrcc5/Nup88/Esf1/Nol10/Ddx27/Nol9/Pwp1/Nsun5/Aatf/Rpl6/Rpl14/Rrp8/Utp14a/Tsr2/Brix1/Rexo4/Eri1/Rpsa/Nol11/Helq/Rps28/Pes1/Rpl11/Gnl2/Rps5/Nsun4/Mrm1/Rrp1/Snu13/Exosc10/Pa2g4/Rpl35a/Noc2l/Rrp12/Rpl7/Nop9/Mrps7/Ddx21/Mrpl1/Nsa2/Mterf3/Rpp30/Rpl10a/Rpl10/Riok1/Gnl3l/Pdcd11/Ddx52/Exosc5/Ercc2/Ncl/Nvl/Isg20l2/Rps14/Wdr46/Nifk/Rps24/Bms1/Rpl26/Rps25/Pak1ip1/Fcf1/Rps6/Ddx54/Riok2"
