"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0034703","CC","GO:0034703","cation channel complex",209,-0.650399605633972,-2.22660537356377,7.10739852644442e-19,5.9396529485496e-15,4.66394972777416e-15,2895,"tags=51%, list=16%, signal=43%","Scnn1a/Kcnd1/Mcu/Trpc1/Cacna1b/Kcnh1/Kcnip3/Grin2d/Grik5/Cnga4/Cntnap2/Tmem262/Cacna2d1/Grik4/Hcn4/Pkd1l3/Kcns1/Cacnb4/Abhd6/Kcnmb1/Scn11a/Xntrpc/Trpm4/Kcng2/Catsper4/Grin2c/Cnih2/Lrrtm4/Cacna1g/Efcab9/Kcnab1/Cacna1h/Kcnc1/Kcnmb3/Scn3b/Trpc7/Abcc9/Hcn2/Cacna1c/Nrn1/Pex5l/Scn1a/Kcna5/Kcne1l/Kcnf1/Kcnk4/Kcnq2/Trdn/Kcnma1/Kcnip2/Cacna2d2/Trpc3/Catsperg1/Kcns2/Kcnv1/Kcnj11/Kcnv2/Cacng2/Snap25/Kcnc4/Gria4/Hcn1/Kcnj5/Unc80/Olfm3/Cacna2d3/Tmem249/Kcne4/Cacng5/Kcnk2/Kcnb1/Kcne2/Vwc2/Kcng4/Kcnip4/Gria2/Scn7a/Kcnj3/Cacna1e/Abcc8/Kcnd2/Akap6/Grik3/Kcnc2/Trpc4/Htr3b/Dpp6/Shisa6/Scn2a/Kcna6/Ryr3/Kcnd3/Kcng1/Ryr2/Cacnb2/Grik1/Grik2/Scn9a/Kcna1/Kcnq3/Gria1/Kcnip1/Grin3a/Htr3a/Kcna2/Dpp10"
"GO:0034702","CC","GO:0034702","ion channel complex",270,-0.609848760075759,-2.13007329029856,2.47553082388177e-18,1.034400554759e-14,8.12234692425208e-15,2895,"tags=47%, list=16%, signal=40%","Scnn1a/Kcnd1/Mcu/Trpc1/Cacna1b/Kcnh1/Kcnip3/Grin2d/Grik5/Cnga4/Cntnap2/Tmem262/Cacna2d1/Grik4/Best3/Hcn4/Pkd1l3/Kcns1/Cacnb4/Abhd6/Kcnmb1/Scn11a/Chrna4/Xntrpc/Trpm4/Kcng2/Clcn2/Catsper4/Grin2c/Gabrr2/Chrng/Cnih2/Lrrtm4/Cacna1g/Efcab9/Kcnab1/Cldn17/Cacna1h/Kcnc1/Kcnmb3/Scn3b/Trpc7/Abcc9/Chrna1/Hcn2/Grid2/Cacna1c/Nrn1/Chrna7/Pex5l/Scn1a/Kcna5/Kcne1l/Kcnf1/Kcnk4/Kcnq2/Trdn/Kcnma1/Kcnip2/Cacna2d2/Trpc3/Catsperg1/Kcns2/Kcnv1/Gabrq/Kcnj11/Kcnv2/Cacng2/Snap25/Kcnc4/Glrb/Gria4/Hcn1/Kcnj5/Unc80/Olfm3/Chrna6/Cacna2d3/Tmem249/Gabra3/Kcne4/Cacng5/Kcnk2/Kcnb1/Kcne2/Gabrg2/Chrna9/Vwc2/Kcng4/Kcnip4/Gria2/Scn7a/Kcnj3/Gabrb3/Cacna1e/Abcc8/Kcnd2/Akap6/Grik3/Kcnc2/Chrnb4/Trpc4/Htr3b/Dpp6/Shisa6/Scn2a/Kcna6/Ryr3/Ano2/Chrna5/Kcnd3/Kcng1/Ryr2/Cacnb2/Grik1/Gabrg3/Grik2/Scn9a/Kcna1/Kcnq3/Gria1/Kcnip1/Grin3a/Htr3a/Kcna2/Dpp10/Chrna3"
"GO:0034470","BP","GO:0034470","ncRNA processing",394,0.470009661530765,2.11032065325737,5.05834263666251e-18,1.05681423536472e-14,8.29834420972476e-15,5300,"tags=55%, list=30%, signal=39%","Cdkn2a/Il6/Esr1/Tnf/Wdr6/Nhp2/Tgfb1/Fbl/Rpl27/Rcl1/Rrp1b/Qtrt1/Tert/Trdmt1/Npm1/Snu13/Trmt112/Rpusd2/Elp1/Rrs1/Rps6/Gar1/Npm3/Nup155/Ddx18/Rbm3/Las1l/Ago1/Nop9/Utp4/Utp18/Ncl/Adat2/Shq1/Mrto4/Trmt10a/Wdr3/Naf1/Trmt61a/Dimt1/Ddx21/Lyar/Elp2/Ftsj3/Trmt6/Rpl10a/Pes1/Trmt9b/Ncor2/Wdr43/Ints11/Dkc1/Ddx27/Pa2g4/Wdr12/Rpp38/Trp53/Pwp2/Pop1/Ddx3x/Wdr46/Heatr1/Pusl1/Rrp15/Rpp40/Tsen2/Pwp1/Nsun2/Dus2/Ddx51/Mdn1/Pdcd11/Znhit3/Gtpbp4/Wdr55/Nol10/Riok2/Nol11/Znhit6/Wdr75/Nop2/Rrp9/Ddx10/Bop1/Gtf2h5/Polr3k/Ddx56/Wdr18/Bysl/Utp15/Dis3/Ctu2/Rps16/Tsen34/Nop14/Dhx37/Thg1l/Lin28a/Tbl3/Trub2/Thumpd1/Exosc8/Exosc1/Rrp12/Pih1d2/Egfr/Parn/Qtrt2/Mettl2/Pelp1/Prorp/Nob1/Rrp8/Thada/Rpl5/Tarbp1/Rpl35a/Pus1/Trmo/Eri1/Wdr4/Srfbp1/Pus7/Rpl7/Ncbp1/Wdr74/Rbfa/Pop4/Ints4/Utp25/Imp3/Rsl1d1/Rps14/Rpf1/Ints7/Rpf2/Exosc3/Nop10/Trit1/Rrp1/Utp3/Bms1/Rpl11/Mettl15/Tsr3/Alkbh8/Ddx54/Exosc2/Suv39h1/Ebna1bp2/Toe1/Thumpd2/Tsr1/Stat3/Ints2/Lage3/Krr1/Nol8/Zc3h7b/Tyw1/Exosc5/Yrdc/Rpl26/Utp14a/Gtpbp3/Ncbp2/Rpl7l1/Nsa2/Lsm6/Mtrex/Ddx49/Ints5/Pum1/Utp6/Nol9/Brix1/Exosc7/Tut1/Ints8/Exosc4/Pum2/Tsn/Abt1/Lcmt2/Dus4l/Ppan/Rps7/Clp1/Ssb/Dtwd1/Tut4/Osgep/Rpp14/Wbp11/Hnrnpa2b1/Rtcb/Rps21/Mettl16/Ythdf2/Mphosph10/Trnt1/Larp7/Usb1/Wdr36/Nifk/Elp3/Mak16/Elp6/Tsen15/Ints12/Cdkal1/Tsnax/Utp23/Ftsj1/Urb1/Trmt44"
"GO:0097060","CC","GO:0097060","synaptic membrane",446,-0.546264232048774,-1.95926695212682,4.89287378106548e-18,1.05681423536472e-14,8.29834420972476e-15,2398,"tags=37%, list=14%, signal=33%","Slc30a1/Grin2d/Ctnna2/Grik5/Cntnap2/Cacna2d1/Grik4/Iqsec3/Kctd8/Tmem240/Rims3/Dgki/Apba1/L1cam/Rims4/Abhd6/Scn11a/Chrna4/Flrt3/Ddn/Drd4/Lin7a/Grin2c/Nectin1/Gabrr2/Chrng/Slc6a3/Syt1/Cntn2/Cdh2/Ache/Cnih2/Lrrtm4/Ntng1/Pcdh17/Cdh9/Grm4/Cacna1h/Ank2/Kcnc1/Cntn6/Grip1/Dnm1/Cntnap1/Drd3/Rph3a/Chrna1/Apbb1/Ncam1/Adam22/Grid2/Slc6a2/Cacna1c/Cdh10/Chrna7/Cadm3/Scn1a/Cryab/P2ry4/Prrt1/Syt7/Lhfpl4/Slc8a3/Eno2/Slc6a7/Adgrb1/Cntn1/Actn2/P2rx1/Drd2/Cplx3/Kcnma1/Adra2c/Slc16a7/Epha7/Itga8/Lin7b/Prrt2/Cspg5/Cpe/Grid1/Syt6/Shank1/Gabrq/Rgs7bp/Adam23/Atp2b4/Slc6a1/Nlgn3/Pde2a/Chrm3/Chrm1/Cacng2/Otof/Snap25/Kcnc4/Glrb/Gria4/Nrcam/Syp/Sspn/Chrna6/Sorcs3/Gabra3/Igsf21/Cacng5/Kcnb1/Ntrk3/Lrrc7/Lrfn5/Gabrg2/Stx1b/Chrna9/Gria2/Kcnj3/Cbln1/Ank1/Gabrb3/Cacna1e/Plppr4/Grm7/Atp2b2/Slc8a1/Kcnd2/Snap91/Dgkb/Neto1/Grik3/Nrxn2/Chrm2/Kcnc2/Lrrc4c/Adra2a/Cdh8/Lrrc4b/Slc8a2/Chrnb4/Lrrtm1/Htr3b/Pacsin1/Shisa6/Adra1a/Scn2a/Dlg2/Lrfn2/Chrna5/Kcnd3/Slitrk1/Tenm2/Oprk1/Calb2/Grik1/Slitrk3/Gabrg3/Lrrtm3/Grik2/Kcna1/Gabre/Gria1/Rims1/Syndig1/Grin3a/Htr3a/Kcna2/Chrna3"
"GO:0043588","BP","GO:0043588","skin development",299,0.514268534928707,2.2396458565419,9.43606969570523e-18,1.57714468894017e-14,1.23840965227424e-14,2381,"tags=33%, list=14%, signal=29%","Wnt10a/Tmprss13/Krt36/Krt16/Krt6a/Tgm1/Krt14/Casp14/Inhba/Il1a/Wnt7a/Alox12/Sprr2b/Krt90/Asprv1/Cers3/Tgm3/Krt4/Wnt16/Dsg4/Apcdd1/Grhl3/Cstdc4/Fras1/Stfa2l1/Dlx3/Krt6b/Sprr2d/Ptgs2/Lgr5/Foxq1/Tnf/Scel/Krt17/Vangl2/Lhx2/Sprr2e/Sox21/Krt75/Sprr2k/Sprr2h/Foxc1/Csta1/Cldn4/Anxa1/Sprr2f/Lama5/Lor/Foxn1/Barx2/Tnfrsf19/Shh/Aloxe3/Il18/Cdh3/Lsr/Gprc5d/Macroh2a2/Mreg/Krt76/Wnt5a/Ppl/Gnasas1/Krt7/Trp63/Notch1/Celsr1/Runx1/Sprr2i/Reg3g/Igfbp5/Alox12b/Etv4/Krt83/Fzd6/Prkch/Tfap2a/Trpv1/Stmn1/Madcam1/Atp7a/Bcl11b/Runx3/Sox18/Col1a1/Epha2/Sox9/Alox8/Smo/Fermt1/Ptges3/Ltb/Itga6/Col5a2/Tfap2c/Pphln1/Hdac2/Ezh2"
"GO:0002237","BP","GO:0002237","response to molecule of bacterial origin",315,0.49539305175437,2.16944350088988,2.96866318437337e-17,4.13485303863471e-14,3.24678005111993e-14,2622,"tags=32%, list=15%, signal=28%","Cxcl5/Cxcl3/Cxcl2/S100a9/Cxcl1/S100a8/Defa21/Defa5/Defa2/Acod1/Defa20/Il1a/Defa22/Il1b/Defa34/Defa17/Il36g/Slpi/Ppbp/Il6/Defa30/Ccl2/Nlrp3/Ltf/Wfdc21/Cited1/Defa24/Ptgs2/Serpine1/Nos2/Tnf/Defa41/Cd14/Cr2/Defa3/Tnfsf4/S100a14/Trem2/Tnip3/Abca1/Cd80/Bdkrb1/Raet1a/Ccr7/Havcr2/Il12b/Cxcl15/Slc11a1/Cfh/Il36a/Cd86/Defa26/Il18/Cd300lb/Spi1/Cxcl10/Tcf3/Wnt5a/Ankrd1/Ptafr/Cxcl16/Mif/Itgav/Tgfb1/Pf4/Arid5a/Gch1/Plscr3/Scimp/Tfap2a/Tnfrsf1b/C5ar1/Cd68/Cdk4/Cxcl9/Lilrb4a/Cd84/Irf5/Nod2/Tlr9/Sbno2/Vim/Ncl/Defa35/Bmp6/Nfkbia/Pde4b/Stap1/Pdcd1lg2/Slc12a2/Gbp10/Mrc1/Lbp/Zfp709/Cd180/Tnfaip3/Il23r/Cx3cr1/Plaa/Cd55b/Fcgr2b"
"GO:0042254","BP","GO:0042254","ribosome biogenesis",293,0.509205005204388,2.20701928546617,3.83474010633096e-17,4.57813186694398e-14,3.59485260494244e-14,5360,"tags=62%, list=30%, signal=44%","Cdkn2a/Nhp2/Fbl/Ran/Rpl27/Mybbp1a/Rcl1/Rrp1b/Npm1/Snu13/Trmt112/Noc4l/Rpusd2/Rrs1/Nip7/Rps6/Gar1/Npm3/Ddx18/Las1l/Nop9/Utp4/Utp18/Ncl/Rps2/Shq1/Mrto4/Wdr3/Naf1/Dimt1/Ddx21/Lyar/Ftsj3/Grwd1/Rpl10a/Nop56/Rpl23a/Pes1/Ddx31/Wdr43/Dkc1/Nop16/Ddx27/Rplp0/Pa2g4/Wdr12/Nle1/Rpp38/Ltv1/Noc2l/Xpo1/Pwp2/Ddx3x/Wdr46/Heatr1/Rrp15/Rpp40/Urb2/Rrn3/Pwp1/Xrcc5/Ddx51/Mdn1/Pdcd11/Znhit3/Gtpbp4/Wdr55/Nol10/Abce1/Riok2/Nol11/Znhit6/Wdr75/Nop2/Rrp9/Ddx10/Bop1/Gtf2h5/Ddx56/Wdr18/Bysl/Lsg1/Utp15/Dis3/Ipo9/Rps16/Rpl6/Nop14/Gtf3a/Dhx37/Rpsa/Dhx29/Tbl3/Aatf/Ddx28/Exosc8/Sdad1/Exosc1/Rrp12/Pih1d2/Pelp1/Nob1/Rpl10/Gpatch4/Rrp8/Rpl5/Rpl35a/Eri1/Dhx30/Srfbp1/Rpl7/Rsl24d1/Wdr74/Rbfa/Pop4/Nop58/Utp25/Imp3/Rsl1d1/Rps14/Rpf1/Rpf2/Exosc3/Nop10/Pak1ip1/Rrp1/Utp3/Bms1/Rpl11/Mettl15/Tsr3/Ddx54/Exosc2/Suv39h1/Ebna1bp2/Riox2/C1qbp/Tsr1/Krr1/Nol8/Exosc5/Rpl26/Utp14a/Gnl2/Rpl7l1/Nsa2/Lsm6/Gnl3l/Mtrex/Ddx49/Utp6/Isg20l2/Nol9/Brix1/Exosc7/Exosc4/Riox1/Efl1/Rps5/Abt1/Nom1/Ipo4/Ppan/Rps7/Heatr3/Pinx1/Wbp11/Rps21/Mettl16/Ythdf2/Gtpbp10/Surf6/Mphosph10/Nmd3/Wdr36/Nifk/Mak16/Cul4a/Mrpl20/Utp23/Urb1/Rpusd1/Rpp30"
"GO:0019730","BP","GO:0019730","antimicrobial humoral response",121,0.672130164967476,2.64055251888354,6.22478254846198e-17,6.5025634696871e-14,5.10595979040947e-14,1473,"tags=42%, list=8%, signal=39%","Cxcl5/Cxcl3/Cxcl2/S100a9/Cxcl1/Defa21/Krt6a/Defa5/Defa2/Acod1/Mmp7/Defa20/Defa22/Defa34/Hmgn2-ps/Defa17/Wfdc18/Slpi/Ppbp/Defa30/Pglyrp4/Nppb/Hamp/Ltf/Wfdc21/Hamp2/Ccl20/Defa24/Ccl17/Reg1/Il17a/Pgc/Il17f/Npy/Defa41/Wfdc15b/Defa3/Trf/Ccl22/Ccl1/Wfdc17/Ighg2c/Cxcl15/Hrg/Defa26/Wfdc2/Cxcl10/Ppl/Ighm/Reg3g/Pf4"
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis",411,0.455624683062218,2.00461287714341,8.95352171385364e-17,8.31384232918609e-14,6.52821688469749e-14,5118,"tags=57%, list=29%, signal=41%","Cdkn2a/Snrpf/Nhp2/Ruvbl1/Fbl/Ran/Rpl27/Mybbp1a/Rcl1/Rrp1b/Eif2s3x/Npm1/Snu13/Trmt112/Noc4l/Prpf19/Rpusd2/Rrs1/Nip7/Rps6/Gar1/Npm3/Nudt21/Ddx18/Las1l/Ago1/Nop9/Utp4/Utp18/Ncl/Rps2/Gemin6/Snrpg/Shq1/Mrto4/Prpf31/Nopchap1/Ptges3/Wdr3/Prmt7/Naf1/Dimt1/Gemin5/Ddx21/Lyar/Ftsj3/Strap/Grwd1/Rpl10a/Ruvbl2/Polr2d/Nop56/Rpl23a/Pes1/Ddx31/Prmt5/Wdr43/Dkc1/Nop16/Ddx27/Snrpe/Rplp0/Snrpd3/Pa2g4/Wdr12/Nle1/Rpp38/Snrpd1/Ltv1/Noc2l/Psip1/Usp39/Xpo1/Sf3a3/Pwp2/Ddx3x/Wdr46/Heatr1/Rrp15/Rpp40/Urb2/Rrn3/Pwp1/Xrcc5/Ddx51/Mdn1/Pdcd11/Znhit3/Dhx9/Gemin8/Gtpbp4/Wdr55/Nol10/Abce1/Riok2/Nol11/Znhit6/Wdr75/Nop2/Rrp9/Ddx10/Bop1/Gtf2h5/Srsf10/Ddx56/Wdr18/Bysl/Lsg1/Utp15/Dis3/Ipo9/Rps16/Rpl6/Nop14/Gtf3a/Dhx37/Snrpb/Rpsa/Dhx29/Tbl3/Aatf/Cpsf6/Eif3a/Ddx28/Exosc8/Sdad1/Exosc1/Cdc73/Rrp12/Pih1d2/Snrpc/Pelp1/Smn1/Nob1/Rpl10/Snrpd2/Gpatch4/Hsp90ab1/Rrp8/Rpl5/Rpl35a/Eri1/Dhx30/Srfbp1/Rpl7/Ncbp1/Rsl24d1/Wdr74/Rbfa/Pop4/Nop58/Utp25/Atr/Imp3/Rsl1d1/Rps14/Rpf1/Rpf2/Exosc3/Nop10/Pak1ip1/Atm/Rrp1/Utp3/Hsp90aa1/Bms1/Rpl11/Mettl15/Tsr3/Wdr77/Ddx54/Eif5/Exosc2/Suv39h1/Ebna1bp2/Riox2/Nufip1/C1qbp/Tsr1/Lsm4/Krr1/Nol8/Ddx20/Exosc5/Rpl26/Utp14a/Gnl2/Rpl7l1/Nsa2/Lsm6/Gnl3l/Mtrex/Coil/Denr/Ddx49/Utp6/Isg20l2/Nol9/Brix1/Ckap5/Exosc7/Lsm2/Exosc4/Sf3a1/Eif3d/Riox1/Efl1/Rps5/Abt1/Nom1/Ipo4/Ppan/Rps7/Heatr3/Setx/Clp1/Pinx1/Wbp11/Srsf1/Rps21/Mettl16/Ythdf2/Ramac/Snrnp200/Gemin2/Gtpbp10/Surf6/Mphosph10/Nmd3/Sart3/Wdr36/Nifk/Puf60"
"GO:0005125","MF","GO:0005125","cytokine activity",178,0.591758694485521,2.47203681925508,1.41172516411964e-16,1.07252610877707e-13,8.42171739054719e-14,1473,"tags=41%, list=8%, signal=38%","Cxcl5/Cxcl3/Wnt10a/Cxcl2/Cxcl1/Wnt7b/Osm/Spp1/Inhba/Il1a/Il23a/Csf3/Il11/Wnt7a/Il1b/Wnt16/Il36g/Il17c/Ppbp/Il6/Wnt6/Ccl2/Tnfsf18/Ccl20/Il33/Csf2/Ccl17/Wnt3/Il17a/Ccl7/Slurp1/Tnf/Il17f/Timp1/Inhbb/Ccl3/Il22/Ccl24/Lif/Gdf11/Tnfsf9/Tnfsf11/Tnfsf4/Ccl22/Ccl1/Wnt8b/Ccl4/Ifne/Il1rn/Gdf3/Il12b/Cxcl15/Gdf15/Il36a/Il27/Tnfsf14/Il24/Clcf1/Il18/Thpo/Cxcl10/Wnt5a/Bmp7/Cxcl17/Cxcl16/Mif/Gdf6/Csf1/Tgfb1/Areg/Grem1/Cmtm7/Pf4"
