"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002377","BP","GO:0002377","immunoglobulin production",222,0.837600775527575,2.80359957705256,7.91041826268773e-54,6.50869214653947e-50,5.85454218999552e-50,1105,"tags=49%, list=7%, signal=46%","Igkv2-112/Igkv12-38/Igkv4-69/Ighm/Igkv4-62/Igkv3-5/Igkv2-109/Igkv3-7/Ighe/Igkv9-124/Igkv8-27/Igkv12-89/Igkv12-44/Igkv1-133/Iglv3/Igkv8-28/Igkv4-79/Igkv13-85/Igkv15-103/Igkv14-100/Igkv1-99/Igkv3-2/Igkv7-33/Igkv3-10/Igkv16-104/Igkv8-18/Igkv14-111/Igkv1-135/H2-Eb2/Igkv10-94/Igkv1-122/Igkv5-39/Igkv10-95/Igkv6-14/Igkv6-23/Igkv8-21/Igkv6-15/Igkv13-84/Igkv8-19/Igkv3-12/Igkv4-55/H2-Ob/Igkv4-57-1/Igkv4-61/Igkv6-32/Igkv8-30/Il13/Igkv4-68/Igkv6-17/Igkv4-57/Igkv1-117/Igkv4-72/Ccr6/Igkv14-126/H2-Aa/H2-DMb2/H2-DMb1/Ighd/Mzb1/Igkv4-90/Igkv10-96/Igkv5-48/H2-Ab1/Iglv1/Igkv12-46/H2-Eb1/Igkv5-43/Igkv17-121/Igkv17-127/Foxp3/Vpreb3/Lax1/Igkv4-59/H2-Oa/H2-DMa/Igkv4-91/Igkv3-4/Igkv9-120/Igkv4-74/Igkv5-45/Igkv12-98/Igkv4-58/Igkv1-110/Igkv6-20/Pou2f2/Siglecg/Igkv3-1/Igkv6-25/Pagr1a/Tnfsf13b/Tnfrsf4/Igkv1-88/Igkv4-53/Cd22/Tlr9/Igkv1-35/Igkv8-24/Nuggc/Igkv19-93/B2m/Cd28/Igkv4-50/Il6/Trdv5/Xcl1/Tbx21/Il13ra2/Btk/Cd86"
"GO:0002250","BP","GO:0002250","adaptive immune response",469,0.715716652562402,2.51331945996483,5.29802148892143e-51,2.17960604054228e-47,1.96054679413719e-47,2152,"tags=46%, list=13%, signal=42%","Igkv2-112/Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Igkv7-33/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/H2-Eb2/Cd79a/Iglc2/Ighv9-2/Tnfrsf13c/Igkv4-55/H2-Ob/Ighv13-2/Ighv1-42/Igkc/Ighg2b/Iglc3/Ighv7-1/Iglv2/Igha/Ighv5-2/Ighg2c/Il9r/Ighv1-53/Ccr6/H2-Aa/H2-DMb2/Cd74/H2-DMb1/Ighd/Igkv5-48/H2-Ab1/Iglc1/Ighv9-3/Cd8b1/Tnfrsf17/Jchain/Ighv10-3/H2-Eb1/Cd8a/Ighv1-47/Il12b/Slamf7/Il17f/Foxp3/Ighv10-1/Irf4/Lax1/Cd79b/H2-Oa/H2-DMa/Ighv1-62-2/Ighv14-3/Pdcd1lg2/Irf7/Ighv1-12/H2-Bl/Rsad2/Ighv11-2/Sh2d1a/Trat1/Ighv5-9/C9/Btla/Ighv2-2/Pou2f2/H2-Q1/Gimap3/Siglecg/Ighg3/Ighv1-55/Fcer2a/Camk4/Il12a/Tnfrsf13b/Ighv14-4/Pagr1a/Ighv1-64/H2-Q6/Cd7/Ighv9-1/Tnfsf13b/Gpr183/Il18bp/Il21r/Ccr7/Cd3e/C4b/H2-Q7/Sla2/Fcer1a/Igkv12-41/Cd3d/H2-Q2/H2-T10/Pdcd1/Cd247/Lat2/Lat/Slamf6/Skap1/Ighv1-74/Txk/Themis/C2/Il25/Ighv1-5/B2m/Cd28/Nlrp10/H2-T24/H2-M2/Treml4/Prkcb/Il6/Lag3/Tap2/Cd4/Ighv1-78/Cd3g/C1ra/Ighv1-63/Igkv9-129/Slamf1/H2-K1/Xcl1/Sh2d1b1/Tbx21/Myo1g/Spn/Sit1/Il13ra2/Gimap5/Tap1/Cd48/Itk/Btk/Cd274/Il1b/Cd86/Il18r1/Il27/Trbc2/C1s1/H2-T22/Nlrp3/Csf2rb2/Tnfsf18/Havcr2/Sash3/H2-T23/Ly9/Ccr2/Trgv1/Gzmm/Il27ra/H2-Q4/H2-D1/Foxj1/Klrk1/Inpp5d/Csf2rb/C1qa/Il17a/Il7r/Raet1e/Nod2/Mcoln2/Batf/C1qb/C1qc/Tnfrsf1b/Il12rb1/Serpinb9/Prf1/Clec4n/Ptprc/Nfkbid/P2rx7/Mef2c/Serpina3g/Pycard/Ctla4/Was/Card9/Parp3/Tarm1/Adgre1/Fcer1g/Rab27a/Fcgr1/C3/Pik3cd/Arg2/Ighv9-4/Fcamr/Unc93b1/Klrd1/Tnfsf13/Ptk2b/Slc11a1/Dpp4/Adcy7/Hlx/Hc"
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response",355,0.743497052565125,2.56310827950313,1.42671753292536e-46,3.91301062030329e-43,3.51973718385902e-43,1759,"tags=43%, list=11%, signal=39%","Igkv2-112/Igkv12-38/Igkv4-69/Ighm/Igkv4-62/Igkv3-5/Igkv2-109/Igkv3-7/Ighe/Igkv9-124/Igkv8-27/Igkv12-89/Igkv12-44/Igkv1-133/Iglv3/Igkv8-28/Igkv4-79/Igkv13-85/Igkv15-103/Igkv14-100/Igkv1-99/Igkv3-2/Igkv7-33/Igkv3-10/Igkv16-104/Igkv8-18/Igkv14-111/Igkv1-135/H2-Eb2/Igkv10-94/Igkv1-122/Igkv5-39/Igkv10-95/Igkv6-14/Igkv6-23/Igkv8-21/Igkv6-15/Igkv13-84/Igkv8-19/Igkv3-12/Prg2/Igkv4-55/H2-Ob/Igkv4-57-1/Igkv4-61/Igkv6-32/Igkv8-30/Il13/Igkv4-68/Igkv6-17/Igkv4-57/Igkv1-117/Igkv4-72/Ccr6/Igkv14-126/H2-Aa/H2-DMb2/Cd74/H2-DMb1/Ighd/Mzb1/Igkv4-90/Igkv10-96/Igkv5-48/H2-Ab1/Iglv1/Igkv12-46/H2-Eb1/Igkv5-43/Il12b/Igkv17-121/Igkv17-127/Il17f/Foxp3/Vpreb3/Lax1/Igkv4-59/H2-Oa/H2-DMa/Igkv4-91/Igkv3-4/Igkv9-120/Rsad2/Igkv4-74/Igkv5-45/Igkv12-98/Igkv4-58/Igkv1-110/Igkv6-20/Twist2/Pou2f2/Gimap3/Siglecg/Nr4a3/Igkv3-1/Il12a/Igkv6-25/Pagr1a/Tnfsf13b/Trim55/Tnfrsf4/Igkv1-88/Igkv4-53/Cd22/Fcer1a/Tlr9/Igkv1-35/Igkv8-24/Nuggc/Igkv19-93/Il25/B2m/Cd28/Igkv4-50/Il6/Cd96/Ptpn22/Scimp/Trdv5/Spink5/Slamf1/Xcl1/Tbx21/Il13ra2/Gimap5/Btk/Il1b/Cd86/Il18r1/Nlrp3/Bst2/Sash3/Ccr2/Il27ra/Cd36/Rasgrp1/Il17a/Il7r/Angpt1/Nod2/Igkv11-125/Tgfb3/Batf/Tnfrsf1b/Trim6/Cd27/Lgals4/Laptm5/Ptprc/P2rx7/Pycard"
"GO:0009897","CC","GO:0009897","external side of plasma membrane",477,0.695557622583571,2.44304147101637,5.70118386429008e-46,1.17273352088447e-42,1.05486904604799e-42,2199,"tags=49%, list=13%, signal=43%","Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Cd209a/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Nlgn1/Ighv1-43/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/H2-Eb2/Cd79a/Iglc2/Fcmr/Ighv9-2/Tnfrsf13c/Cxcr5/Ighv13-2/Ighv1-42/Il13/Igkc/Ighg2b/Iglc3/Clec4a4/Folr1/Ighv7-1/Art2b/Igha/Ighv5-2/Btnl1/Ighg2c/Il9r/Ighv1-53/Ccr6/H2-Aa/Clec2g/Ms4a1/Cd74/Ighd/H2-Ab1/Iglc1/Btnl2/Ighv9-3/Cd8b1/Cd209d/Ighv10-3/H2-Eb1/Cd8a/Ighv1-47/Il12b/Ccr3/Izumo1r/Ccr10/Slamf7/Ighv10-1/Cd79b/Ccr4/Ccr8/Ighv1-62-2/Fasl/Ighv14-3/Pdcd1lg2/Clec2i/Ighv1-12/H2-Bl/Ighv11-2/Klri1/Ighv5-9/Trgc2/Btla/Igsf21/Ighv2-2/H2-Q1/Ighg3/Flt3/H60b/Ighv1-55/Fcer2a/Mgl2/Muc3/Cd6/Il2ra/Tnfrsf13b/Btnl6/Ighv14-4/Wnt2/Ighv1-64/H2-Q6/Clec10a/Asgr2/Ighv9-1/Klre1/Tnfrsf4/Klrb1b/Cd69/Klra7/Il21r/Ccr7/Cd3e/Btnl4/Cd22/H2-Q7/Glrb/Xcr1/Fcer1a/Sele/Cd3d/H2-Q2/H2-T10/Pdcd1/Cd2/Slamf6/Selp/Ighv1-74/Trgc4/Ms4a2/Cxcl10/Ighv1-5/B2m/Cd28/Stab2/H2-T24/H2-M2/Trpv1/Icos/Scart2/Il2rb/Cd200r4/Clec4a3/Il6/Lag3/Cd4/Abcg2/Ighv1-78/Cd3g/Il2rg/Ighv1-63/Itgax/Slamf1/H2-K1/Cd14/Cxcr3/Scnn1g/Cd80/Cd5/Spn/Il13ra2/Clec4a1/Cd209f/Cd48/Cd274/Cd86/Vcam1/Trbc2/H2-T22/Csf2rb2/Ccr5/Ly6a/Clec7a/Ly6c1/Nt5e/H2-T23/Ly9/Ccr2/Trgv1/Car4/Btnl9/Klrb1c/Il27ra/Cd36/H2-Q4/H2-D1/Klrk1/Kcnj5/Itgae/H60c/Csf2rb/Il5ra/Clec2h/Il17a/Il7r/Fcgrt/Ly6g/Raet1e/Mill2/Cd27/Il12rb1/Folr2/Epha5/Clec4n/Ptprc/Cd34/P2rx7/Muc16/Ctla4/Adam4/Gfra2/Tnfrsf18/Vpreb1/Itgb6/Itgal/Atp1b2/Mcam/Thy1/Adgre1/Fcer1g/Fcgr1/Ighv9-4/Robo4/Klrd1/Tnfsf13/Klri2/Ebi3/Ctsk/Pecam1/Thbd/Clec2f/Itga8/Cxcl9/Scnn1a/Lgals3/Cxcr6/Lepr/Clec4e"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",442,0.69555607813696,2.43114476806255,1.18728411123665e-42,1.95379473345104e-39,1.75743043917998e-39,2544,"tags=47%, list=15%, signal=41%","Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Klrb1a/Ighv1-31/Ighv1-76/Cd19/H2-Eb2/Iglc2/Ighv9-2/H2-Ob/Ighv13-2/Ighv1-42/Il13/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Ighg2c/Il9r/Ighv1-53/Ccr6/H2-Aa/H2-DMb2/Cd74/H2-DMb1/Ighd/H2-Ab1/Iglc1/Ighv9-3/Ighv10-3/H2-Eb1/Cd8a/Ighv1-47/Il12b/Foxp3/Ighv10-1/H2-Oa/H2-DMa/Ighv1-62-2/Ighv14-3/Irf7/Ighv1-12/H2-Bl/Rsad2/Ighv11-2/Sh2d1a/Klri1/Ighv5-9/C9/Ighv2-2/Pou2f2/H2-Q1/Gimap3/Nr4a3/Ighg3/H60b/Ighv1-55/Fcer2a/Il12a/Ighv14-4/Pagr1a/Blk/Ighv1-64/H2-Q6/Ighv9-1/Klre1/Klrb1b/Il21r/C4b/H2-Q7/Fcer1a/H2-Q2/H2-T10/Tlr9/Cd2/Lat2/Lat/Ccl2/Slamf6/Nkg7/Ighv1-74/Ms4a2/C2/Il25/Ighv1-5/B2m/Cd28/H2-T24/H2-M2/Treml4/Il6/Cd96/Lag3/Tap2/Scimp/Ighv1-78/C1ra/Ighv1-63/Slamf1/H2-K1/Xcl1/Sh2d1b1/Stap1/Tbx21/Myo1g/Spn/Il13ra2/Gimap5/Tap1/Btk/Il1b/Il18r1/Trbc2/C1s1/H2-T22/Nlrp3/Csf2rb2/Dnase1l3/Bst2/Havcr2/Sash3/H2-T23/Ccr2/Adora2b/Klrb1c/Gzmm/Il27ra/H2-Q4/H2-D1/Foxj1/Klrk1/Inpp5d/H60c/Coro1a/Csf2rb/C1qa/Rasgrp1/Il7r/Raet1e/Nod2/Chga/Cd300a/Batf/C1qb/C1qc/Tnfrsf1b/Serpinb9/Prf1/Myo1f/Ptprc/P2rx7/Nlrp6/Grp/Anxa3/Was/Rac2/Card9/Parp3/Adora3/Fcer1g/Rab27a/Fcgr1/C3/Ighv9-4/Unc93b1/Spi1/Klrd1/Tnfsf13/Klri2/Slc11a1/Dpp4/Pik3r6/Hc/Cebpg/Hmox1/Tgfb1/Fgr/Ptafr/Cx3cr1/Itgb2/Klrb1/Fzd5/Bcl3/Nckap1l/Cd160/Ctsc/Slc15a4/Gata1/Fut7/Ncf1/H2-M3/Unc13d/Icosl"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",344,0.728514896320139,2.50994056780426,3.8846033231693e-41,5.3270860238395e-38,4.79169227459708e-38,2152,"tags=48%, list=13%, signal=42%","Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Klrb1a/Ighv1-31/Ighv1-76/Cd19/H2-Eb2/Iglc2/Ighv9-2/H2-Ob/Ighv13-2/Ighv1-42/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Ighg2c/Il9r/Ighv1-53/Ccr6/H2-Aa/H2-DMb2/Cd74/H2-DMb1/Ighd/H2-Ab1/Iglc1/Ighv9-3/Ighv10-3/H2-Eb1/Cd8a/Ighv1-47/Il12b/Foxp3/Ighv10-1/H2-Oa/H2-DMa/Ighv1-62-2/Ighv14-3/Irf7/Ighv1-12/H2-Bl/Rsad2/Ighv11-2/Sh2d1a/Klri1/Ighv5-9/C9/Ighv2-2/Pou2f2/H2-Q1/Gimap3/Ighg3/H60b/Ighv1-55/Fcer2a/Il12a/Ighv14-4/Pagr1a/Ighv1-64/H2-Q6/Ighv9-1/Klre1/Klrb1b/Il21r/C4b/H2-Q7/Fcer1a/H2-Q2/H2-T10/Cd2/Slamf6/Nkg7/Ighv1-74/C2/Il25/Ighv1-5/B2m/Cd28/H2-T24/H2-M2/Treml4/Il6/Cd96/Lag3/Tap2/Ighv1-78/C1ra/Ighv1-63/Slamf1/H2-K1/Xcl1/Sh2d1b1/Tbx21/Myo1g/Spn/Il13ra2/Gimap5/Tap1/Btk/Il1b/Il18r1/Trbc2/C1s1/H2-T22/Nlrp3/Csf2rb2/Havcr2/Sash3/H2-T23/Ccr2/Klrb1c/Gzmm/Il27ra/H2-Q4/H2-D1/Foxj1/Klrk1/Inpp5d/H60c/Coro1a/Csf2rb/C1qa/Rasgrp1/Il7r/Raet1e/Nod2/Batf/C1qb/C1qc/Tnfrsf1b/Serpinb9/Prf1/Ptprc/P2rx7/Was/Card9/Parp3/Fcer1g/Rab27a/Fcgr1/C3/Ighv9-4/Unc93b1/Klrd1/Tnfsf13/Klri2/Slc11a1/Dpp4/Pik3r6/Hc"
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway",411,0.688052581831067,2.3990193209479,6.5091388067229e-38,7.65102772881658e-35,6.88206841354417e-35,2199,"tags=39%, list=13%, signal=35%","Ighm/Ighv1-49/Ighv1-69/Fcrl5/Ighv14-2/Ighe/Ighv1-77/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/Cd79a/Iglc2/Ighv9-2/Ighv13-2/Ighv1-42/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Btnl1/Ighg2c/Ighv1-53/Ms4a1/Ighd/Iglc1/Btnl2/Oas3/Ighv9-3/Ighv10-3/Cd8a/Ighv1-47/Tespa1/Foxp3/Ighv10-1/Irf4/Lax1/Cd79b/Ddx60/Ighv1-62-2/Ighv14-3/Irf7/Clec2i/Ighv1-12/Rsad2/Trim30a/Ighv11-2/Sh2d1a/Trat1/Klri1/Ighv5-9/Btla/Ighv2-2/Nr4a3/Ighg3/Ighv1-55/Btnl6/Ighv14-4/Blk/Ighv1-64/Ighv9-1/Klre1/Ccr7/Cd180/Cd3e/Btnl4/Nlrp1b/Cd22/Dhx58/Sla2/Lrrc19/Tlr9/Cd247/Lat2/Oas1g/Skap1/Ighv1-74/Txk/Themis/Ms4a2/Ighv1-5/Cd28/Treml4/Cd300ld3/Prkcb/Oasl1/Bcl2a1d/Mefv/Oas1a/Ptpn22/Scimp/Ighv1-78/Nlrp1a/Ighv1-63/Tnip3/Cd14/Sh2d1b1/Stap1/Myo1g/Tlr12/Themis3/Itk/Btk/Cd86/Pvrig/Plcl2/Trbc2/Nlrp3/Clec7a/Havcr2/Btnl9/Cd36/Klrk1/Ifih1/Ubash3a/Tasl/Igtp/Nfatc2/Gcsam/Nod2/S100a14/Cd300a/Laptm5/Cd38/Trim15/Clec4n/Ptprc/Nfkbid/Slc15a3/Mef2c/Pycard/Nlrp6/Sh2b2/Ctla4/Lcp2/Kcnn4/Thy1/Casp1/Fcer1g/Pigr/Wdfy1/Ighv9-4/Unc93b1/Nr1h3/Klrd1/Klri2/Plscr2/Prnp/Lpxn/Lgals3/Tifa/Irf1/Clec4e"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",360,0.710875442178242,2.45298397161604,8.85570791243209e-38,9.1080955879364e-35,8.192695043725e-35,2152,"tags=45%, list=13%, signal=40%","Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/H2-Eb2/Iglc2/Ighv9-2/Tnfrsf13c/H2-Ob/Ighv13-2/Ighv1-42/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Ighg2c/Il9r/Ighv1-53/Ccr6/H2-Aa/H2-DMb2/Cd74/H2-DMb1/Ighd/H2-Ab1/Iglc1/Ighv9-3/Ighv10-3/H2-Eb1/Cd8a/Ighv1-47/Il12b/Foxp3/Ighv10-1/Irf4/H2-Oa/H2-DMa/Ighv1-62-2/Ighv14-3/Irf7/Ighv1-12/H2-Bl/Rsad2/Ighv11-2/Ighv5-9/C9/Ighv2-2/Pou2f2/H2-Q1/Gimap3/Ighg3/Ighv1-55/Fcer2a/Il12a/Ighv14-4/Pagr1a/Ighv1-64/H2-Q6/Ighv9-1/Tnfsf13b/Il18bp/Il21r/Ccr7/C4b/H2-Q7/Fcer1a/H2-Q2/H2-T10/Slamf6/Ighv1-74/C2/Il25/Ighv1-5/B2m/Cd28/Nlrp10/H2-T24/H2-M2/Treml4/Il6/Tap2/Cd4/Ighv1-78/C1ra/Ighv1-63/Slamf1/H2-K1/Xcl1/Tbx21/Myo1g/Spn/Il13ra2/Gimap5/Btk/Cd274/Il1b/Il18r1/Il27/Trbc2/C1s1/H2-T22/Nlrp3/Csf2rb2/Tnfsf18/Havcr2/Sash3/H2-T23/Ly9/Ccr2/Gzmm/Il27ra/H2-Q4/H2-D1/Foxj1/Inpp5d/Csf2rb/C1qa/Il7r/Raet1e/Nod2/Batf/C1qb/C1qc/Tnfrsf1b/Il12rb1/Serpinb9/Prf1/Clec4n/Ptprc/Nfkbid/P2rx7/Mef2c/Was/Card9/Parp3/Fcer1g/Rab27a/Fcgr1/C3/Ighv9-4/Unc93b1/Klrd1/Tnfsf13/Slc11a1/Dpp4/Hlx/Hc"
"GO:0002253","BP","GO:0002253","activation of immune response",325,0.723679328613775,2.48641841904041,1.56251768445374e-37,1.42848838974282e-34,1.28491951337944e-34,2168,"tags=46%, list=13%, signal=41%","Ighm/Ighv1-49/Ighv1-69/Fcrl5/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/Cd79a/Iglc2/Ighv9-2/Ighv13-2/Ighv1-42/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Btnl1/Ighg2c/Ighv1-53/Ms4a1/Ighd/Iglc1/Btnl2/Ighv9-3/Ighv10-3/Cd8a/Ighv1-47/Ifi208/Tespa1/Foxp3/Ighv10-1/Lax1/Cd79b/C7/Ighv1-62-2/Ifi206/Trim30d/Ighv14-3/Clec2i/Ighv1-12/Trim30a/Ighv11-2/Sh2d1a/Trat1/Klri1/Ighv5-9/C9/Ighv2-2/Nr4a3/Ighg3/Ighv1-55/Btnl6/Ighv14-4/Ifi209/Blk/Ighv1-64/Ighv9-1/Klre1/Ccr7/Cd3e/Ifi211/Btnl4/C4b/Cd22/Sla2/Ifi205/Mfap4/Zbp1/Tlr9/Cd247/Lat2/Skap1/Ighv1-74/Txk/Themis/C2/Ighv1-5/Cd28/Mndal/Ifi203/Prkcb/Bcl2a1d/Ptpn22/Ighv1-78/C1ra/Ighv1-63/Rgcc/Ifi204/Ifi207/Stap1/Myo1g/C6/Themis3/Itk/Btk/Il1b/Pvrig/Trim12a/Plcl2/Trbc2/C1s1/Clec7a/Colec10/Btnl9/Klrk1/Ubash3a/Nfatc2/C1qa/Gcsam/Nod2/Cd300a/C1qb/Trim12c/C1qc/Laptm5/Cd38/Clec4n/Ptprc/Nfkbid/Mef2c/Pycard/Sh2b2/Ctla4/Cfp/Lcp2/Kcnn4/Thy1/Fcer1g/C3/Trim5/Ighv9-4/A2m/Klrd1/Klri2/Plscr2/Prnp/Hc/Lpxn/Lgals3"
"GO:0042113","BP","GO:0042113","B cell activation",309,0.723531090961635,2.48859119093172,1.99754113126308e-35,1.64357684280326e-32,1.47839070462218e-32,2107,"tags=40%, list=13%, signal=36%","Ighm/Ighv1-49/Ighv1-69/Ighv14-2/Ighe/Ighv1-77/Cr2/Ighv1-67/Ighv3-5/Ighv7-3/Ighv1-43/Ighv1-82/Ighv1-58/Ighv1-31/Ighv1-76/Cd19/Cd79a/Iglc2/Ighv9-2/Tnfrsf13c/Cxcr5/Ighv13-2/Ighv1-42/Il13/Igkc/Ighg2b/Iglc3/Ighv7-1/Igha/Ighv5-2/Ighg2c/Il9r/Ighv1-53/Ccr6/Ms4a1/Cd74/Ighd/Mzb1/H2-Ab1/Iglc1/Ighv9-3/Ighv10-3/Spib/Ighv1-47/Bank1/Foxp3/Ighv10-1/Lax1/Cd79b/Pou2af1/Tshr/Ighv1-62-2/Ighv14-3/Ighv1-12/Ighv11-2/Ighv5-9/Btla/Fcrl1/Ighv2-2/Pou2f2/Siglecg/Ighg3/Flt3/Ikzf3/Ighv1-55/Tnfrsf13b/Ighv14-4/Igkj5/Pagr1a/Blk/Ighv1-64/Ighv9-1/Tnfsf13b/Tnfrsf4/Gpr183/Cd180/Cd22/Gimap1/Tlr9/Lat2/Ighv1-74/Cdkn2a/Ighv1-5/Cd28/Slamf8/Prkcb/Il6/Ighv1-78/Il2rg/Ighv1-63/Tbx21/Btk/Cd86/Plcl2/Trbc2/Sash3/Dock10/Sfrp1/Il27ra/Foxj1/Inpp5d/Nfatc2/Rasgrp1/Il7r/Nod2/Cd300a/Batf/Il7/Cd27/Laptm5/Cd38/Ptprc/Mef2c/Ctla4/Vpreb1/Lgals1/Lyl1/Tbc1d10c/Parp3/Pik3cd/Ighv9-4/Spi1/Tnfsf13/Ptk2b/Dpp4"
