"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0097060","CC","GO:0097060","synaptic membrane",438,-0.566698171288272,-1.96617704008196,2.2083597040768e-19,1.83558858602864e-15,1.44473216429866e-15,2681,"tags=38%, list=16%, signal=33%","Gabbr1/L1cam/Iqsec3/Chrm4/Chrnb2/P2rx2/Slc8a3/Snph/Cntn5/Apba1/Cacna2d1/Rph3a/Nrgn/Flrt3/Grin2a/Lrrtm4/Cnr1/Slc6a1/Grm1/Cdh10/Chrna10/Kcnd1/Lrfn3/Abhd6/Rims3/Syt1/Nectin1/Lin7a/Scn11a/Grm8/Drd4/Prkcg/Ctnna2/Grik5/Adam23/Syt7/Cntn2/Apbb1/Ache/Grid2/Cnih2/Ank2/Kcnc1/Cntnap1/Ncam1/Cadm3/Dnm1/Lhfpl4/Grm4/Syt6/Nlgn1/Slc6a2/Tmem240/Cntnap2/Adam22/Drd3/Grip1/Cnih3/Gria4/Gabrq/Cdh2/Eno2/Cntn1/Kcnma1/Adgrb1/Snap91/Rgs7bp/Chrna1/Kcnc4/Gabrr2/Lrrc7/Nrcam/Chrna4/Actn2/Cspg5/Cacna1c/Prrt1/Lin7b/P2rx1/Snap25/Chrm1/Plppr4/Slc6a7/Ntng1/Cacna1h/Atp2b4/Gabra3/Sspn/Adra2c/Drd1/Cacng2/Otof/Chrna7/Cpe/Epha7/Cryab/Syp/Shank1/Slc16a7/Chrna9/Chrna6/Cacna1e/Pde2a/Itga8/Adra1a/Igsf21/Lrrc4b/Kcnj3/Gabrg2/Chrm3/Ank1/Sorcs3/Cacng5/Neto1/Stx1b/Glrb/Shisa6/Slc8a1/Kcnb1/Grik3/Kcnc2/Lrrtm1/Chrna5/Lrfn5/Cdh8/Dgki/Chrnb4/Grid1/Nlgn3/Dlg2/Grik1/Gabrg3/Cbln1/Grm7/Kcnd3/Nrxn2/Lrrtm3/Chrm2/Slc8a2/Ntrk3/Lrfn2/Scn2a/Adra2a/Slitrk1/Htr3b/Oprk1/Kcnd2/Pacsin1/Atp2b2/Grik2/Lrrc4c/Kcna1/Calb2/Slitrk3/Gabrb3/Dgkb/Syndig1/Gria2/Tenm2/Gabre/Kcna2/Gria1/Rims1/Grin3a/Htr3a/Chrna3"
"GO:0043588","BP","GO:0043588","skin development",297,0.527741722437407,2.2996327464944,7.21766861238892e-18,2.99966307530884e-14,2.36093739084196e-14,2258,"tags=32%, list=13%, signal=28%","Tmprss13/Wnt10a/Krt36/Casp14/Krt6a/Krt14/Krt16/Tgm3/Sprr2b/Tgm1/Inhba/Krt90/Sprr2d/Alox12/Il1a/Dsg4/Krt4/Asprv1/Cers3/Wnt16/Grhl3/Wnt7a/Fras1/Sprr2k/Cstdc4/Apcdd1/Sprr2i/Krt6b/Sprr2f/Sprr2h/Lhx2/Stfa2l1/Csta1/Ptgs2/Sprr2e/Dlx3/Scel/Tnf/Gprc5d/Lor/Foxq1/Vangl2/Lgr5/Sox21/Anxa1/Foxn1/Cldn4/Krt17/Trp63/Il18/Trpv1/Krt75/Tfap2a/Cyp26b1/Lama5/Barx2/Shh/Wnt5a/Foxc1/Lsr/Krt83/Mreg/Celsr1/Tnfrsf19/Prkch/Krt7/Notch1/Alox12b/Runx1/Ppl/Igfbp5/Fzd6/Atp7a/Macroh2a2/Col1a1/Snai1/Etv4/Col5a2/Sox18/Fgf7/Ltb/Itgb6/Itga6/Epha2/Cdh3/Reg3g/Madcam1/Cdsn/Stmn1/Bcl11b/Itgb4/Aloxe3/Runx3/Egfr"
"GO:0045211","CC","GO:0045211","postsynaptic membrane",301,-0.60014847898464,-2.05722104694766,1.45981761497306e-17,4.04466800521869e-14,3.18342683405529e-14,2681,"tags=41%, list=16%, signal=35%","Gabbr1/Iqsec3/Chrm4/Chrnb2/Slc8a3/Cacna2d1/Rph3a/Nrgn/Flrt3/Grin2a/Lrrtm4/Slc6a1/Grm1/Cdh10/Chrna10/Kcnd1/Lrfn3/Abhd6/Lin7a/Drd4/Ctnna2/Grik5/Cntn2/Apbb1/Ache/Grid2/Cnih2/Ank2/Kcnc1/Ncam1/Lhfpl4/Nlgn1/Adam22/Drd3/Grip1/Cnih3/Gria4/Gabrq/Cdh2/Cntn1/Kcnma1/Adgrb1/Rgs7bp/Chrna1/Kcnc4/Gabrr2/Lrrc7/Nrcam/Chrna4/Actn2/Cspg5/Cacna1c/Prrt1/Lin7b/P2rx1/Chrm1/Plppr4/Cacna1h/Gabra3/Sspn/Adra2c/Drd1/Cacng2/Chrna7/Epha7/Shank1/Slc16a7/Chrna9/Chrna6/Cacna1e/Adra1a/Igsf21/Lrrc4b/Gabrg2/Chrm3/Ank1/Sorcs3/Cacng5/Neto1/Glrb/Shisa6/Slc8a1/Kcnb1/Grik3/Kcnc2/Lrrtm1/Chrna5/Lrfn5/Dgki/Chrnb4/Grid1/Nlgn3/Dlg2/Grik1/Gabrg3/Cbln1/Grm7/Kcnd3/Lrrtm3/Chrm2/Slc8a2/Ntrk3/Lrfn2/Adra2a/Slitrk1/Htr3b/Oprk1/Kcnd2/Pacsin1/Atp2b2/Grik2/Lrrc4c/Kcna1/Slitrk3/Gabrb3/Dgkb/Syndig1/Gria2/Tenm2/Gabre/Gria1/Grin3a/Htr3a/Chrna3"
"GO:0034702","CC","GO:0034702","ion channel complex",263,-0.614517273597027,-2.0904821850916,3.13903054593658e-17,6.52290547445621e-14,5.13396706394627e-14,2821,"tags=46%, list=16%, signal=39%","Pkd1l3/Clcn2/Cacna1a/Clcnkb/Kcnh2/Kcnq5/Chrnb2/Trpm4/Kcnip3/Cacna2d1/Cnga4/Kcnf1/Grin2a/Lrrtm4/Chrna10/Kcnq4/Catsperb/Efcab9/Trpc1/Kcnd1/Kcnmb3/Abhd6/Kcns1/Kcna5/Kcnk4/Scn11a/Hcn2/Hcn4/Vwc2/Cacna2d2/Grik5/Hcn1/Stac3/Grid2/Cnih2/Cacnb4/Kcnc1/Cacna1g/Abcc9/Kcnmb1/Cntnap2/Cnih3/Gria4/Gabrq/Kcnma1/Kcng2/Tmem249/Chrna1/Kcnc4/Kcne2/Gabrr2/Trpc3/Chrna4/Cacna1c/Snap25/Kcne1l/Nrn1/Catsper4/Cacna1h/Xntrpc/Gabra3/Kcnip2/Cacng2/Unc80/Scn3b/Chrna7/Olfm3/Chrna9/Chrna6/Kcng4/Kcnj5/Kcnq2/Cacna1e/Kcne4/Cacna2d3/Kcnj3/Trpc7/Gabrg2/Pex5l/Kcnip4/Dpp6/Cacng5/Catsperg1/Kcnj11/Glrb/Shisa6/Kcnb1/Grik3/Kcnc2/Abcc8/Chrna5/Kcng1/Ano2/Chrnb4/Kcnk2/Akap6/Grik1/Gabrg3/Cacnb2/Kcnd3/Scn7a/Trpc4/Ryr3/Scn2a/Htr3b/Kcnd2/Grik2/Kcna1/Ryr2/Gabrb3/Kcna6/Gria2/Scn9a/Kcnq3/Kcna2/Gria1/Dpp10/Grin3a/Htr3a/Kcnip1/Chrna3"
"GO:0050900","BP","GO:0050900","leukocyte migration",368,0.48426951810117,2.12440929332425,7.42896059891303e-17,1.2349904099633e-13,9.72020844678831e-14,2239,"tags=31%, list=13%, signal=28%","Cxcl5/Cxcl3/Cxcl2/S100a8/S100a9/Cxcl1/Trem1/Cxcr2/Sele/Spp1/Il23a/Il1a/Prss56/Il1b/Fut9/Mmp9/Ppbp/Sell/Gp2/Selp/Ccl2/Nlrp12/Trem3/Il17a/Ccl20/Ccl7/Retnlg/Serpine1/Ccl17/Tnfsf18/Adam8/Tnfsf11/Ccl24/Il33/Csf3r/Tnf/Icam1/S100a14/Ccl3/Ccr6/Ptn/Anxa1/Bdkrb1/Tnfsf4/Ccr7/Ccl22/Thbs4/Bst1/Cxcl10/Trem2/Slamf9/Spns2/Tnfsf14/Ccl1/Cxcr1/Ccl4/Il34/Mmp14/Cadm1/Jaml/Ccr1/Wnt5a/Pgf/Spi1/Ptafr/Pf4/Ripor2/Pdgfb/Cxcr5/Cd81/Cd300a/Itgb2/Slamf1/Cxcl9/Grem1/Cxcl16/Lbp/Ccr2/Mif/Ppia/Rtn4/Fcgr3/Gcsam/Vegfc/C5ar1/Tgfb1/S1pr1/Ch25h/Gcnt1/C5ar2/Fut7/F7/Coro1a/Ptpro/Cd74/Csf1/Cxcl17/Itgal/App/Dusp1/Nckap1l/Itga6/Smpd3/Prex1/Adam10/Pde4b/Thbs1/Madcam1/Fcer1g/Cd47/Rin3/Gpr183/Csf1r/Cnr2/C3ar1"
"GO:0034703","CC","GO:0034703","cation channel complex",203,-0.647085955742618,-2.15391866551176,1.05225911072162e-16,1.45772962138635e-13,1.14733164440962e-13,2821,"tags=49%, list=16%, signal=42%","Pkd1l3/Cacna1a/Kcnh2/Kcnq5/Trpm4/Kcnip3/Cacna2d1/Cnga4/Kcnf1/Grin2a/Lrrtm4/Kcnq4/Catsperb/Efcab9/Trpc1/Kcnd1/Kcnmb3/Abhd6/Kcns1/Kcna5/Kcnk4/Scn11a/Hcn2/Hcn4/Vwc2/Cacna2d2/Grik5/Hcn1/Stac3/Cnih2/Cacnb4/Kcnc1/Cacna1g/Abcc9/Kcnmb1/Cntnap2/Cnih3/Gria4/Kcnma1/Kcng2/Tmem249/Kcnc4/Kcne2/Trpc3/Cacna1c/Snap25/Kcne1l/Nrn1/Catsper4/Cacna1h/Xntrpc/Kcnip2/Cacng2/Unc80/Scn3b/Olfm3/Kcng4/Kcnj5/Kcnq2/Cacna1e/Kcne4/Cacna2d3/Kcnj3/Trpc7/Pex5l/Kcnip4/Dpp6/Cacng5/Catsperg1/Kcnj11/Shisa6/Kcnb1/Grik3/Kcnc2/Abcc8/Kcng1/Kcnk2/Akap6/Grik1/Cacnb2/Kcnd3/Scn7a/Trpc4/Ryr3/Scn2a/Htr3b/Kcnd2/Grik2/Kcna1/Ryr2/Kcna6/Gria2/Scn9a/Kcnq3/Kcna2/Gria1/Dpp10/Grin3a/Htr3a/Kcnip1"
"GO:0060326","BP","GO:0060326","cell chemotaxis",293,0.512755217683678,2.23259481976982,1.91990351602479e-16,2.27974828931401e-13,1.79431584242016e-13,2239,"tags=35%, list=13%, signal=31%","Cxcl5/Cxcl3/Cxcl2/S100a8/S100a9/Cxcl1/Trem1/Cxcr2/Spp1/Il23a/Prss56/Il1b/Ppbp/Sell/Ccl2/Trem3/Ccl20/Ccl7/Retnlg/Serpine1/Ccl17/Tnfsf18/Lef1/Adam8/Tnfsf11/Ccl24/Csf3r/Ccr8/S100a14/Ccl3/Hgf/Saa3/Ccr6/Ptn/Anxa1/Prkd1/Ccr7/Ccl22/Thbs4/Bst1/Cxcl10/Lox/Smoc2/Slamf9/Tnfsf14/Ccl1/Cxcr1/Ccl4/Il34/Shh/Jaml/Ackr3/Ccr1/Cxcr4/Wnt5a/Hrg/Pgf/Spi1/Fgf16/Pf4/Ripor2/Pdgfb/Cxcr5/Itgb2/Slamf1/Dock4/Cxcl9/Grem1/Cxcl16/Ccr5/Lbp/Egr3/Notch1/Ccr2/Mif/Ppia/Fcgr3/Vegfc/C5ar1/S1pr1/Ch25h/C5ar2/Fgf18/F7/Coro1a/Ptpro/Cd74/Csf1/Cxcl17/App/Dusp1/Nckap1l/Epha2/Prex1/Adam10/Pde4b/Thbs1/Fcer1g/Rin3/Gpr183/Csf1r/Pdgfrb/Cnr2/C3ar1"
"GO:0001508","BP","GO:0001508","action potential",141,-0.690493207027622,-2.24215042821585,3.76969874931105e-16,3.48152622269705e-13,2.74019622537639e-13,2749,"tags=49%, list=16%, signal=41%","Kcnh2/Flna/Chrnb2/Trpm4/P2rx2/Rangrf/Cacna2d1/Ifng/Grin2a/Cnr1/Fgf13/Kcnh6/Kcnmb3/Kcnn2/Kcna5/Scn11a/Hcn2/Hcn4/Hcn1/Rapgef4/Cacnb4/Ank2/Cntnap1/Cacna1g/Cntnap2/Kcnma1/Chrna1/Cav3/Kcnc4/Kcne2/Nrcam/Chrna4/Cacna1c/P2rx1/Gjd2/Kcne1l/Cacna1h/Drd1/Rnf207/Scn3b/Chrna7/Kcnj5/Kcne4/Dcdc2a/Adra1a/Dpp6/Kcnb1/Kcnc2/Chrna5/Chrnb4/Cacnb2/Scn7a/Trpc4/Ffar3/Fgf12/Ctnna3/Slc8a2/Ntrk3/Scn2a/Kcnd2/Grik2/Kcna1/Ryr2/Ntsr1/Scn9a/Ntrk2/Kcna2/Gria1/Kcnip1"
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus",435,0.451067339173699,2.02534036822896,3.68238414252909e-16,3.48152622269705e-13,2.74019622537639e-13,2199,"tags=29%, list=13%, signal=26%","S100a8/S100a9/Cxcl1/Trem1/Cxcr2/Acod1/Osm/Il23a/Mmp12/Prss56/Il1b/Mmp8/Sell/Il6/Arg1/Ccl2/Nlrp3/Trem3/Il17a/Ptgs2/Ccl7/Serpine1/Clec7a/Tnfsf18/Plat/Il17f/Adam8/Sting1/Tnfsf11/Ccl24/Il33/Tnf/Il1rl1/Nlrp10/S100a14/Il18rap/Ccl3/Ccr6/Ptn/Prkd1/Tnfsf4/Ccr7/Thbs4/Pgc/Ulbp1/Cxcl10/Trem2/Smoc2/Il18/Tnfsf14/Havcr2/Emilin2/Tlr8/Clec4n/Ereg/Ccl1/Fcgr1/Il34/Cadm1/Shh/Tasl/Mefv/Ccr1/Cxcr4/Wnt5a/Plau/Tyrobp/Il12b/Hrg/Pgf/Spi1/Fgf16/Npy/Lrrk2/Gbp5/Ripor2/Pdgfb/Ifi209/Tlr9/Cd81/Unc13b/Pla2g5/Slamf1/Nlrp1a/Cyba/Ifi208/Ccn4/Ccr5/Npy5r/Lbp/Ccr2/Mif/Fcgr3/Vegfc/C5ar1/Tgfb1/S1pr1/Ets1/Scimp/Fgf18/Cdh13/F7/Cd74/Csf1/Cxcl17/App/Lilra5/Nrg1/Nckap1l/Ifi205/Fn1/Sh2d1b1/Ighg2b/Srebf1/Bmp6/Ifi211/Adam10/Trim15/Thbs1/Fcer1g/Cd47/Cd28/Csf1r/Pdgfrb"
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis",218,0.551465708935281,2.25614025828019,1.95438297295081e-15,1.62448312711671e-12,1.27857791335677e-12,2239,"tags=39%, list=13%, signal=34%","Cxcl5/Cxcl3/Cxcl2/S100a8/S100a9/Cxcl1/Trem1/Cxcr2/Spp1/Il23a/Prss56/Il1b/Ppbp/Sell/Ccl2/Trem3/Ccl20/Ccl7/Retnlg/Serpine1/Ccl17/Tnfsf18/Adam8/Tnfsf11/Ccl24/Csf3r/S100a14/Ccl3/Ccr6/Ptn/Anxa1/Ccr7/Ccl22/Thbs4/Bst1/Cxcl10/Slamf9/Tnfsf14/Ccl1/Cxcr1/Ccl4/Il34/Jaml/Ccr1/Wnt5a/Pgf/Spi1/Pf4/Ripor2/Pdgfb/Cxcr5/Itgb2/Slamf1/Cxcl9/Grem1/Cxcl16/Lbp/Ccr2/Mif/Ppia/Fcgr3/Vegfc/C5ar1/S1pr1/Ch25h/C5ar2/F7/Coro1a/Ptpro/Cd74/Csf1/Cxcl17/App/Dusp1/Nckap1l/Prex1/Adam10/Pde4b/Thbs1/Fcer1g/Rin3/Gpr183/Csf1r/Cnr2/C3ar1"
