"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002377","BP","GO:0002377","immunoglobulin production",222,0.829018990794133,3.06281119540074,1.95984929861062e-57,1.61256400289682e-53,1.39169930193971e-53,1369,"tags=52%, list=8%, signal=49%","Igkv12-89/Igkv14-130/H2-Eb2/Iglv3/Igkv4-69/Ighm/Igkv6-20/Igkv11-125/Ighd/Ighe/Igkv4-57/Igkv4-62/Igkv4-63/Igkv8-28/Igkv6-32/Igkv5-39/Igkv13-85/Igkv4-74/Igkv3-7/Igkv3-12/Xcl1/Igkv1-99/H2-Ob/Igkv8-34/Igkv8-27/Igkv3-10/Ccr6/Igkv12-38/Igkv15-103/H2-Oa/Igkv1-110/Igkv8-30/Igkv16-104/Igkv4-68/Igkv4-86/Siglecg/Igkv4-59/Igkv2-109/H2-DMb2/Igkv3-1/H2-Aa/Igkv6-25/Igkv3-4/Igkv4-72/H2-DMb1/H2-Ab1/Igkv4-58/Igkv10-96/H2-Eb1/Igkv9-124/Cd22/Igkv13-84/Igkv1-88/Iglv1/Vpreb3/Mzb1/H2-DMa/Igkv12-46/Igkv4-61/Lax1/Cd40lg/Igkv4-55/Igkv5-45/Igkv9-123/Igkv8-24/Igkv6-13/Igkv10-94/Igkv3-2/Igkv1-135/Igkv4-80/Igkv5-48/Igkv6-17/Igkv1-133/Igkv14-111/B2m/Igkv17-127/Igkv14-126/Igkv3-5/Cd28/Igkv1-122/Igkv12-44/Trdv5/Igkv6-23/Igkv19-93/Tlr9/Igkv9-120/Tnfrsf4/Igkv6-15/Tnfsf13b/Tbx21/Igkv4-90/Ifng/Igkv5-43/Pou2f2/Foxp3/Nuggc/Igkv14-100/Igkv10-95/Igkv6-14/Btk/Sash3/Igkv17-121/Cd37/Igkv2-112/Igkv8-19/Igkv1-117/Cd27/Igkv4-91/Ptprc/Igkv8-21/Il27ra/Tnfsf13/Batf/Igkv4-53/Igkv7-33/Samhd1"
"GO:0002440","BP","GO:0002440","production of molecular mediator of immune response",355,0.737375911458709,2.86340419525538,4.46535767229126e-52,1.22469876425375e-48,1.05695799499217e-48,1538,"tags=41%, list=9%, signal=38%","Igkv12-89/Igkv14-130/H2-Eb2/Iglv3/Igkv4-69/Ighm/Igkv6-20/Igkv11-125/Ighd/Ighe/Igkv4-57/Igkv4-62/Igkv4-63/Igkv8-28/Igkv6-32/Igkv5-39/Igkv13-85/Igkv4-74/Igkv3-7/Igkv3-12/Xcl1/Igkv1-99/H2-Ob/Igkv8-34/Igkv8-27/Igkv3-10/Ccr6/Igkv12-38/Igkv15-103/H2-Oa/Igkv1-110/Prg2/Igkv8-30/Igkv16-104/Igkv4-68/Igkv4-86/Siglecg/Igkv4-59/Igkv2-109/H2-DMb2/Cd74/Spink5/Igkv3-1/H2-Aa/Il25/Igkv6-25/Igkv3-4/Igkv4-72/H2-DMb1/H2-Ab1/Igkv4-58/Sucnr1/Igkv10-96/H2-Eb1/Igkv9-124/Cd22/Igkv13-84/Igkv1-88/Iglv1/Rsad2/Clnk/Vpreb3/Mzb1/H2-DMa/Igkv12-46/Igkv4-61/Lax1/Cd40lg/Igkv4-55/Igkv5-45/Igkv9-123/Igkv8-24/Cd226/Igkv6-13/Igkv10-94/Igkv3-2/Igkv1-135/Igkv4-80/Gimap3/Igkv5-48/Igkv6-17/Igkv1-133/Igkv14-111/B2m/Igkv17-127/Igkv14-126/Igkv3-5/Cd28/Igkv1-122/Igkv12-44/Cd55b/Trdv5/Igkv6-23/Igkv19-93/Tlr9/Bst2/Slamf1/Igkv9-120/Fcer1a/Tnfrsf4/Igkv6-15/Twist2/Tnfsf13b/Tbx21/Igkv4-90/Ifng/Igkv5-43/Scimp/Pou2f2/Foxp3/Nuggc/Il17f/Igkv14-100/Igkv10-95/Cd96/Igkv6-14/Ccr2/Il18r1/Btk/Cd160/Sash3/Igkv17-121/Cd37/Igkv2-112/Igkv8-19/Igkv1-117/Cd27/Igkv4-91/Ptprc/Igkv8-21/Ptpn22/Casp1/Il27ra/Tnfsf13/Il12a/Batf/Igkv4-53/Igkv7-33/Samhd1/Cd55/Hmox1/Igkv4-57-1/Pycard/Lgals4/Rasgrp1/Il1b/Trim55"
"GO:0002250","BP","GO:0002250","adaptive immune response",469,0.68963855988816,2.7164771655823,4.41304354841551e-52,1.22469876425375e-48,1.05695799499217e-48,2606,"tags=48%, list=16%, signal=41%","Cr2/H2-Eb2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Ighv7-4/Sh2d1a/Tnfrsf13c/Iglc2/Ighg3/Xcl1/Igkv12-41/H2-Ob/Cd79a/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Ighv1-82/H2-Oa/Ighv1-47/Ighv1-42/Cd79b/Ighv1-78/Siglecg/Iglv2/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/H2-DMb2/Cd74/H2-Aa/Il25/Cd8a/H2-Q7/Iglc3/H2-DMb1/H2-Ab1/Cd8b1/H2-Q6/Ighv1-64/H2-Eb1/Ighv7-3/Iglc1/Fcer2a/Igkc/Ighv13-2/Rsad2/Il9r/Irf4/Jchain/Ighv5-9/Igha/H2-DMa/Lax1/Cd40lg/Igkv4-55/Btla/Cd226/Irf7/Ighv3-5/Ighg2b/Gimap3/Ighv14-3/Ighv14-2/Igkv5-48/Slamf6/Klrd1/Trat1/H2-T10/Tnfrsf13b/Ighv9-2/Il18bp/Skap1/Ighv9-3/Camk4/Ighv1-5/Tap1/Ighv1-62-2/B2m/Cd3e/Pdcd1lg2/Ighv1-55/Cd274/Ighv1-53/Sit1/H2-M2/C2/Ighv1-63/H2-Q2/H2-Q1/Ighv1-43/Cd28/Il21r/Cd3g/Lat/Ighv1-69/Cd55b/Cd247/Itk/Tnfrsf17/Slamf7/Crtam/Sla2/Tap2/H2-K1/Slamf1/Gpr183/H2-Q4/Fcer1a/Tnfsf13b/Tbx21/Cd3d/Klrk1/Cd7/Ifne/Ifng/Lag3/Spn/Pou2f2/Foxp3/H2-T22/Ighv1-56/Ccr7/Il17f/Fcamr/H2-D1/H2-T23/Cd4/Ccr2/Il18r1/Btk/Cd160/Sash3/Slc22a13/Igkv2-112/C1ra/Nlrp10/Irf1/Ptprc/Cd48/Themis/Treml4/Prkcb/Il27ra/Tnfsf13/C4b/H2-T24/Il12a/Unc13d/Batf/Myo1g/Trbc2/H2-M3/Igkv7-33/Ly9/C3/Lat2/Ighv5-2/H2-Bl/Cd55/H2-Q10/Csf2rb2/Sh2d1b1/Txk/Pycard/Rab27a/Ighv1-84/Il1b/Was/C1s1/Prf1/Anxa1/Serpinb9/Fas/Fzd5/Il12rb1/Raet1e/Parp3/Inpp5d/Pdcd1/Nfkbid/Fut7/Ighv2-2/Pag1/Ptk2b/Ctla4/Tnfrsf14/Fcgr2b/P2rx7/Pik3cd/Gapt/Clec4n/Csf2rb/Unc93b1/Lilrb4a/Myd88/Mcoln2/Mfsd6/Gimap5/Nlrp3/Tnfaip3/Ctsc/Gcnt3/Cd86/Sema4a/Gzmb/Fgl2/Ighv7-1/Lyn/Zbtb7b/Syk/Clec4d/Tnfrsf1b/Il13ra2/Arg1/Il17a/Rnf19b/Fcgr1"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",344,0.722564265124648,2.80332383768877,3.63730986048114e-46,7.4819463830097e-43,6.45718218915941e-43,1808,"tags=44%, list=11%, signal=40%","Cr2/H2-Eb2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Ighv7-4/Sh2d1a/Iglc2/Ighg3/Xcl1/H2-Ob/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Ighv1-82/H2-Oa/Ighv1-47/Ighv1-42/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/H2-DMb2/Cd74/H2-Aa/Il25/Cd8a/H2-Q7/Iglc3/H2-DMb1/H2-Ab1/H2-Q6/Ighv1-64/H2-Eb1/Ighv7-3/Iglc1/Klrb1f/Klrb1a/Fcer2a/Igkc/Ighv13-2/Rsad2/Clnk/Il9r/Ighv5-9/Igha/Klri1/H2-DMa/Nkg7/Cd40lg/Cd226/Irf7/Ighv3-5/Ighg2b/Gimap3/Ighv14-3/Klrb1/Ighv14-2/Slamf6/Klrd1/Cd2/H2-T10/Ighv9-2/Ighv9-3/Ighv1-5/Tap1/Ighv1-62-2/B2m/Ighv1-55/Ighv1-53/H2-M2/C2/Ighv1-63/H2-Q2/H2-Q1/Ighv1-43/Cd28/Il21r/Ighv1-69/Cd55b/Crtam/Tap2/H2-K1/Slamf1/H2-Q4/Fcer1a/Tbx21/Klrk1/H60c/Klrb1b/Ifng/Lag3/Spn/Pou2f2/Foxp3/H60b/H2-T22/Ighv1-56/H2-D1/H2-T23/Cd96/Ccr2/Il18r1/Btk/Cd160/Sash3/Slc22a13/C1ra/Ptprc/Clec2d/Treml4/Il27ra/Tnfsf13/Coro1a/C4b/H2-T24/Il12a/Unc13d/Batf/Myo1g/Trbc2/H2-M3/C3/Ighv5-2/H2-Bl/Cd55/H2-Q10/Csf2rb2/Sh2d1b1/Rab27a/Klre1/Ighv1-84/Rasgrp1/Il1b/Was/C1s1/Prf1/Klrb1c/Ceacam1/Serpinb9/Fas/Fzd5/Raet1e/Parp3/Inpp5d"
"GO:0009897","CC","GO:0009897","external side of plasma membrane",477,0.666007977103662,2.6290636447013,5.65025761491831e-45,9.29806393110957e-42,8.02455534110293e-42,1857,"tags=44%, list=11%, signal=40%","Cr2/H2-Eb2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Cd209d/Izumo1r/Ighv7-4/Fcmr/Tnfrsf13c/Iglc2/Ighg3/Ms4a1/Cxcr5/Cd79a/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Klra7/Ighv1-82/Ighv1-47/Ighv1-42/Cd79b/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Nlgn1/Ighv1-76/Ighv1-58/Cd74/H2-Aa/Cd8a/H2-Q7/Btnl2/Clec4a4/Iglc3/H2-Ab1/Cd8b1/H2-Q6/Ighv1-64/H2-Eb1/Ighv7-3/Cd22/Iglc1/Fcer2a/Igkc/Ighv13-2/Il9r/Folr1/Ighv5-9/Igha/Klri1/Clec2i/Cd40lg/Btnl1/Btla/Ccr9/Cd226/Ighv3-5/Ighg2b/Trgc2/Fasl/Ighv14-3/Ighv14-2/Cd6/Slamf6/Klrd1/Cd2/H2-T10/Tnfrsf13b/Cd209a/Ighv9-2/Trgv2/Ighv9-3/Ighv1-5/Ighv1-62-2/B2m/Cd3e/Pdcd1lg2/Ighv1-55/Cd274/Ighv1-53/H2-M2/Ighv1-63/H2-Q2/H2-Q1/Art2b/Ccr4/Ighv1-43/Cd28/Il21r/Cd3g/Ighv1-69/Cd69/Ccr3/Btnl6/Ms4a2/Slamf7/Gfra2/H2-K1/Slamf1/H2-Q4/Trgc4/Cxcr6/Fcer1a/Tnfrsf4/Cd207/Btnl4/Cd3d/Ccr10/Klrk1/Muc3/H60c/Klrb1b/Ifng/Lag3/Spn/Cd14/Il2rb/H60b/H2-T22/Ighv1-56/Ccr8/Ccr7/Xcr1/Flt3/Ly6a/H2-D1/Itgad/H2-T23/Cd4/Cxcr3/Ccr2/Cd5/Gp2/Car4/Cxcl10/Igsf21/Il2ra/Tmc1/Plppr4/Trgv4/Sele/Plet1/Gfra3/Lgals3/Abcg2/Scart2/Icos/Il12rb2/Cd27/Clec2h/Clec10a/Ptprc/Cd48/Clec2d/Cd59b/Itgae/Clec7a/Ly6g/Ly6c1/Il27ra/Tnfsf13/Itgb6/Clec2g/H2-T24/Mgl2/Il2rg/Trbc2/H2-M3/Ly9/Astn1/Aqp4/Clec4a3/Itgax/Asgr1/Prlr/Ighv5-2/Tnfrsf18/H2-Bl/Cd55/H2-Q10/Csf2rb2/Ccr5/Klre1/Ighv1-84/Cd80/Cxcr4/Mill2/Anxa1/Klrb1c/Ceacam1/Slamf9/Cd200r4/Fas/Il12rb1/Raet1e/Itgal/Trgc1/Itga4/Ly75/Ly6g6c/Nt5e/Pdcd1"
"GO:0002443","BP","GO:0002443","leukocyte mediated immunity",442,0.674410995836944,2.64769729627416,9.22683231026982e-44,1.265306270815e-40,1.09200369763299e-40,1657,"tags=37%, list=10%, signal=34%","Cr2/H2-Eb2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Ighv7-4/Sh2d1a/Iglc2/Ighg3/Xcl1/H2-Ob/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Ighv1-82/H2-Oa/Ighv1-47/Ighv1-42/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/H2-DMb2/Cd74/H2-Aa/Il25/Cd8a/H2-Q7/Iglc3/Blk/H2-DMb1/H2-Ab1/H2-Q6/Ighv1-64/H2-Eb1/Ighv7-3/Iglc1/Klrb1f/Klrb1a/Fcer2a/Igkc/Ighv13-2/Rsad2/Clnk/Il9r/Ighv5-9/Igha/Klri1/H2-DMa/Nkg7/Cd40lg/Cd226/Irf7/Ighv3-5/Ighg2b/Gimap3/Ighv14-3/Klrb1/Ighv14-2/Slamf6/Klrd1/Cd2/H2-T10/Ighv9-2/Ighv9-3/Ighv1-5/Tap1/Ighv1-62-2/B2m/Ighv1-55/Ighv1-53/H2-M2/C2/Ighv1-63/H2-Q2/Dnase1l3/H2-Q1/Ighv1-43/Cd28/Il21r/Lat/Ighv1-69/Ms4a2/Cd55b/Crtam/Tap2/Tlr9/H2-K1/Bst2/Slamf1/H2-Q4/Fcer1a/Tbx21/Klrk1/H60c/Klrb1b/Ifng/Lag3/Scimp/Spn/Pou2f2/Foxp3/H60b/H2-T22/Ighv1-56/H2-D1/H2-T23/Cd96/Nlrp6/Ccr2/Il18r1/Btk/Cd160/Sash3/Slc22a13/Stap1/C1ra/Ptprc/Clec2d/Treml4/Il27ra/Tnfsf13/Coro1a/C4b/H2-T24/Il12a/Pla2g3/Unc13d/Batf/Myo1g/Trbc2/H2-M3/C3/Lat2/Ighv5-2/H2-Bl/Cd55/H2-Q10/Hmox1/Csf2rb2/Sh2d1b1/Fgr/Ptafr/Rab27a/Klre1/Ighv1-84/Cxcl5/Rac2/Rasgrp1/Il1b/Was/Anxa3/Chga/C1s1/Prf1/Klrb1c/Ceacam1/Serpinb9/Slamf9"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",360,0.691141853938578,2.69077689430007,1.608935685615e-39,1.89118897446289e-36,1.63216242633967e-36,1808,"tags=38%, list=11%, signal=35%","Cr2/H2-Eb2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Ighv7-4/Tnfrsf13c/Iglc2/Ighg3/Xcl1/H2-Ob/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Ighv1-82/H2-Oa/Ighv1-47/Ighv1-42/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/H2-DMb2/Cd74/H2-Aa/Il25/Cd8a/H2-Q7/Iglc3/H2-DMb1/H2-Ab1/H2-Q6/Ighv1-64/H2-Eb1/Ighv7-3/Iglc1/Fcer2a/Igkc/Ighv13-2/Rsad2/Il9r/Irf4/Ighv5-9/Igha/H2-DMa/Cd40lg/Cd226/Irf7/Ighv3-5/Ighg2b/Gimap3/Ighv14-3/Ighv14-2/Slamf6/Klrd1/H2-T10/Ighv9-2/Il18bp/Ighv9-3/Ighv1-5/Ighv1-62-2/B2m/Ighv1-55/Cd274/Ighv1-53/H2-M2/C2/Ighv1-63/H2-Q2/H2-Q1/Ighv1-43/Cd28/Il21r/Ighv1-69/Cd55b/Tap2/H2-K1/Slamf1/H2-Q4/Fcer1a/Tnfsf13b/Tbx21/Ifng/Spn/Pou2f2/Foxp3/H2-T22/Ighv1-56/Ccr7/H2-D1/H2-T23/Cd4/Ccr2/Il18r1/Btk/Sash3/Slc22a13/C1ra/Nlrp10/Irf1/Ptprc/Treml4/Il27ra/Tnfsf13/C4b/H2-T24/Il12a/Unc13d/Batf/Myo1g/Trbc2/H2-M3/Ly9/C3/Ighv5-2/H2-Bl/Cd55/H2-Q10/Csf2rb2/Rab27a/Ighv1-84/Il1b/Was/C1s1/Prf1/Anxa1/Serpinb9/Fas/Fzd5/Il12rb1/Raet1e/Parp3/Inpp5d"
"GO:0002764","BP","GO:0002764","immune response-regulating signaling pathway",411,0.664520499294167,2.59031117133996,2.96779170305718e-39,3.05237376659431e-36,2.63430563537154e-36,2263,"tags=39%, list=14%, signal=34%","Ighm/Cd19/Ighd/Ighv1-31/Ighe/Fcrl5/Ighv7-4/Sh2d1a/Iglc2/Ighg3/Ms4a1/Cd79a/Ighv9-1/Ighv14-4/Ighg2c/Ighv1-82/Ighv1-47/Ighv1-42/Cd79b/Tespa1/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/Cd8a/Btnl2/Oas3/Iglc3/Blk/Ighv1-64/Ighv7-3/Cd22/Iglc1/Igkc/Ighv13-2/Rsad2/Irf4/Ddx60/Ighv5-9/Igha/Klri1/Lax1/Clec2i/Btnl1/Btla/Cd226/Irf7/Ighv3-5/Ighg2b/Ighv14-3/Ighv14-2/Klrd1/Trat1/Trim30a/Oas1d/Ighv9-2/Dhx58/Skap1/Ighv9-3/Oas1g/Ighv1-5/Ighv1-62-2/Cd3e/Ighv1-55/Ighv1-53/Igtp/Ighv1-63/Ighv1-43/Cd28/Ighv1-69/Btnl6/Ms4a2/Oas1a/Oasl1/Cd247/Itk/Sla2/Tlr9/Btnl4/Klrk1/Ubash3a/Ifng/Reg3g/Scimp/Tasl/Cd14/Foxp3/Ighv1-56/Nlrp1b/Ccr7/Irgm1/Themis3/Mefv/Nlrp6/Btk/Cd160/Stap1/Lgals3/Lrrc19/Bcl2a1d/Tnip3/Pigr/Irf1/Cd300ld3/Plcl2/Ptprc/Pvrig/Themis/Ifih1/Treml4/Ptpn22/Prkcb/Clec7a/Casp1/Tlr12/Nr1d1/Cd38/Myo1g/Trbc2/Nr1h4/Lat2/Themis2/Ighv5-2/S100a14/Sh2d1b1/Txk/Pycard/Klre1/Ifi35/Ighv1-84/Nmi/Nr1h3/Carmil2/Fyb/Cd180/Prnp/Sarm1/Tlr1/Laptm5/Oas1c/Nfkbid/Nlrx1/Trim15/Ighv2-2/Acod1/Lpxn/Ermap/Ctla4/Tlr4/Clec4n/Kcnn4/Unc93b1/Lilrb4a/F2rl1/Myd88/Tlr3/Nr4a3"
"GO:0002253","BP","GO:0002253","activation of immune response",325,0.69310798725809,2.67091639701557,6.44998649224415e-36,5.89672098424276e-33,5.08907706159989e-33,1608,"tags=38%, list=10%, signal=35%","Cr2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Fcrl5/Ighv7-4/Sh2d1a/Iglc2/Ighg3/Ms4a1/Cd79a/Ighv9-1/Ighv14-4/Ighg2c/Ighv1-82/Ighv1-47/Ighv1-42/Cd79b/Tespa1/Ighv1-78/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/Cd8a/Btnl2/Iglc3/Blk/Ighv1-64/Ighv7-3/Cd22/Iglc1/Igkc/Ifi206/Ighv13-2/Ifi208/Ighv5-9/Igha/Klri1/Lax1/Clec2i/Btnl1/Zbp1/Cd226/Ighv3-5/Ighg2b/Ighv14-3/Ighv14-2/Klrd1/Trat1/Trim30a/Ighv9-2/Trim30d/Skap1/Ighv9-3/Ifi209/Ighv1-5/Ighv1-62-2/Cd3e/Ighv1-55/Ighv1-53/C2/Ighv1-63/Ighv1-43/Cd28/Ighv1-69/Btnl6/Cd55b/Cd247/Itk/Sla2/Ifi205/Tlr9/Btnl4/Klrk1/Ubash3a/Ifng/Foxp3/Ighv1-56/Ccr7/Themis3/Btk/Cd160/Trim12a/Stap1/C1ra/Lgals3/Bcl2a1d/Trim5/Plcl2/Ptprc/Mndal/Cd59b/Pvrig/Themis/Ptpn22/Prkcb/Clec7a/C4b/Cd38/Myo1g/Trbc2/Cfb/C3/C4a/Lat2/Ifi203/Themis2/Ighv5-2/Cd55/Txk/Pycard/Klre1/Trim12c/Ighv1-84/A2m/Ifi204/Il1b/Carmil2/Fyb/C1s1/Colec10"
"GO:0042113","BP","GO:0042113","B cell activation",309,0.696593946470874,2.6707169345428,2.27416031225992e-35,1.87117910492746e-32,1.61489320700057e-32,2142,"tags=39%, list=13%, signal=34%","Cr2/Ighm/Cd19/Ighd/Ighv1-31/Ighe/Ighv7-4/Tnfrsf13c/Iglc2/Ighg3/Ms4a1/Cxcr5/Cd79a/Ighv9-1/Ccr6/Ighv14-4/Ighg2c/Ighv1-82/Ighv1-47/Ighv1-42/Cd79b/Ighv1-78/Siglecg/Ighv1-49/Ighv1-67/Ighv10-1/Ighv1-76/Ighv1-58/Cd74/Bank1/Iglc3/Blk/H2-Ab1/Ighv1-64/Ighv7-3/Cd22/Iglc1/Ntrk1/Igkc/Ighv13-2/Il9r/Mzb1/Ighv5-9/Igha/Lax1/Cd40lg/Btla/Ighv3-5/Ighg2b/Tshr/Ighv14-3/Pou2af1/Ighv14-2/Spib/Tnfrsf13b/Ighv9-2/Ikzf3/Ighv9-3/Fcrl1/Ighv1-5/Igkj5/Ighv1-62-2/Ighv1-55/Ighv1-53/Ighv1-63/Ighv1-43/Cd28/Ighv1-69/Tlr9/Gpr183/Tnfrsf4/Tnfsf13b/Tbx21/Slamf8/Ifne/Ifng/Pou2f2/Foxp3/Ighv1-56/Flt3/Tbc1d10c/Cdkn2a/Btk/Sash3/Gimap1/Cd27/Plcl2/Ptprc/Prkcb/Il27ra/Tnfsf13/Cd38/Il2rg/Batf/Trbc2/Cfb/Il7/Lat2/Themis2/Ighv5-2/Ighv1-84/Rasgrp1/Dock10/Ikzf1/Cd180/Fas/Parp3/Laptm5/Inpp5d/Hhex/Ighv2-2/Dll1/Ptk2b/Spi1/Hdac9/Ctla4/Fcgr2b/Tlr4/Pik3cd/Gapt"
