"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043588","BP","GO:0043588","skin development",297,0.514623649321432,2.34689893661641,1.4189907367017e-18,5.89732550173227e-15,4.78946715498316e-15,1641,"tags=28%, list=10%, signal=25%","Wnt10a/Tmprss13/Krt36/Krt6a/Krt4/Sprr2b/Alox12/Wnt7a/Inhba/Casp14/Apcdd1/Krt16/Tgm1/Cstdc4/Dsg4/Stfa2l1/Asprv1/Krt90/Cers3/Krt14/Dlx3/Il1a/Grhl3/Ivl/Wnt16/Fras1/Sprr2f/Tgm3/Foxq1/Lgr5/Sprr2d/Tnf/Foxc1/Ptgs2/Vangl2/Stfa2/Sprr2e/Krt17/Alox12b/Sox21/Shh/Tnfrsf19/Cldn4/Cstdc5/Sprr2h/Krt75/Gnasas1/Macroh2a2/Gprc5d/Lama5/Scel/Csta1/Stfa1/Sprr2i/Krt6b/Lor/Wnt10b/Fzd6/Lhx2/Anxa1/Ppl/Cdh3/Lsr/Aloxe3/Stfa3/Tfap2a/Tfap2c/Notch1/Krt7/Barx2/Il18/Runx1/Reg3g/Krt83/Msx2/Celsr1/Wnt5a/Sprr2k/Krtap6-5/Krt86/Ptch2/Smo"
"GO:0034470","BP","GO:0034470","ncRNA processing",394,0.473815590451364,2.19881410907924,1.28943611260449e-18,5.89732550173227e-15,4.78946715498316e-15,5512,"tags=57%, list=32%, signal=40%","Cdkn2a/Esr1/Tnf/Il6/Lin28a/Wdr6/Trdmt1/Trmt9b/Nhp2/Qtrt1/Rpl27/Rrp1b/Rpusd2/Rcl1/Rbm3/Ago1/Npm1/Fbl/Elp1/Dimt1/Trmt10a/Trmt6/Tert/Ddx18/Rps6/Nup155/Snu13/Ddx3x/Trit1/Naf1/Trmt112/Ddx21/Utp18/Adat2/Ncl/Rrs1/Elp2/Gar1/Ncor2/Utp4/Rpl10a/Las1l/Riok2/Thada/Shq1/Pes1/Wdr3/Wdr12/Wdr43/Nop9/Mrto4/Tgfb1/Ftsj3/Znhit3/Pa2g4/Lyar/Dkc1/Npm3/Nol11/Nol10/Parn/Wdr75/Mdn1/Dis3/Trp53/Ddx27/Tsen2/Ints11/Utp15/Prorp/Rpp38/Tut4/Nsun2/Pwp1/Gtpbp4/Ints7/Pusl1/Tbl3/Ddx10/Gtf2h5/Rrp15/Heatr1/Mettl2/Wdr46/Thg1l/Pus7/Mettl15/Rpl7/Rsl1d1/Ddx56/Pwp2/Pdcd11/Rpl5/Polr3k/Pop1/Ints2/Nop14/Trmt61a/Nop2/Wdr55/Ddx51/Dus2/Eri1/Ctu2/Ints4/Dus4l/Exosc8/Bop1/Rbfa/Dhx37/Thumpd1/Rpp25/Alkbh8/Pop4/Toe1/Rpp40/Zc3h7b/Pelp1/Exosc1/Mtrex/Wdr18/Tsen34/Bysl/Tsr1/Thumpd2/Wdr74/Rps16/Rrp8/Pum2/Wdr4/Rpf2/Pum1/Tarbp1/Krr1/Rrp9/Nsa2/Ncbp1/Utp14a/Rpl35a/Wbp11/Nob1/Rps14/Tsr3/Rpl11/Yrdc/Lcmt2/Rrp1/Tsn/Bms1/Exosc2/Rrp12/Wdr36/Ddx52/Pus1/Ddx49/Exosc4/Imp3/Rpf1/Cdkal1/Znhit6/Ssb/Nop10/Exosc5/Rpl26/Tyw1/Tut1/Suv39h1/Trmo/Ddx54/Nol8/Rps7/Ncbp2/Utp3/Brix1/Elp6/Pih1d2/Lage3/Trub2/Mphosph10/Larp7/Utp25/Ythdf2/Ebna1bp2/Mak16/Lsm6/Ints12/Stat3/Tsen15/Dgcr8/Utp6/Pus10/Srfbp1/Nol9/Ftsj1/Dtwd1/Riok1/Egfr/Elp3/Ppan/Ints5/Rpp14/Qtrt2/Eri2/Osgep/Trnt1/Tsnax/Rpusd1/Trmt5/Exosc3/Ints8/Exosc10/Exosc9/Clp1/Rpl14/Rpl7l1/Nifk/Rps21/Nsun4/Abt1/Exosc7/Imp4/Rtcb/Rpp30/Drosha"
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis",411,0.454123282368748,2.13798455591828,5.42379378712779e-17,1.50275246528687e-13,1.22044875638072e-13,5512,"tags=62%, list=32%, signal=43%","Cdkn2a/Snrpf/Mybbp1a/Nhp2/Eif2s3x/Ran/Rpl27/Rrp1b/Rpusd2/Rcl1/Ruvbl1/Ago1/Npm1/Fbl/Nopchap1/Dimt1/Strap/Ddx18/Nip7/Rps6/Snu13/Ddx3x/Ltv1/Prpf19/Naf1/Nudt21/Trmt112/Ddx21/Utp18/Gemin5/Noc4l/Ncl/Rrs1/Gar1/Prmt7/Utp4/Psip1/Gemin8/Rpl10a/Las1l/Riok2/Xrcc5/Shq1/Pes1/Wdr3/Wdr12/Rps2/Wdr43/Nop9/Snrpg/Prpf31/Mrto4/Ptges3/Nop56/Noc2l/Gemin6/Ftsj3/Znhit3/Pa2g4/Rpl23a/Lyar/Dkc1/Abce1/Npm3/Rrn3/Nol11/Xpo1/Nol10/Wdr75/Dhx9/Ddx31/Snrpe/Mdn1/Dis3/Urb2/Ddx27/Ipo9/Utp15/Rplp0/Ruvbl2/Usp39/Atm/Prmt5/Rpp38/Lsg1/Eif3a/Snrpd1/Pwp1/Cdc73/Gtpbp4/Dhx29/Snrpd3/Gnl3l/Tbl3/Polr2d/Ddx10/Atr/Gtf2h5/Rpl6/Rrp15/Heatr1/Gtf3a/Wdr46/Nle1/Grwd1/Sf3a3/Nop16/Nop58/Mettl15/Rpl7/Rsl1d1/Ddx56/Ddx20/Gtpbp10/Pwp2/Pdcd11/Ddx28/Rpl5/Cpsf6/Nop14/Nop2/Wdr55/Hsp90ab1/Ddx51/Gnl2/Aatf/Rpsa/Sdad1/Eri1/Exosc8/Rpl10/Bop1/Rbfa/Dhx37/Smn1/Dhx30/Srsf10/Rpp25/Nufip1/Pop4/Rpp40/Pelp1/Setx/Exosc1/Mtrex/Wdr18/Bysl/Tsr1/Wdr74/Rps16/Rrp8/Eif5/Rpf2/Nmd3/Krr1/Rrp9/Nsa2/Ncbp1/Rsl24d1/Utp14a/Pinx1/Pak1ip1/Rpl35a/Wbp11/Nob1/Rps14/Ckap5/Tsr3/Rpl11/C1qbp/Snrpc/Snrpb/Rrp1/Nom1/Bms1/Exosc2/Rrp12/Wdr36/Ddx52/Ddx49/Ramac/Exosc4/Imp3/Snrnp200/Rpf1/Znhit6/Coil/Nop10/Exosc5/Rpl26/Gemin2/Cul4b/Suv39h1/Hsp90aa1/Ddx54/Wdr77/Nol8/Rps7/Utp3/Scaf11/Brix1/Denr/Pih1d2/Mphosph10/Isg20l2/Snrpd2/Utp25/Ythdf2/Rps5/Eif3d/Heatr3/Ebna1bp2/Mak16/Lsm6/Srsf1/Efl1/Utp6/Srfbp1/Nol9/Prpf6/Riok1/Gpatch4/Ppan/Lsm2/Eri2/Mcts2/Cul4a/Rpl13a/Lsm4/Rpusd1/Exosc3/Sf3a1/Riox2/Prpf8/Exosc10/Exosc9/Clp1/Srpk2/Eif4b/Rpl14/Rpl7l1/Nifk/Sart3/Rps21/Puf60/Nsun4/Abt1/Exosc7/Nup88/Imp4/Fastkd2/Rpp30/Drosha"
"GO:0019730","BP","GO:0019730","antimicrobial humoral response",117,0.662983355188308,2.61576645245382,2.56556141717983e-16,4.26498929991975e-13,3.46377797228932e-13,903,"tags=38%, list=5%, signal=37%","Cxcl5/S100a9/Defa21/Defa5/Cxcl3/Cxcl2/Cxcl1/Defa2/Defa20/Defa22/Mmp7/Defa34/Krt6a/Acod1/Npy/Wfdc21/Ppbp/Defa17/Hmgn2-ps/Defa41/Defa30/Hamp/Hamp2/Pglyrp4/Defa24/Ivl/Ltf/Nppb/Wfdc15b/Wfdc18/Reg1/Defa3/Defa26/Slpi/Ccl20/Pgc/Il17a/Defa35/Trf/Defa38/Cxcl15/Defa29/Hrg/Ccl17/Wfdc17"
"GO:0042254","BP","GO:0042254","ribosome biogenesis",293,0.502571129003713,2.2900176617847,2.52606018410767e-16,4.26498929991975e-13,3.46377797228932e-13,5512,"tags=65%, list=32%, signal=45%","Cdkn2a/Mybbp1a/Nhp2/Ran/Rpl27/Rrp1b/Rpusd2/Rcl1/Npm1/Fbl/Dimt1/Ddx18/Nip7/Rps6/Snu13/Ddx3x/Ltv1/Naf1/Trmt112/Ddx21/Utp18/Noc4l/Ncl/Rrs1/Gar1/Utp4/Rpl10a/Las1l/Riok2/Xrcc5/Shq1/Pes1/Wdr3/Wdr12/Rps2/Wdr43/Nop9/Mrto4/Nop56/Noc2l/Ftsj3/Znhit3/Pa2g4/Rpl23a/Lyar/Dkc1/Abce1/Npm3/Rrn3/Nol11/Xpo1/Nol10/Wdr75/Ddx31/Mdn1/Dis3/Urb2/Ddx27/Ipo9/Utp15/Rplp0/Rpp38/Lsg1/Pwp1/Gtpbp4/Dhx29/Gnl3l/Tbl3/Ddx10/Gtf2h5/Rpl6/Rrp15/Heatr1/Gtf3a/Wdr46/Nle1/Grwd1/Nop16/Nop58/Mettl15/Rpl7/Rsl1d1/Ddx56/Gtpbp10/Pwp2/Pdcd11/Ddx28/Rpl5/Nop14/Nop2/Wdr55/Ddx51/Gnl2/Aatf/Rpsa/Sdad1/Eri1/Exosc8/Rpl10/Bop1/Rbfa/Dhx37/Dhx30/Rpp25/Pop4/Rpp40/Pelp1/Exosc1/Mtrex/Wdr18/Bysl/Tsr1/Wdr74/Rps16/Rrp8/Rpf2/Nmd3/Krr1/Rrp9/Nsa2/Rsl24d1/Utp14a/Pinx1/Pak1ip1/Rpl35a/Wbp11/Nob1/Rps14/Tsr3/Rpl11/C1qbp/Rrp1/Nom1/Bms1/Exosc2/Rrp12/Wdr36/Ddx52/Ddx49/Exosc4/Imp3/Rpf1/Znhit6/Nop10/Exosc5/Rpl26/Cul4b/Suv39h1/Ddx54/Nol8/Rps7/Utp3/Brix1/Pih1d2/Mphosph10/Isg20l2/Utp25/Ythdf2/Rps5/Heatr3/Ebna1bp2/Mak16/Lsm6/Efl1/Utp6/Srfbp1/Nol9/Riok1/Gpatch4/Ppan/Eri2/Cul4a/Rpusd1/Exosc3/Riox2/Exosc10/Exosc9/Rpl14/Rpl7l1/Nifk/Rps21/Nsun4/Abt1/Exosc7/Nup88/Imp4/Fastkd2/Rpp30/Drosha"
"GO:0034702","CC","GO:0034702","ion channel complex",263,-0.583637512486332,-2.0491354475599,2.57740983816751e-15,3.57057176247472e-12,2.89981215652074e-12,2582,"tags=45%, list=15%, signal=39%","Dlg4/Cnga4/Cldn17/Kcnd1/Stac3/Trpc1/Cacna2d1/Mcu/Abhd6/Olfm1/Cnga3/Clcn1/Cftr/Cacna1i/Kcns1/Kcng2/Kcnab1/Scnn1a/Trpm4/Cacna1c/Chrna1/Tmem249/Grin2b/Hcn4/Cacna1b/Efcab9/Clcn2/Cnih2/Best3/Kcnip2/Tmem262/Kcnmb3/Kcnmb1/Hcn2/Scn4a/Cacng5/Hcn1/Cacna1g/Catsper4/Kcnip3/Xntrpc/Grid2/Kcne2/Clcnkb/Kcne4/Scn11a/Chrna10/Kcnj3/Clic5/Kcnc1/Chrna7/Trpc3/Chrna4/Kcnk4/Kcna5/Kcnma1/Gabrq/Kcne1l/Kcnip4/Gabrg3/Cacng2/Cacna2d2/Catsperg1/Kcnj11/Dpp6/Unc80/Olfm3/Chrna6/Kcnq2/Cacna2d3/Kcnk2/Gabrb3/Snap25/Scn7a/Gabrg2/Chrna9/Kcnf1/Vwc2/Chrnb4/Grik3/Kcnb1/Kcnj5/Gria4/Gabra3/Htr3b/Kcng4/Gria2/Abcc8/Trpc7/Glrb/Cacna1e/Gabrr2/Ryr3/Shisa6/Kcnc2/Kcna6/Kcnd2/Kcnd3/Chrna5/Akap6/Cacnb2/Grik1/Scn2a/Grik2/Kcna1/Kcng1/Scn9a/Kcnq3/Ryr2/Gria1/Kcnip1/Trpc4/Ano2/Dpp10/Grin3a/Kcna2/Htr3a/Chrna3"
"GO:0022836","MF","GO:0022836","gated channel activity",293,-0.570296733258486,-2.01393863186241,3.00735769467211e-15,3.57102245115922e-12,2.90017817983943e-12,3496,"tags=49%, list=20%, signal=40%","Itpr2/Ttyh1/Tmem38a/Chrnb2/Grin2d/Cacna1d/P2rx6/Grik4/Ano10/Tmem63a/Kcnj10/Tmc8/Scn3a/Aqp1/P2rx5/Clca4a/Cnga4/Asic3/Kcnd1/Clca3a2/P2rx4/Cacna2d1/Clca3a1/Tmc1/Mcoln2/Cnga3/Clcn1/Cftr/Tmc5/Cacna1i/Kcns1/Kcng2/Tmc3/Kcnj13/Kcnab1/Scnn1a/Slc17a3/Trpm4/Cacna1c/Chrna1/Grin2b/Kcnk5/Hcn4/Cacna1b/Clcn2/Kcnk6/Cnr1/Kcnip2/Kcnmb3/Kcnmb1/Hcn2/Scn4a/Cacng5/Hcn1/Cacna1g/Catsper4/Kcnt2/Kcnip3/Grid2/Kcne2/Clcnkb/Nalf1/Kcne4/Scn11a/Chrna10/Kcnj3/Clic5/Kcnc1/Chrna7/Trpc3/Chrna4/Nalcn/Kcnk4/Kcna5/Kcnma1/Gabrq/Kcne1l/Tmem63c/Asic5/P2rx1/Kcnip4/Gabrg3/Trpm5/Cacng2/Cacna2d2/Kcnj11/Asic2/Mcoln3/Chrna6/Kcnq2/Cacna2d3/Kcnk2/Gabrb3/Kcnn3/Snap25/Clca2/Gabrg2/Grm7/Chrna9/Kcnf1/Kcnh3/Nmur2/Chrnb4/Kcnk9/Grik3/Kcnb1/Kcnj5/Gria4/Gabra3/Htr3b/Kcng4/Gria2/Glrb/Kcnk3/Gabre/Cacna1e/Gabrr2/Ryr3/Kcnc2/Nalf2/Kcna6/Kcnd2/Kcnd3/Chrna5/Cacnb2/Grik1/Kcnt1/Scn2a/Grik2/Kcna1/Asic4/Kcng1/Scn9a/Kcnq3/Ryr2/Clca1/Kcnj12/Gria1/Kcnip1/Ano2/Grin3a/Kcna2/Htr3a/Chrna3"
"GO:0097060","CC","GO:0097060","synaptic membrane",438,-0.520115005697784,-1.86280888685041,7.27697538200032e-15,7.56077742189833e-12,6.14042672694317e-12,2183,"tags=31%, list=13%, signal=28%","Cacna1c/Rims3/Slc6a11/Chrm3/Chrna1/Grin2b/L1cam/Rims4/Cryab/Lrrtm1/Pde2a/Slitrk2/Cnih2/Cnr1/Ache/Pcdh17/Cntnap1/Dnm1/Nrcam/Apba1/Shank1/Slc16a7/Epha7/Cacng5/Flrt3/Dgki/Rgs7bp/Eno2/Lrrc7/Slc6a7/Ctnna2/Grid2/Cntn6/Ank2/Cpe/Scn11a/Adam22/Apbb1/Chrna10/Syt7/Kcnj3/Drd3/Ncam1/Kcnc1/Prrt1/Chrna7/Atp2b4/Chrm1/Chrna4/Kcnma1/Gabrq/Cspg5/Adam23/P2rx1/Gabrg3/Lin7b/Syt6/Actn2/Cacng2/Otof/Grm8/Slc8a3/Cdh10/Tenm2/Itga8/Adra2a/Lhfpl4/Chrna6/Cntn1/Neto1/Gabrb3/Lrrc4c/Chrm2/Snap25/Cbln1/Lrfn2/Cadm3/Gabrg2/Grm7/Chrna9/Nlgn3/Atp2b2/Chrnb4/Grik3/Kcnb1/Lrrc4b/Sspn/Sorcs3/Gria4/Lrfn5/Plppr4/Stx1b/Gabra3/Lrrtm3/Syp/Nrxn2/Htr3b/Oprk1/Ank1/Adgrb1/Ntrk3/Gria2/Glrb/Gabre/Cacna1e/Gabrr2/Slc8a1/Nlgn1/Shisa6/Adra1a/Kcnc2/Cdh8/Dgkb/Kcnd2/Igsf21/Kcnd3/Chrna5/Dlg2/P2ry4/Pacsin1/Grik1/Slitrk3/Scn2a/Snap91/Grik2/Slitrk1/Kcna1/Slc8a2/Adra2c/Gria1/Rims1/Syndig1/Calb2/Grin3a/Kcna2/Htr3a/Chrna3"
"GO:0034703","CC","GO:0034703","cation channel complex",203,-0.618113207453197,-2.12238539387951,9.22848273400707e-15,8.52301649834075e-12,6.92190172785817e-12,3115,"tags=47%, list=18%, signal=39%","Scn3a/Abcc9/Dlg4/Cnga4/Kcnd1/Stac3/Trpc1/Cacna2d1/Mcu/Abhd6/Olfm1/Cnga3/Cacna1i/Kcns1/Kcng2/Kcnab1/Scnn1a/Trpm4/Cacna1c/Tmem249/Grin2b/Hcn4/Cacna1b/Efcab9/Cnih2/Kcnip2/Tmem262/Kcnmb3/Kcnmb1/Hcn2/Scn4a/Cacng5/Hcn1/Cacna1g/Catsper4/Kcnip3/Xntrpc/Kcne2/Kcne4/Scn11a/Kcnj3/Kcnc1/Trpc3/Kcnk4/Kcna5/Kcnma1/Kcne1l/Kcnip4/Cacng2/Cacna2d2/Catsperg1/Kcnj11/Dpp6/Unc80/Olfm3/Kcnq2/Cacna2d3/Kcnk2/Snap25/Scn7a/Kcnf1/Vwc2/Grik3/Kcnb1/Kcnj5/Gria4/Htr3b/Kcng4/Gria2/Abcc8/Trpc7/Cacna1e/Ryr3/Shisa6/Kcnc2/Kcna6/Kcnd2/Kcnd3/Akap6/Cacnb2/Grik1/Scn2a/Grik2/Kcna1/Kcng1/Scn9a/Kcnq3/Ryr2/Gria1/Kcnip1/Trpc4/Dpp10/Grin3a/Kcna2/Htr3a"
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",91,0.692332151655218,2.68037324815364,1.67358561171741e-14,1.39108436045951e-11,1.1297583713625e-11,891,"tags=42%, list=5%, signal=40%","Cxcl5/S100a9/Defa21/Defa5/Cxcl3/Cxcl2/Cxcl1/Defa2/Defa20/Defa22/Mmp7/Defa34/Krt6a/Npy/Ppbp/Defa17/Hmgn2-ps/Defa41/Defa30/Hamp/Hamp2/Pglyrp4/Defa24/Ivl/Ltf/Nppb/Reg1/Defa3/Defa26/Ccl20/Pgc/Il17a/Defa35/Defa38/Cxcl15/Defa29/Hrg/Ccl17"
