"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030312","CC","GO:0030312","external encapsulating structure",443,-0.57410126976368,-2.03901379416426,1.35919514646961e-19,1.10421013699191e-15,9.69034602846178e-16,2004,"tags=40%, list=13%, signal=36%","Entpd2/Clec14a/Plxna2/Col16a1/Vwf/Megf6/Fgf1/Plxdc2/Entpd1/Ptx3/Col5a3/Col11a1/Papln/Vtn/Lama3/Frem2/Ncan/Serpinb1a/Loxl4/Lamc1/Serpinh1/S100a13/Ntng2/Atrnl1/Igfbp7/Sned1/Tril/Rarres2/Cthrc1/Col6a4/Igf1/Bmper/Lgals4/Fmod/Igfbp6/Adamts14/Sparcl1/Hpse2/Tnc/Mmrn2/Tinag/Spon2/Srpx2/Adamts3/Cd180/Col4a5/Fbln5/Adamts4/Ltbp1/Col4a1/Col22a1/Loxl2/Col4a2/Olfml2b/Mmp23/Gpc6/Nid1/Sod3/Ccn3/Sema6d/Sparc/Lamb1/Lrrc3b/Olfml2a/Thbs3/Mmp17/Lgr6/Lama1/Hspg2/Col12a1/Colec12/Col10a1/Col18a1/Loxl1/Svep1/Emilin1/Dcn/Angpt4/P3h2/Ntng1/Bgn/Muc2/Col24a1/Loxl3/Crispld2/Adamts12/Lama4/Angpt1/Igf2/Col13a1/Emid1/Adamtsl2/Col5a2/Lrrc32/Lrrn3/Ltbp2/Tmeff2/Col4a6/Fibcd1/Col15a1/Lrrn1/Spock3/Insl5/Cspg4/Mmp2/Zan/Ssc5d/Nid2/Aspn/Adamts2/Dmbt1/Thsd4/Spon1/Alb/Col7a1/Mfap2/Adamts19/Eln/Angptl7/Col6a1/Ntn3/Col17a1/Serpinf1/Lama2/Postn/Col6a2/Fbln2/Pmp22/Fbn1/Col5a1/Cpn2/Matn2/Tgfbr3/Col3a1/Col1a1/Sspo/Ecm2/Cpz/Alpl/Vcan/Tnxb/Col1a2/Sfrp1/Fbn2/Adamts15/Col6a3/Fbln7/Timp4/Mmrn1/Fgf10/Lrrc15/Zg16/Thbs4/Adamtsl3/Tgm3/Tnn/Hmcn1/Ogn/Dpt/Efemp1/Mfap5/Fcgbp/Itih2/Clec3b/Wnt4/Wnt2/Reln/Mfap4/Lamc3/Mmp16/Lum/Col6a5/Ntn1/Mamdc2/Itih5/Zp1/Hapln1"
"GO:0031012","CC","GO:0031012","extracellular matrix",442,-0.574450649110268,-2.03968410973489,3.32070172970817e-19,1.34886904260746e-15,1.18374277975334e-15,2004,"tags=40%, list=13%, signal=36%","Entpd2/Clec14a/Plxna2/Col16a1/Vwf/Megf6/Fgf1/Plxdc2/Entpd1/Ptx3/Col5a3/Col11a1/Papln/Vtn/Lama3/Frem2/Ncan/Serpinb1a/Loxl4/Lamc1/Serpinh1/S100a13/Ntng2/Atrnl1/Igfbp7/Sned1/Tril/Rarres2/Cthrc1/Col6a4/Igf1/Bmper/Lgals4/Fmod/Igfbp6/Adamts14/Sparcl1/Hpse2/Tnc/Mmrn2/Tinag/Spon2/Srpx2/Adamts3/Cd180/Col4a5/Fbln5/Adamts4/Ltbp1/Col4a1/Col22a1/Loxl2/Col4a2/Olfml2b/Mmp23/Gpc6/Nid1/Sod3/Ccn3/Sema6d/Sparc/Lamb1/Lrrc3b/Olfml2a/Thbs3/Mmp17/Lgr6/Lama1/Hspg2/Col12a1/Colec12/Col10a1/Col18a1/Loxl1/Svep1/Emilin1/Dcn/Angpt4/P3h2/Ntng1/Bgn/Muc2/Col24a1/Loxl3/Crispld2/Adamts12/Lama4/Angpt1/Igf2/Col13a1/Emid1/Adamtsl2/Col5a2/Lrrc32/Lrrn3/Ltbp2/Tmeff2/Col4a6/Fibcd1/Col15a1/Lrrn1/Spock3/Insl5/Cspg4/Mmp2/Zan/Ssc5d/Nid2/Aspn/Adamts2/Dmbt1/Thsd4/Spon1/Alb/Col7a1/Mfap2/Adamts19/Eln/Angptl7/Col6a1/Ntn3/Col17a1/Serpinf1/Lama2/Postn/Col6a2/Fbln2/Pmp22/Fbn1/Col5a1/Cpn2/Matn2/Tgfbr3/Col3a1/Col1a1/Sspo/Ecm2/Cpz/Alpl/Vcan/Tnxb/Col1a2/Sfrp1/Fbn2/Adamts15/Col6a3/Fbln7/Timp4/Mmrn1/Fgf10/Lrrc15/Zg16/Thbs4/Adamtsl3/Tgm3/Tnn/Hmcn1/Ogn/Dpt/Efemp1/Mfap5/Fcgbp/Itih2/Clec3b/Wnt4/Wnt2/Reln/Mfap4/Lamc3/Mmp16/Lum/Col6a5/Ntn1/Mamdc2/Itih5/Zp1/Hapln1"
"GO:0005840","CC","GO:0005840","ribosome",219,0.58465442149696,2.41156232838265,1.97136621793147e-16,5.33845971815843e-13,4.68493452422803e-13,4892,"tags=70%, list=31%, signal=49%","Oas1h/Elavl4/Nr0b1/Oas1d/Snca/Rps10/Hba-a1/Rpl9-ps6/Rpl13a/Rpl36al/Chchd1/Rpl41/Uba52/Rps27rt/Gadd45gip1/Pnpt1/Mtg2/Rpl35/Rpl17/Rps18/Rps19/Rps24/Rpl22l1/Mrpl13/Rps3/Rpl9/Rpl14/Rps16/Ptcd3/Mcts1/Mrpl32/Mrpl28/Rps25/Mrps10/Rpl35a/Rpl36/Apod/Npm1/Rps14/Rpl24/Mrpl57/Rps8/Rack1/Rpl5/Mrpl38/Mrpl3/Rpl19/Rps12/Mrpl11/Mrpl15/Rpl12/Rps9/Rsl24d1/Rpl38/Rps15/Ndufa7/Rpl10a/Mrps18a/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Mrps35/Eif2d/Mrpl46/Rps2/Rps27l/Rpl15/Mrpl21/Rpl10/Mrpl33/Rpl6/Mrpl37/Rpl27a/Fau/Rpl7/Rpl3/Mrpl58/Mrpl16/Rps26/Mrps28/Mrps27/Hspa14/Rpl11/Rps15a/Rpl26/Rpl39/Mrpl54/Rpl27/Rpl7a/Mrps5/Mrpl24/Mrpl50/Rpsa/Rps7/Mrps11/Rps28/Malsu1/Rps20/Mrps14/Mrpl45/Mrpl17/Mrpl1/Mrps25/Rpl37/Rpl29/Rpl37a/Mrpl19/Rpl18/Mrps17/Mtg1/Mrpl23/Mrpl22/Rpl28/Rplp2/Rps4x/Mrpl14/Mrpl4/Eif3h/Mrpl41/Rpl8/Rps23/Rpl23a/Rplp0/Mrps31/Rps6/Mrps7/Btf3/Dap3/Mrps30/Mt3/Mrps24/Mrps26/Rps27a/Mrpl12/Mrps15/Nsun4/Rpl18a/Rpl31/Mrps18b/Eif2a/Mrps16/Mrpl40/Mrpl39/Rpl22/Mrpl18/Mrps22/Mrpl2/Mrps33/Rpl36a"
"GO:0044391","CC","GO:0044391","ribosomal subunit",187,0.603072819342332,2.44695391389428,8.47491697046132e-16,1.72125563670069e-12,1.51054243791933e-12,5400,"tags=80%, list=34%, signal=53%","Rps10/Hba-a1/Rpl9-ps6/Rpl13a/Rpl36al/Chchd1/Rpl41/Uba52/Rps27rt/Gadd45gip1/Rpl35/Rpl17/Rps18/Rps19/Rps24/Mrpl13/Rps3/Rpl9/Rpl14/Rps16/Ptcd3/Mcts1/Mrpl32/Mrpl28/Rps25/Mrps10/Rpl35a/Rpl36/Npm1/Rps14/Rpl24/Mrpl57/Rps8/Rack1/Rpl5/Mrpl38/Mrpl3/Rpl19/Rps12/Mrpl11/Mrpl15/Rpl12/Rps9/Rpl38/Rps15/Rpl10a/Mrps18a/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Mrps35/Eif2d/Mrpl46/Rps2/Rps27l/Rpl15/Mrpl21/Rpl10/Mrpl33/Rpl6/Mrpl37/Rpl27a/Fau/Rpl7/Rpl3/Mrpl58/Mrpl16/Rps26/Mrps28/Mrps27/Rpl11/Rps15a/Rpl26/Rpl39/Mrpl54/Rpl27/Rpl7a/Mrps5/Mrpl24/Mrpl50/Rpsa/Rps7/Mrps11/Rps28/Malsu1/Rps20/Mrps14/Mrpl45/Mrpl17/Mrpl1/Mrps25/Rpl37/Rpl29/Rpl37a/Mrpl19/Rpl18/Mrps17/Mrpl23/Mrpl22/Rpl28/Rplp2/Rps4x/Mrpl14/Mrpl4/Mrpl41/Rpl8/Rps23/Rpl23a/Rplp0/Mrps31/Rps6/Mrps7/Dap3/Mrps30/Mrps24/Mrps26/Rps27a/Mrpl12/Mrps15/Nsun4/Rpl18a/Rpl31/Mrps18b/Eif2a/Mrps16/Mrpl40/Mrpl39/Rpl22/Mrpl18/Mrps22/Mrpl2/Mrps33/Rpl36a/Mrpl43/Mcts2/Rps17/Mrpl44/Mrpl34/Mrpl52/Mrpl10/Mrpl36/Rpl23/Mrps9/Rpl4"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix",337,-0.578530547143926,-2.01853876097301,1.34529255551625e-15,2.1858313442028e-12,1.91824557442348e-12,2127,"tags=42%, list=13%, signal=38%","Lgals1/Col8a1/Adamtsl5/Comp/Entpd2/Clec14a/Plxna2/Col16a1/Vwf/Megf6/Plxdc2/Entpd1/Col5a3/Col11a1/Papln/Vtn/Lama3/Frem2/Ncan/Serpinb1a/Loxl4/Lamc1/Serpinh1/S100a13/Ntng2/Atrnl1/Igfbp7/Rarres2/Col6a4/Igf1/Bmper/Lgals4/Fmod/Igfbp6/Sparcl1/Tnc/Mmrn2/Tinag/Srpx2/Col4a5/Fbln5/Adamts4/Ltbp1/Col4a1/Col22a1/Loxl2/Col4a2/Gpc6/Nid1/Sod3/Ccn3/Sema6d/Sparc/Lamb1/Thbs3/Lama1/Hspg2/Col12a1/Colec12/Col10a1/Col18a1/Loxl1/Emilin1/Dcn/Angpt4/P3h2/Ntng1/Bgn/Muc2/Col24a1/Loxl3/Lama4/Angpt1/Igf2/Col13a1/Emid1/Col5a2/Ltbp2/Tmeff2/Col4a6/Fibcd1/Col15a1/Insl5/Cspg4/Ssc5d/Nid2/Aspn/Adamts2/Dmbt1/Spon1/Alb/Col7a1/Mfap2/Eln/Angptl7/Col6a1/Ntn3/Col17a1/Serpinf1/Lama2/Postn/Col6a2/Fbln2/Pmp22/Fbn1/Col5a1/Cpn2/Matn2/Col3a1/Col1a1/Sspo/Ecm2/Vcan/Tnxb/Col1a2/Sfrp1/Fbn2/Adamts15/Col6a3/Mmrn1/Fgf10/Lrrc15/Zg16/Thbs4/Tgm3/Tnn/Hmcn1/Ogn/Dpt/Efemp1/Mfap5/Itih2/Wnt2/Reln/Mfap4/Lamc3/Lum/Col6a5/Ntn1/Mamdc2/Itih5/Zp1/Hapln1"
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis",408,0.472517690436694,2.07300593978556,1.82719978704991e-15,2.47402851166558e-12,2.17116213292791e-12,5484,"tags=62%, list=35%, signal=42%","Srpk3/Rpl13a/Znhit3/Mrto4/Gcfc2/Ptbp2/Ran/Exosc8/Rps27rt/Pih1d2/Naf1/Dimt1/Gemin2/Srsf6/Npm3/Rpl35/Snrpg/Ddx17/Eif2s3y/Nhp2/Nop56/Rps19/Rps24/Fastkd2/Cdkn2a/Wdr12/Rpp38/Lsm2/Rpp25/Ppan/Lyar/Rpf2/Gemin4/Rpp30/Psip1/Rpl14/Emg1/Rps16/Snrpd1/Wdr77/Mcts1/Rps25/Rpl35a/Mettl17/Nle1/Npm1/Rps14/Rpl24/Fbl/Mettl5/Rps8/Ddx39b/Rpl5/Gemin8/Prpf39/Snrpe/Mphosph6/Nip7/Gtf3a/Wdr55/Rsl24d1/Rpl38/Fdxacb1/Prmt7/Trmt112/Ptges3/Gemin7/Rrp9/Rrp15/Rps15/Rpp40/Rsl1d1/Rpl10a/Nmd3/Snrpd2/Ipo4/Pak1ip1/Gtpbp10/Rps27/Exosc1/Gar1/Nat10/Rps5/Rcl1/Dkc1/Gemin6/Exosc10/Eri2/Ddx56/Tfb1m/Pih1d1/Rps21/Ddx31/Mterf3/Taf9/Lsm6/C1qbp/Nop10/Ddx18/Eif2d/Snrpc/Aatf/Rps2/Rps27l/Srsf10/Nol10/Rpl10/Exosc5/Snrpd3/Xpo1/Noc2l/Ruvbl2/Khdc4/Rpl6/Mphosph10/Mak16/Wdr36/Ebna1bp2/Ltv1/Rpl7/Pinx1/Dis3/Hsp90aa1/Wdr75/Tarbp2/Wdr74/Rrp1b/Rbis/Riok2/Nop58/Rbmx/Rpl11/Rpl26/Pa2g4/Exosc7/Luc7l3/Mybbp1a/Coil/Noc4l/Srsf1/Utp14a/Ruvbl1/Wdr18/Nufip1/Snrpf/Las1l/Rpl27/Gnl2/Cul4b/Srpk1/Rpl7a/Eri1/Snu13/Rbm5/Ngrn/Utp15/Rpsa/Suv39h1/Rps7/Mrps11/Rps28/Isy1/Grwd1/Malsu1/Wdr43/Pop4/Mrpl1/Tsr3/Puf60/Imp4/Nsun5/Brix1/Krr1/Ddx20/Mettl15/Hsp90ab1/Mrpl22/Nol11/Helq/Nob1/Srfbp1/Shq1/Mbnl1/Abce1/Nol8/Rpusd1/Smn1/Tbl3/Riox2/Prpf3/Rpl23a/Bop1/Exosc2/Rpf1/Rplp0/Sfswap/Nvl/Rexo4/Fcf1/Ythdc1/Rps6/Mrps7/Tsr2/Bud23/Strap/Cpsf7/Eif3d/Ddx51/Zcchc4/Prpf31/Nsun4/Nsa2/Eif5/Ddx52/Nup88/Ngdn/Luc7l/Eif2a/Ddx27/Utp18/Pin4/Snrpb/Ncl/Utp14b/Xab2/Dhx30/Rpusd4/Pop5/Nop14/Mcts2/Rrp8/Rps17/Nop2/Sf3a3/Riok1/Heatr3/Denr/Eri3/Nudt21/Bysl/Rrs1/Mrpl10/Nop16/Rrn3/Prmt5/Mrpl36/Zrsr2/Nifk/Usp39/Cdc73/Exosc4/Exosc3/Pes1"
"GO:0005201","MF","GO:0005201","extracellular matrix structural constituent",134,-0.697221511831865,-2.25354611897239,8.06665732255988e-15,9.3619320126395e-12,8.21586015724783e-12,2107,"tags=60%, list=13%, signal=53%","Col8a1/Comp/Col16a1/Vwf/Col5a3/Col11a1/Papln/Vtn/Lama3/Lamc1/Igfbp7/Col6a4/Bmper/Igfbp6/Tnc/Mmrn2/Tinag/Srpx2/Col4a5/Fbln5/Ltbp1/Col4a1/Col22a1/Col4a2/Nid1/Sparc/Lamb1/Lama1/Hspg2/Col12a1/Col10a1/Col18a1/Emilin1/Dcn/Bgn/Col24a1/Lama4/Col13a1/Emid1/Col5a2/Ltbp2/Col4a6/Col15a1/Nid2/Aspn/Dmbt1/Spon1/Col7a1/Mfap2/Eln/Col6a1/Col17a1/Lama2/Postn/Col6a2/Fbln2/Fbn1/Col5a1/Matn2/Col3a1/Col1a1/Sspo/Vcan/Tnxb/Col1a2/Fbn2/Col6a3/Mmrn1/Thbs4/Hmcn1/Ogn/Dpt/Efemp1/Mfap5/Reln/Mfap4/Lum/Col6a5/Ntn1/Zp1/Hapln1"
"GO:0042254","BP","GO:0042254","ribosome biogenesis",292,0.508727182470646,2.16489784284723,2.85813086248285e-14,2.90243189085134e-11,2.54712109626268e-11,5484,"tags=64%, list=35%, signal=43%","Znhit3/Mrto4/Ran/Exosc8/Rps27rt/Pih1d2/Naf1/Dimt1/Npm3/Rpl35/Ddx17/Nhp2/Nop56/Rps19/Rps24/Fastkd2/Cdkn2a/Wdr12/Rpp38/Rpp25/Ppan/Lyar/Rpf2/Rpp30/Rpl14/Emg1/Rps16/Rps25/Rpl35a/Mettl17/Nle1/Npm1/Rps14/Rpl24/Fbl/Mettl5/Rps8/Rpl5/Mphosph6/Nip7/Gtf3a/Wdr55/Rsl24d1/Rpl38/Fdxacb1/Trmt112/Rrp9/Rrp15/Rps15/Rpp40/Rsl1d1/Rpl10a/Nmd3/Ipo4/Pak1ip1/Gtpbp10/Rps27/Exosc1/Gar1/Nat10/Rps5/Rcl1/Dkc1/Exosc10/Eri2/Ddx56/Tfb1m/Pih1d1/Rps21/Ddx31/Mterf3/Lsm6/C1qbp/Nop10/Ddx18/Aatf/Rps2/Rps27l/Nol10/Rpl10/Exosc5/Xpo1/Noc2l/Rpl6/Mphosph10/Mak16/Wdr36/Ebna1bp2/Ltv1/Rpl7/Pinx1/Dis3/Wdr75/Wdr74/Rrp1b/Rbis/Riok2/Nop58/Rpl11/Rpl26/Pa2g4/Exosc7/Mybbp1a/Noc4l/Utp14a/Wdr18/Las1l/Rpl27/Gnl2/Cul4b/Rpl7a/Eri1/Snu13/Ngrn/Utp15/Rpsa/Suv39h1/Rps7/Mrps11/Rps28/Grwd1/Malsu1/Wdr43/Pop4/Mrpl1/Tsr3/Imp4/Nsun5/Brix1/Krr1/Mettl15/Mrpl22/Nol11/Helq/Nob1/Srfbp1/Shq1/Abce1/Nol8/Rpusd1/Tbl3/Riox2/Rpl23a/Bop1/Exosc2/Rpf1/Rplp0/Nvl/Rexo4/Fcf1/Rps6/Mrps7/Tsr2/Bud23/Ddx51/Zcchc4/Nsun4/Nsa2/Ddx52/Nup88/Ngdn/Eif2a/Ddx27/Utp18/Pin4/Ncl/Utp14b/Dhx30/Rpusd4/Pop5/Nop14/Rrp8/Rps17/Nop2/Riok1/Heatr3/Eri3/Bysl/Rrs1/Mrpl10/Nop16/Rrn3/Mrpl36/Nifk/Exosc4/Exosc3/Pes1"
"GO:0003735","MF","GO:0003735","structural constituent of ribosome",156,0.610832766709208,2.42228409636282,1.16027274359014e-13,1.0473395298807e-10,9.19125999103632e-11,5400,"tags=84%, list=34%, signal=56%","Rps10/Rpl9-ps6/Rpl13a/Rpl36al/Rpl41/Uba52/Rps27rt/Rpl35/Rpl17/Rps18/Rps19/Rps24/Rpl22l1/Mrpl13/Rps3/Rpl9/Rpl14/Rps16/Mrpl32/Mrpl28/Rps25/Mrps10/Rpl35a/Rpl36/Rps14/Rpl24/Mrpl57/Rps8/Rpl5/Mrpl3/Rpl19/Rps12/Mrpl11/Mrpl15/Rpl12/Rps9/Rsl24d1/Rpl38/Rps15/Ndufa7/Rpl10a/Mrps18a/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Mrps35/Mrpl46/Rps2/Rps27l/Rpl15/Mrpl21/Rpl10/Mrpl33/Rpl6/Mrpl37/Rpl27a/Fau/Rpl7/Rpl3/Mrpl16/Rps26/Rpl11/Rps15a/Rpl26/Rpl39/Mrpl54/Rpl27/Rpl7a/Mrps5/Mrpl24/Rpsa/Rps7/Mrps11/Rps28/Rps20/Mrps14/Mrpl17/Mrpl1/Mrps25/Rpl37/Rpl29/Rpl37a/Mrpl19/Rpl18/Mrps17/Mrpl23/Mrpl22/Rpl28/Rplp2/Rps4x/Mrpl14/Mrpl4/Mrpl41/Rpl8/Rps23/Rpl23a/Rplp0/Mrps31/Rps6/Mrps7/Dap3/Mrps30/Mrps24/Rps27a/Mrpl12/Mrps15/Rpl18a/Rpl31/Mrps18b/Mrps16/Mrpl39/Rpl22/Mrpl18/Mrps22/Mrpl2/Rpl36a/Mrpl43/Rps17/Mrpl44/Mrpl34/Mrpl52/Mrpl10/Mrpl36/Rpl23/Mrps9/Rpl4"
"GO:0034470","BP","GO:0034470","ncRNA processing",390,0.439340648791778,1.92290542751357,2.28433549158965e-11,1.85579415336743e-08,1.62861097731965e-08,5100,"tags=55%, list=32%, signal=38%","Tnf/Ankrd16/Trit1/Znhit3/Mrto4/Trmt10a/Dus4l/Tsen15/Exosc8/Tyw5/Rps27rt/Trmt13/Pih1d2/Naf1/Alkbh1/Dimt1/Mettl1/Adat1/Npm3/Rpl35/Ddx17/Yrdc/Nhp2/Thumpd2/Dus3l/Rps19/Rps24/Cdkn2a/Wdr12/Rpp38/Rpp25/Ppan/Lyar/Dgcr8/Rpf2/Rpp30/Rpl14/Emg1/Prorp/Rps16/Pusl1/Qtrt1/Rps25/Rpl35a/Dalrd3/Npm1/Rps14/Fbl/Wdr4/Mettl5/Rps8/Trub1/Rpl5/Ncbp2/Trmt6/Gon7/Trmt11/Ints2/Trub2/Lage3/Mphosph6/Osgepl1/Elp6/Wdr55/Fdxacb1/Trmt112/Srrt/Rrp9/Dtwd1/Rpp14/Tsen2/Rrp15/Rps15/Rpp40/Rsl1d1/Rpl10a/Mettl3/Pus7/Rps27/Exosc1/Gar1/Nat10/Dph3/Rcl1/Dkc1/Ints7/Exosc10/Eri2/Ddx56/Tfb1m/Pih1d1/Rpp21/Mettl2/Rps21/Lsm6/Nop10/Ddx18/Nup155/Ddx5/Adat2/Dus1l/Nol10/Exosc5/Ints6/Mphosph10/Dus2/Trmt10c/Mak16/Wdr36/Ebna1bp2/Rpl7/Larp7/Dis3/Wdr75/Tarbp2/Wdr74/Rrp1b/Nsun2/Riok2/Rpl11/Tarbp1/Rpl26/Pa2g4/Zc3h7a/Exosc7/Trmt1/Urm1/Utp14a/Wdr18/Las1l/Rpl27/Pus10/Rpl7a/Eri1/Snu13/Ctu2/Utp15/Suv39h1/Rps7/Trdmt1/Mrps11/Rps28/Trmt9b/Ftsj1/Pus1/Wdr43/Pop4/Mrpl1/Tsr3/Imp4/Ints10/Nsun5/Brix1/Krr1/Mettl15/Grsf1/Nol11/Trmu/Helq/Nob1/Srfbp1/Shq1/Trp53/Nol8/Ssb/Rpusd1/Tbl3/Thg1l/Ints11/Parn/Bop1/Exosc2/Rpf1/Trnt1/Nvl/Rexo4/Fcf1/Trmt5/Rps6/Tsr2/Tert/Bud23/Trmt61a/Ddx51/Zcchc4/Mto1/Nsun4/Nsa2/Ddx52/Ngdn/Tsn/Osgep/Ddx27/Hsd17b10/Utp18/Pin4/Ncl/Utp14b/Hnrnpa2b1/Tsen54/Spout1/Elp4/Rpusd4/Ints12/Pop5/Nop14/Trmo/Trmt1l/Tyw3/Bcdin3d/Rrp8/Rps17/Nop2"
