"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043588","BP","GO:0043588","skin development",299,0.515751359988345,2.25686322150792,1.02352339506611e-18,8.55358501256749e-15,6.97719737520856e-15,2435,"tags=35%, list=14%, signal=30%","Wnt10a/Tmprss13/Krt36/Casp14/Krt4/Apcdd1/Alox12/Inhba/Dsg4/Krt6a/Tgm1/Krt14/Wnt7a/Sprr2b/Dlx3/Il1a/Cstdc4/Cers3/Krt16/Stfa2l1/Tgm3/Krt90/Asprv1/Wnt16/Grhl3/Fras1/Ptgs2/Foxq1/Vangl2/Csta1/Shh/Sprr2f/Gprc5d/Ivl/Stfa2/Lgr5/Tnf/Sox21/Foxc1/Tfap2c/Sprr2d/Tnfrsf19/Scel/Cldn4/Sprr2h/Krt17/Macroh2a2/Lama5/Lor/Cstdc5/Krtap6-5/Stfa1/Sprr2e/Krt75/Msx2/Sprr2i/Cdh3/Sprr2k/Krt6b/Fzd6/Notch1/Il18/Anxa1/Wnt10b/Krt86/Celsr1/Ppl/Krt83/Trpv1/Aloxe3/Alox12b/Foxn1/Trp63/Wnt5a/Atp7a/Ptch2/Col1a1/Lsr/Runx1/Igfbp5/Krt7/Sox18/Krt88/Col5a2/Prkch/Smo/Snai1/Ncor2/Ext1/Scd1/Stmn1/Lamc1/Pphln1/Bcl11b/Dkk4/Tfap2a/Lhx2/Gnasas1/Stfa3/Itga6/Ezh2/Cyp26b1/Mfsd12/Hdac2"
"GO:0034703","CC","GO:0034703","cation channel complex",209,-0.609229416655214,-2.1018975059736,4.61229117807999e-15,1.92724586876072e-11,1.57206303522348e-11,3073,"tags=46%, list=17%, signal=39%","Cacna1b/Catsperb/Scn1a/Cacna1h/Kcnv2/Kcnc4/Mcu/Kcne1l/Pkd1l3/Kcnmb1/Trpc1/Scn4a/Grin2b/Kcnab1/Trpm4/Abhd6/Kcnd1/Cacnb4/Kcng2/Shisa9/Kcnip3/Cacna1c/Hcn4/Efcab9/Trpc3/Cacna1g/Kcnc1/Hcn2/Cnih3/Vwc2/Hcn1/Stac3/Cacna2d2/Kcne4/Cnih2/Kcna5/Kcns1/Kcnma1/Kcnk2/Kcnmb3/Kcnf1/Scn11a/Tmem249/Trdn/Catsper4/Dpp6/Kcnip2/Kcns2/Kcnv1/Kcne2/Kcnk4/Cacng2/Gria4/Cacna2d3/Kcnj11/Unc80/Olfm3/Kcnj5/Kcng4/Cacng5/Kcnq2/Kcnj3/Snap25/Grik3/Xntrpc/Scn7a/Akap6/Kcnb1/Cacna1e/Kcnip4/Grik2/Shisa6/Kcnc2/Kcna6/Trpc7/Cacnb2/Htr3b/Kcnd2/Ryr3/Abcc8/Grik1/Kcnd3/Ryr2/Kcng1/Gria2/Kcna1/Catsperg1/Scn2a/Dpp10/Trpc4/Scn9a/Kcnip1/Kcnq3/Gria1/Kcna2/Grin3a/Htr3a"
"GO:0034702","CC","GO:0034702","ion channel complex",270,-0.572684926490993,-2.01592068792291,7.07247680571269e-15,1.9701562888447e-11,1.60706525592264e-11,3073,"tags=45%, list=17%, signal=38%","Cacna1b/Gabrd/Catsperb/Scn1a/Cacna1h/Kcnv2/Kcnc4/Mcu/Kcne1l/Pkd1l3/Glra1/Kcnmb1/Trpc1/Scn4a/Grin2b/Kcnab1/Cftr/Clcn2/Trpm4/Clic5/Abhd6/Kcnd1/Cacnb4/Kcng2/Shisa9/Kcnip3/Cacna1c/Hcn4/Efcab9/Trpc3/Chrna7/Clcn1/Cacna1g/Kcnc1/Hcn2/Best3/Cnih3/Vwc2/Hcn1/Gabrq/Stac3/Cacna2d2/Kcne4/Chrna1/Cnih2/Kcna5/Kcns1/Kcnma1/Kcnk2/Kcnmb3/Kcnf1/Gabra3/Scn11a/Tmem249/Trdn/Chrng/Catsper4/Dpp6/Kcnip2/Grid2/Kcns2/Kcnv1/Kcne2/Kcnk4/Cacng2/Gabrr2/Gria4/Cacna2d3/Kcnj11/Unc80/Olfm3/Kcnj5/Chrna9/Chrna6/Kcng4/Cacng5/Kcnq2/Kcnj3/Snap25/Gabrb3/Gabrg2/Grik3/Xntrpc/Scn7a/Akap6/Chrnb4/Glrb/Kcnb1/Gabrg3/Cacna1e/Kcnip4/Grik2/Shisa6/Kcnc2/Kcna6/Trpc7/Cacnb2/Htr3b/Kcnd2/Ryr3/Abcc8/Chrna5/Grik1/Kcnd3/Ryr2/Kcng1/Gria2/Kcna1/Catsperg1/Scn2a/Dpp10/Trpc4/Scn9a/Kcnip1/Kcnq3/Gria1/Ano2/Chrna3/Kcna2/Grin3a/Htr3a"
"GO:0019730","BP","GO:0019730","antimicrobial humoral response",121,0.629449913022681,2.49773469494839,2.48178752433465e-14,4.57379698106317e-11,3.7308665599422e-11,1587,"tags=43%, list=9%, signal=39%","Cxcl5/S100a9/Cxcl3/Cxcl2/Cxcl1/Defa21/Defa5/Defa2/Defa20/Defa22/Mmp7/Defa34/Krt6a/Acod1/Wfdc21/Ppbp/Hmgn2-ps/Defa17/Npy/Hamp/Defa30/Hamp2/Defa24/Slpi/Nppb/Cxcl15/Wfdc18/Wfdc15b/Ltf/Defa41/Pglyrp4/Il17a/Ivl/Ccl20/Defa3/Defa26/Trf/Pgc/Ccl17/Il17f/Hrg/Defa35/Wfdc17/Defa28/Ppl/Reg1/Pf4/Ccl22/Kng2/Wfdc2/Defa38/Ccl1"
"GO:0030216","BP","GO:0030216","keratinocyte differentiation",142,0.595455033169564,2.4087329056636,2.73650651014908e-14,4.57379698106317e-11,3.7308665599422e-11,1284,"tags=33%, list=7%, signal=31%","Krt36/Casp14/Krt4/Dsg4/Krt6a/Tgm1/Krt14/Sprr2b/Il1a/Cstdc4/Cers3/Krt16/Stfa2l1/Tgm3/Krt90/Wnt16/Ptgs2/Csta1/Sprr2f/Gprc5d/Ivl/Stfa2/Foxc1/Tfap2c/Sprr2d/Scel/Sprr2h/Krt17/Macroh2a2/Lor/Cstdc5/Krtap6-5/Stfa1/Sprr2e/Krt75/Msx2/Sprr2i/Cdh3/Sprr2k/Krt6b/Notch1/Anxa1/Krt86/Ppl/Krt83/Foxn1/Trp63"
"GO:0045211","CC","GO:0045211","postsynaptic membrane",307,-0.548109568636378,-1.9474525150756,1.3216523413702e-13,1.70406668994819e-10,1.39001478547508e-10,2741,"tags=39%, list=16%, signal=33%","Glra1/Nrcam/Efnb3/Grip1/Grin2b/Grid1/Slitrk2/Abhd6/Kcnd1/Shisa9/Cacna1c/Lin7a/Pcdh17/Ddn/Chrna7/Slc8a3/Ank2/Rgs7bp/Lrfn5/Slc6a1/Drd2/Kcnc1/Rph3a/Lrrc7/Dcc/Cnih3/Gabrq/Flrt3/Ache/Apbb1/Grm6/Chrna1/Cnih2/Dgki/Prrt2/Epha7/Slc16a7/Shank1/Cdh9/Adam22/Kcnma1/Chrm3/Ctnna2/Neto1/Gabra3/Cnksr2/Cbln1/Lin7b/Chrm2/Prrt1/Chrng/Slc6a3/Tenm2/Lrrtm1/Chrm1/Lhfpl4/P2rx1/Cntn1/Grid2/Drd3/Adgrb1/Cspg5/Nlgn3/Lrrc4b/Cacng2/Cdh10/Gabrr2/Gria4/Sspn/Chrna9/Chrna6/Cacng5/Adra2a/Gabrb3/Plppr4/Gabrg2/Grik3/Ank1/Slc8a1/Chrnb4/Glrb/Kcnb1/Lrrtm3/Gabrg3/Cacna1e/Grik2/Oprk1/Atp2b2/Actn2/Shisa6/Adra2c/Lrfn2/Igsf21/Kcnc2/Ntrk3/Grm7/Htr3b/Kcnd2/Lrrc4c/Slc8a2/Nlgn1/Adra1a/Chrna5/Slitrk1/Dgkb/Sorcs3/Grik1/Slitrk3/Kcnd3/Dlg2/Gria2/Gabre/Kcna1/Pacsin1/Gria1/Chrna3/Grin3a/Htr3a/Syndig1"
"GO:0034470","BP","GO:0034470","ncRNA processing",394,0.426915121966987,1.93072730645511,1.47972105919965e-13,1.70406668994819e-10,1.39001478547508e-10,5826,"tags=55%, list=33%, signal=38%","Cdkn2a/Il6/Esr1/Tnf/Wdr6/Trdmt1/Lin28a/Trmt9b/Rpusd2/Rbm3/Rpl27/Ago1/Nhp2/Elp1/Rrp1b/Qtrt1/Rcl1/Ddx3x/Ncor2/Tert/Npm1/Fbl/Rps6/Ddx21/Tgfb1/Ddx18/Elp2/Utp18/Snu13/Trmt6/Rrs1/Ncl/Nup155/Utp4/Dimt1/Wdr3/Adat2/Trmt112/Nop9/Thada/Trmt10a/Pes1/Gar1/Mdn1/Las1l/Shq1/Ftsj3/Riok2/Naf1/Wdr43/Rpl10a/Nol11/Pdcd11/Pwp1/Parn/Gtpbp4/Ddx27/Pa2g4/Ddx10/Ints11/Trp53/Tut4/Gtf2h5/Heatr1/Wdr46/Wdr75/Nol10/Dkc1/Utp15/Trit1/Wdr12/Dis3/Zc3h7b/Thumpd1/Pop1/Tsen2/Nsun2/Tbl3/Lyar/Pwp2/Polr3k/Egfr/Thg1l/Tsr1/Npm3/Rbfa/Nop2/Nop14/Ints4/Mrto4/Mettl15/Ints7/Prorp/Pum1/Dhx37/Trmt61a/Tsen34/Lcmt2/Ddx51/Mettl2/Alkbh8/Toe1/Rpl7/Rpp38/Rrp15/Rrp12/Pus7/Pum2/Znhit6/Ddx56/Pelp1/Pusl1/Mtrex/Rsl1d1/Znhit3/Ncbp1/Bop1/Bysl/Ctu2/Wbp11/Eri1/Rrp8/Rrp1/Rpl5/Stat3/Dus2/Ddx54/Bms1/Pop4/Wdr55/Ints2/Tyw1/Imp3/Nsa2/Wdr18/Ddx49/Cdkal1/Utp3/Krr1/Wdr74/Ythdf2/Tsn/Nob1/Exosc4/Tarbp1/Rpp40/Utp6/Exosc1/Exosc2/Tut1/Tsr3/Utp14a/Ddx52/Utp25/Rpl11/Rpf1/Trmo/Rtcb/Rpp25/Ssb/Pus1/Rrp9/Ints5/Wdr4/Bmp4/Rnf113a1/Elp3/Wdr36/Rps16/Nol9/Tsnax/Exosc8/Rpl26/Nol8/Rpf2/Dus4l/Rps14/Suv39h1/Brix1/Thumpd2/Rpl35a/Ints8/Exosc5/Clp1/Ints12/Mecp2/Rps7/Nop10/Qtrt2/Riok1/Exosc9/Rpl7l1/Abt1/Prkdc/Larp7/Exosc3/Mphosph10/Srfbp1/Tut7/Ebna1bp2/Yrdc/Osgep/Mak16/Ftsj1/Gtpbp3/Elp6/Drosha/Pus10/Nifk/Trnt1/Ncbp2/Lsm6/Lage3/Trmt5/Snip1/Trub2"
"GO:0097060","CC","GO:0097060","synaptic membrane",446,-0.510512741529479,-1.84577622401237,1.63127121210787e-13,1.70406668994819e-10,1.39001478547508e-10,2741,"tags=35%, list=16%, signal=30%","Glra1/Nrcam/Efnb3/Grip1/Grin2b/Adam23/Grid1/Slitrk2/Abhd6/L1cam/Kcnd1/Shisa9/Cacna1c/Lin7a/Prkcg/Pcdh17/Ddn/Chrna7/Slc8a3/Ank2/Rgs7bp/Lrfn5/Nectin1/Slc6a1/Dnm1/Drd2/Cplx3/Kcnc1/Syt6/Rph3a/Lrrc7/Cryab/Dcc/Cnih3/Gabrq/Flrt3/Rims3/Ache/Cntnap1/Apbb1/Grm6/P2ry4/Chrna1/Atp2b4/Tmem240/Syt7/Cnih2/Dgki/Itga8/Cadm3/Slc6a2/Prrt2/Epha7/Cpe/Slc16a7/Shank1/Cdh9/Adam22/Kcnma1/Chrm3/Eno2/Ctnna2/Cntn6/Neto1/Gabra3/Cnksr2/Scn11a/Cbln1/Lin7b/Chrm2/Prrt1/Chrng/Slc6a3/Tenm2/Lrrtm1/Chrm1/Lhfpl4/P2rx1/Cntn1/Grid2/Drd3/Adgrb1/Cspg5/Nlgn3/Slc6a7/Lrrc4b/Cacng2/Otof/Cdh10/Gabrr2/Gria4/Sspn/Chrna9/Chrna6/Pde2a/Cacng5/Adra2a/Kcnj3/Snap25/Syp/Gabrb3/Plppr4/Gabrg2/Nrxn2/Grik3/Ank1/Slc8a1/Chrnb4/Glrb/Kcnb1/Lrrtm3/Gabrg3/Cacna1e/Grik2/Oprk1/Atp2b2/Actn2/Shisa6/Adra2c/Lrfn2/Igsf21/Kcnc2/Snap91/Ntrk3/Grm7/Cdh8/Htr3b/Kcnd2/Lrrc4c/Slc8a2/Nlgn1/Adra1a/Chrna5/Slitrk1/Stx1b/Dgkb/Sorcs3/Grik1/Slitrk3/Kcnd3/Dlg2/Gria2/Gabre/Kcna1/Scn2a/Pacsin1/Gria1/Rims1/Calb2/Chrna3/Kcna2/Grin3a/Htr3a/Syndig1"
"GO:0008544","BP","GO:0008544","epidermis development",337,0.444205419550107,1.98633329670144,3.1774191830163e-13,2.95041023471858e-10,2.40666276365071e-10,1491,"tags=24%, list=8%, signal=22%","Wnt10a/Krt36/Casp14/Krt4/Apcdd1/Inhba/Dsg4/Krt6a/Tgm1/Krt14/Sprr2b/Cdkn2a/Dlx3/Il1a/Cstdc4/Cers3/Krt16/Stfa2l1/Tgm3/Krt90/Wnt16/Grhl3/Fgf20/Ptgs2/Ptprq/Foxq1/Vangl2/Mycn/Csta1/Shh/Sprr2f/Gprc5d/Ivl/Stfa2/Lgr5/Tnf/Sox21/Foxc1/Mycl/Tfap2c/Sprr2d/Tnfrsf19/Scel/Sprr2h/Krt17/Macroh2a2/Lama5/Lor/Cstdc5/Krtap6-5/Stfa1/Sprr2e/Krt75/Hey1/Msx2/Sprr2i/Cdh3/Sprr2k/Ripor2/Krt6b/Myo3b/Fzd6/Notch1/Anxa1/Jag2/Wnt10b/Krt86/Celsr1/Ppl/Krt83/Trpv1/Ntf5/Foxn1/Trp63/Wnt5a/Atp7a/Ptch2/Runx1/Igfbp5/Krt7"
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",94,0.658025457105689,2.53550057511157,7.26314428224246e-13,6.06980967667003e-10,4.95117077597918e-10,1587,"tags=47%, list=9%, signal=43%","Cxcl5/S100a9/Cxcl3/Cxcl2/Cxcl1/Defa21/Defa5/Defa2/Defa20/Defa22/Mmp7/Defa34/Krt6a/Ppbp/Hmgn2-ps/Defa17/Npy/Hamp/Defa30/Hamp2/Defa24/Nppb/Cxcl15/Ltf/Defa41/Pglyrp4/Il17a/Ivl/Ccl20/Defa3/Defa26/Pgc/Ccl17/Il17f/Hrg/Defa35/Defa28/Ppl/Reg1/Pf4/Ccl22/Kng2/Defa38/Ccl1"
