"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",67,0.63527495521789,2.21469470251333,5.35608535185444e-07,9.50252124059878e-05,7.82945829034298e-05,626,"tags=28%, list=4%, signal=27%","Defa41/Defa21/Defa30/Defa17/Defa22/Defa34/Defa20/Defa24/Defa2/Defa5/Defa32/Krt17/Cfi/Hc/Krt34/Dsg1c/Krt16/Masp1/Krt23"
"mmu00140","mmu00140","Steroid hormone biosynthesis - Mus musculus (house mouse)",41,-0.727828812700743,-2.18653706093813,5.65626264321356e-07,9.50252124059878e-05,7.82945829034298e-05,1109,"tags=59%, list=8%, signal=54%","Cyp2d22/Hsd17b2/Cyp2c66/Ugt2b5/Cyp2d26/Ugt1a7c/Srd5a2/Dhrs11/Cyp2d34/Hsd11b2/Akr1c18/Ugt1a1/Ugt2b36/Cyp3a13/Cyp2d10/Cyp2d12/Cyp2c68/Ugt1a6a/Cyp2d9/Cyp2c65/Ugt1a6b/Hsd3b3/Hsd3b2/Cyp2c55"
"mmu00830","mmu00830","Retinol metabolism - Mus musculus (house mouse)",41,-0.721346757096054,-2.16706372522595,1.06709500474018e-06,0.0001195146405309,9.84722758760235e-05,996,"tags=46%, list=7%, signal=43%","Dhrs9/Cyp2c66/Ugt2b5/Ugt1a7c/Lrat/Ugt1a1/Aldh1a1/Ugt2b36/Cyp3a13/Adh1/Rdh16/Aldh1a7/Cyp26b1/Cyp2c68/Ugt1a6a/Cyp2s1/Cyp2c65/Ugt1a6b/Cyp2c55"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",173,0.465992934683889,1.85100021200246,1.87448184354669e-06,0.000157456474857922,0.000129733874961258,1160,"tags=13%, list=8%, signal=12%","Defa41/Defa21/Defa30/Defa17/Defa22/Defa34/Defa20/Defa24/Defa2/Defa5/Ngfr/Defa32/Ccna1/Arnt2/Plat/Cebpb/Nr4a3/Six4/Bcl2a1a/Etv5/Il6/Igfbp3/Igf1"
"mmu04612","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)",64,-0.607338210791572,-1.9633885537642,2.26433037603952e-05,0.00152163001269856,0.0012537239766282,3101,"tags=58%, list=21%, signal=46%","H2-M3/Cd4/Tapbp/Psme2/H2-Eb1/Ifi30/Psme2b/Cd74/H2-T24/H2-Ab1/B2m/Cd8a/H2-DMb2/H2-Q4/H2-K1/H2-Aa/H2-T23/H2-DMa/H2-M2/H2-D1/H2-T22/H2-DMb1/H2-Q7/H2-Q6/Ctss/Tap2/Hspa1a/H2-Q10/Tap1/Ciita/Klrd1/H2-Q2/Hspa1b/H2-Oa/H2-Q1/H2-Eb2/H2-T3"
"mmu04310","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)",152,0.433163083410891,1.69839857880648,7.13785490109369e-05,0.00399719874461246,0.00329343129646954,2443,"tags=32%, list=17%, signal=27%","Wnt7a/Fzd10/Mmp7/Lgr5/Fzd9/Wnt3/Sfrp4/Mapk10/Fzd3/Wnt6/Tle2/Prkcg/Nkd2/Wnt10a/Wnt7b/Fzd2/Nfatc4/Frzb/Vangl2/Fosl1/Apcdd1/Wif1/Nkd1/Notum/Tcf7/Lgr6/Znrf3/Ctnnd2/Plcb4/Sfrp5/Ror2/Dkk2/Jun/Sox17/Porcn/Wnt11/Axin2/Sfrp1/Rnf43/Csnk1e/Trp53/Tle3/Invs/Mcc/Wnt16/Myc/Dvl1/Tle1"
"mmu00983","mmu00983","Drug metabolism - other enzymes - Mus musculus (house mouse)",69,-0.559837635518603,-1.84038092517929,0.000256894350245339,0.0123309288117763,0.0101598818217329,1244,"tags=30%, list=8%, signal=28%","Cmpk1/Nat2/Gsto1/Gstp3/Ugt2b5/Upp1/Gstm2/Xdh/Ugt1a7c/Ces1f/Dpyd/Ces1e/Mgst3/Ugt1a1/Ugt2b36/Ces1d/Ces2e/Ces2c/Ugt1a6a/Gsta1/Ugt1a6b"
"mmu05204","mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)",44,-0.632252305121059,-1.92313992894831,0.000301740935166166,0.012673119276979,0.0104418244669344,1181,"tags=43%, list=8%, signal=40%","Nat2/Gsto1/Gstk1/Gstp3/Cyp2c66/Ugt2b5/Gstm2/Ugt1a7c/Mgst3/Ugt1a1/Sult1a1/Ugt2b36/Cyp3a13/Cyp2c68/Ugt1a6a/Gsta1/Cyp2c65/Ugt1a6b/Cyp2c55"
"mmu04976","mmu04976","Bile secretion - Mus musculus (house mouse)",63,-0.555145311437969,-1.78995312948534,0.000573032630610445,0.0213932182094566,0.0176266177602979,1484,"tags=46%, list=10%, signal=42%","Atp1b1/Sct/Fxyd2/Atp1b2/Atp1a1/Rxra/Slc5a1/Prkacb/Adcy9/Abcb4/Ugt2b5/Adcy2/Ugt1a7c/Adcy5/Slc4a4/Abcc3/Abcg2/Abcg8/Ugt1a1/Ugt2b36/Nr1h4/Car2/Abcb1a/Aqp4/Abcg5/Slc51b/Ugt1a6a/Aqp8/Ugt1a6b"
"mmu05320","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)",36,-0.63822495747911,-1.88125026312317,0.000686076321444903,0.0230521644005488,0.018993481320001,2518,"tags=69%, list=17%, signal=58%","Cd28/H2-Eb1/H2-T24/H2-Ab1/Tg/H2-DMb2/H2-Q4/H2-K1/Prf1/H2-Aa/H2-T23/H2-DMa/H2-M2/H2-D1/H2-T22/H2-DMb1/H2-Q7/H2-Q6/Fas/H2-Q10/H2-Q2/H2-Oa/H2-Q1/H2-Eb2/H2-T3"
