"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",246,0.53265083216589,2.32568717919792,4.9498593328841e-16,1.67305245451482e-13,1.15670397042134e-13,2018,"tags=39%, list=11%, signal=35%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Osm/Cxcr2/Inhba/Il1a/Il23a/Csf3/Il11/Il1b/Tnfrsf11b/Il36g/Il17c/Ppbp/Il6/Ccl2/Tnfsf18/Ccl20/Il33/Csf2/Ccl17/Il17a/Ccl7/Ccr8/Il1r2/Tnfrsf8/Tnf/Il17f/Tnfrsf9/Inhbb/Eda2r/Csf3r/Il5ra/Ccl3/Il22/Il1rl1/Ccl24/Lif/Gdf11/Tnfsf9/Tnfsf11/Tnfsf4/Il18rap/Ccl22/Ccl1/Ccl4/Tnfrsf12a/Ccr7/Ifne/Il13ra2/Il1rn/Csf2rb/Gdf3/Il12b/Cxcl15/Gdf15/Cd40/Csf2rb2/Il2ra/Il36a/Il27/Tnfrsf19/Ccr6/Tnfsf14/Il20ra/Il24/Ccr1/Cxcr4/Clcf1/Il18/Thpo/Cxcl10/Ackr3/Osmr/Bmp7/Cxcl17/Cxcl16/Ccr5/Gdf6/Csf1/Tgfb1/Pf4/Ccr2/Relt/Tnfrsf1b/Cxcl9/Il34/Il7r/Ccr4/Gdf5/Ifnar2/Tnfrsf4/Cxcr5/Mpl"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",301,-0.564523309982462,-1.99138400324873,2.30720901947741e-14,3.89918324291683e-12,2.69579159117887e-12,3408,"tags=47%, list=19%, signal=39%","P2rx4/Grm8/Cnr1/Glra1/Nps/Nr3c1/Chrm4/Kiss1/Oprd1/P2rx5/Hcrt/Gpr50/Ghrhr/Galr3/Chrnb2/Tbxa2r/Glp2r/Nmur2/Ednrb/S1pr3/Lpar1/Rxfp1/Sstr5/Grin2d/Grik5/Htr4/Grik4/Mas1/Agtr1b/Avpr2/Npy4r/Npffr1/Mc5r/Sstr2/Chrna4/Pth1r/Drd4/Ptger3/Htr2b/Rxfp4/Grin2c/Ptgfr/Gabrr2/Chrng/F2/Crhr2/Ptger1/Grm4/Cck/Calcb/Drd3/Chrna1/Edn3/Calca/Glp1r/Plg/Rxfp2/Sstr1/Qrfp/Gnrh1/Ucn3/Grid2/Cckbr/Sstr4/Chrna7/Nmbr/P2ry4/Tshr/P2rx1/Taar9/Htr2c/Npffr2/Drd2/Adra2c/Gal/Lpar3/Gzma/Oxtr/Vipr2/Nts/Npff/Grid1/Gabrq/Penk/Galr2/Chrm3/Crhr1/Chrm1/Edn2/Glrb/Gria4/Prlh/Grpr/Chrna6/Gabra3/Adrb1/Gabrg2/Tacr3/Chrna9/Gcg/Sctr/Gria2/Galr1/Ghrl/Gabrb3/Grm7/Lep/Prl6a1/Agtr1a/Hc/Mchr1/Grik3/Hcrtr1/Chrm2/Adrb3/Adra2a/Sct/Chrnb4/Agtr2/Adra1a/Vgf/Oprl1/Adcyap1r1/Chrna5/Adra2b/Oprk1/Grik1/Cckar/Ntsr1/Gabrg3/Prlr/Grik2/Gabre/Pdyn/Nmu/Tacr2/Gria1/Sst/Grp/Grin3a/Chrna3/Vip"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",89,0.672707105620247,2.615140263835,4.5582875068193e-13,5.13567059101641e-11,3.55066605794345e-11,1696,"tags=47%, list=10%, signal=43%","Krt36/Defa21/Krt16/Defa5/Defa2/Krt14/Cfi/Defa20/Krt13/Defa32/Krt15/Krt35/Defa22/Defa34/Defa17/Defa30/Fpr2/Fpr1/Defa24/Selp/Dsg1c/Krt23/Krt34/Krt32/Krt17/Defa41/Icam1/Krt39/Defa3/Defa36/Cfh/C1s2/Defa26/C1rb/Fcgr1/Itgb2/Ptafr/Fcgr3/H2-Eb2/H2-DMb1/C5ar1/H2-DMb2"
"mmu05323","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",83,0.684537690280161,2.61529267173168,1.31751256918115e-12,8.90638496766457e-11,6.1576376917519e-11,2065,"tags=40%, list=12%, signal=35%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Il1a/Il23a/Il11/Il1b/Mmp3/Il6/Ccl2/Atp6v0d2/Ccl20/Csf2/Il17a/Tnf/Atp6v1b1/Icam1/Ccl3/Tnfsf11/Cd80/Cd86/Il18/Itgb2/Ctla4/Csf1/Tgfb1/H2-Eb2/H2-DMb1/H2-DMb2/Jun/Itgal/Atp6v0c"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",195,0.525357713666444,2.22189265831412,1.12616377375507e-12,8.90638496766457e-11,6.1576376917519e-11,2836,"tags=38%, list=16%, signal=32%","Defa21/Defa5/Defa2/Defa20/Defa32/Defa22/Mmp3/Defa34/Defa17/Mmp9/Wnt16/Il6/Defa30/Plat/Defa24/Csf2/Bcl2a1a/Il1r2/Mycn/Bcl2a1d/Lmo2/Defa41/Cd14/H3c10/Defa3/H3c2/Tlx1/Defa36/Hoxa9/Cd40/Cd86/Defa26/Arnt2/Fcgr1/H3c8/Spi1/Tcf3/Hhex/Plau/Rel/Hoxa10/Runx1/Six1/Slc45a3/H3c3/Etv4/Six4/Pax5/Cdk14/Myc/H3f3a/Igf1/Bcl11b/Gadd45b/Tlx3/Defa35/Etv5/H3c7/Csf1r/Id2/Hdac2/H3c1/Dusp6/Fli1/H3c6/Ccnd2/Birc3/H3f3b/Mpo/Etv6/Igfbp3/Trp53/H3c11/Bmi1"
"mmu04657","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",89,0.658656875652094,2.56052017464778,2.4612154692512e-12,1.38648471434484e-10,9.58578656445205e-11,788,"tags=28%, list=4%, signal=27%","Cxcl5/Cxcl3/Cxcl2/S100a9/Cxcl1/S100a8/Mmp13/Csf3/Lcn2/Il1b/Mmp3/Mmp9/Il17c/Il6/Ccl2/Ccl20/Csf2/Ccl17/Il17a/Ccl7/Ptgs2/Tnf/Il17f/Mapk15/Fosl1"
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)",81,0.651810978343376,2.47384894980711,2.92294666718868e-10,1.41136567644253e-08,9.75780691903589e-09,2431,"tags=54%, list=14%, signal=47%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Ppbp/Il6/Ccl2/Ccl20/Ccl17/Ccl7/Ccr8/Tnf/Ccl3/Ccl24/Il18rap/Ccl22/Ccl1/Ccl4/Ccr7/Il2ra/Ccr6/Tnfsf14/Il20ra/Il24/Ccr1/Cxcr4/Il18/Cxcl10/Ackr3/Ccr5/Csf1/Pf4/Ccr2/Tnfrsf1b/Cxcl9/Il34/Ccr4/Cxcr5/Il10ra/Tnfrsf10b/Cxcr1/Csf1r/Tnfsf10"
"mmu04668","mmu04668","TNF signaling pathway - Mus musculus (house mouse)",112,0.549533146136029,2.17051159351942,4.39909584626082e-09,1.8586179950452e-07,1.28499904982882e-07,869,"tags=16%, list=5%, signal=15%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Sele/Il1b/Mmp3/Mmp9/Il6/Ccl2/Ccl20/Csf2/Ptgs2/Tnf/Icam1/Lif/Socs3/Mmp14"
"mmu04064","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)",98,0.573850214617493,2.25128270374709,7.75689559290451e-09,2.62183071040172e-07,1.81266402276295e-07,2541,"tags=32%, list=14%, signal=27%","Cxcl3/Cxcl2/Cxcl1/Il1b/Bcl2a1a/Ptgs2/Bcl2a1d/Tnf/Icam1/Eda2r/Cd14/Tnfsf11/Ccl4/Cd40/Tnfsf14/Ticam2/Plau/Parp1/Card11/Card14/Gadd45b/Zap70/Plcg1/Ltb/Nfkbia/Btk/Lbp/Ube2i/Vcam1/Tnfaip3/Birc3"
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",178,0.482724513722463,2.02452442850903,7.47374088478109e-09,2.62183071040172e-07,1.81266402276295e-07,1138,"tags=15%, list=6%, signal=14%","Cxcl3/Cxcl2/Cxcl1/Defa21/Defa5/Defa2/Defa20/Defa32/Defa22/Il1b/Defa34/Defa17/Il6/Defa30/Ccl2/Nlrp3/Nlrp12/Defa24/Sting1/Tnf/Defa41/Defa3/Defa36/Defa26/Nlrp1a/Il18/Mefv"
