"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",234,0.603627273807362,2.01472330132984,1.59111395117707e-12,5.34614287595494e-10,4.38812479166728e-10,2700,"tags=48%, list=16%, signal=41%","Tnfrsf13c/Cxcr5/Il13/Il9r/Ccr6/Tnfrsf17/Il12b/Ccr3/Ccl7/Ccr10/Il17f/Ccl8/Ccl22/Gdf3/Ccl4/Ccr4/Ccr8/Fasl/Ccl17/Il2ra/Il12a/Tnfrsf13b/Ccl1/Tnfsf11/Tnfsf13b/Tnfrsf4/Ccl5/Gdf10/Il21r/Ccr7/Gdf9/Xcr1/Il16/Ccl2/Ccl28/Il34/Gdf6/Il25/Cxcl10/Il2rb/Il24/Il6/Ccl3/Cd4/Il2rg/Bmp8a/Tslp/Cxcr3/Xcl1/Amhr2/Il13ra2/Ccl24/Il10ra/Cxcl11/Il1rn/Gdf7/Il1b/Il18r1/Il27/Csf2rb2/Ccr5/Tnfsf18/Osm/Ccr2/Ltb/Ccl20/Il27ra/Csf2rb/Il5ra/Il17a/Il1a/Il7r/Tnfsf8/Tgfb3/Amh/Il7/Tnfrsf1b/Cd27/Ccl12/Il12rb1/Il20ra/Acvr1c/Eda2r/Tnfrsf25/Tnfrsf18/Il17rc/Il17re/Tnfsf15/Csf1r/Ccl11/Tnfsf13/Ebi3/Cxcl9/Cxcr6/Lepr/Tgfb1/Lif/Cx3cr1/Il11/Tnfrsf10b/Osmr/Cxcl3/Cxcr4/Cxcl16/Tnfrsf21/Il22ra1/Il17b/Cx3cl1/Gdf5/Il15ra/Cd40lg/Ackr3"
"mmu04612","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)",69,0.766326905799553,2.22569396468255,1.54894311889434e-11,1.73481629316166e-09,1.4239406917555e-09,1353,"tags=49%, list=8%, signal=45%","H2-Eb2/H2-Ob/H2-Aa/H2-DMb2/Cd74/H2-DMb1/H2-Ab1/Cd8b1/H2-Eb1/Cd8a/H2-Oa/Hspa1a/H2-DMa/H2-Bl/Hspa1b/Ciita/H2-Q1/H2-Q6/H2-Q7/H2-Q2/H2-T10/Calr4/B2m/H2-T24/H2-M2/Ctss/Tap2/Cd4/H2-K1/Tap1/H2-T22/H2-T23/H2-Q4/H2-D1"
"mmu05169","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",196,0.619694901645065,2.04510030695743,1.30267139309505e-11,1.73481629316166e-09,1.4239406917555e-09,2936,"tags=35%, list=18%, signal=29%","Cr2/Cd19/H2-Eb2/H2-Ob/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/Oas3/H2-Eb1/H2-Oa/Oas2/H2-DMa/Irf7/H2-Bl/Isg15/Akt3/H2-Q1/Fcer2a/H2-Q6/Cd3e/H2-Q7/Cd3d/H2-Q2/H2-T10/Calr4/Cd247/Oas1g/Cxcl10/B2m/H2-T24/H2-M2/Il6/Oas1a/Tap2/Cd3g/H2-K1/Tap1/Oas1b/Btk/Runx3/H2-T22/H2-T23/Traf5/H2-Q4/H2-D1/Stat2/Ccnd2/Itgal/Pik3cd/Map3k14/H2-T-ps/Map2k3/Cdkn1a/Mapk10/Tradd/H2-M3/Tnfaip3/Mapk13/Stat1/Nfkb2/Polk/Mavs/Myd88/Fas/Traf2/Irf9/Tapbp"
"mmu05164","mmu05164","Influenza A - Mus musculus (house mouse)",141,0.662575542246431,2.12655752264556,4.51018523147345e-11,3.7885555944377e-09,3.1096540280159e-09,2887,"tags=38%, list=17%, signal=32%","H2-Eb2/H2-Ob/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/Oas3/Slc25a31/H2-Eb1/Il12b/H2-Oa/Oas2/H2-DMa/Fasl/Irf7/Rsad2/Ciita/Akt3/Mx1/Mx2/Il12a/Ccl5/Prss2/Nxf7/Ccl2/Oas1g/Cxcl10/Prkcb/Il6/Oas1a/Tpsb2/Oas1b/Il1b/Nlrp3/Ifih1/Tpsab1/Rnasel/Il1a/Stat2/Ccl12/Pycard/Casp1/Pik3cd/Tnfrsf10b/Dnajb1/Nlrx1/Tradd/Tlr7/Stat1/Mavs/Myd88/Fas/Trim25/Irf9"
"mmu05321","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)",57,0.778478946446141,2.19521727269823,4.32592392761511e-10,2.90702087935735e-08,2.38608856638981e-08,1651,"tags=46%, list=10%, signal=41%","H2-Eb2/H2-Ob/Il13/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Eb1/Il12b/Il17f/Foxp3/H2-Oa/H2-DMa/Il12a/Stat4/Il21r/Il6/Il2rg/Tbx21/Il1b/Il18r1/Il17a/Il1a/Nod2/Tgfb3/Il12rb1"
"mmu04658","mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)",85,0.703764093775384,2.13764215016569,1.46200383664886e-09,8.18722148523364e-08,6.72008781056145e-08,1128,"tags=29%, list=7%, signal=28%","H2-Eb2/H2-Ob/Il13/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Eb1/Il12b/H2-Oa/H2-DMa/Il2ra/Il12a/Stat4/Cd3e/Cd3d/Cd247/Lat/Dll3/Il2rb/Cd4/Cd3g/Il2rg/Tbx21/Runx3"
"mmu04514","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)",149,0.621121949684567,2.00583658328032,1.8077736616392e-09,8.67731357586816e-08,7.12235638119504e-08,2698,"tags=50%, list=16%, signal=42%","Glycam1/Nlgn1/H2-Eb2/H2-Ob/H2-Aa/H2-DMb2/H2-DMb1/Negr1/H2-Ab1/Cd8b1/H2-Eb1/Cd8a/H2-Oa/H2-DMa/Ncam2/Pdcd1lg2/H2-Bl/H2-Q1/Cd6/Itgb7/H2-Q6/Tigit/Cd22/H2-Q7/Cadm3/Sele/H2-Q2/H2-T10/Pdcd1/Cd2/Selp/Cd28/H2-T24/H2-M2/Icos/Cldn14/Cd4/Madcam1/H2-K1/Cd80/Spn/Cd274/Cd86/Vcam1/H2-T22/Cntn1/H2-T23/Slitrk5/H2-Q4/H2-D1/Nlgn3/Itgb8/Ptprc/Cd34/Ctla4/Icam2/Itgal/Cldn9/Ntng2/Pecam1/Itga8/Cldn8/Vcan/H2-T-ps/Itga4/Itgb2/Jam3/Esam/H2-M3/Ncam1/Icosl/Slitrk1/Selplg/Cd40lg"
"mmu04659","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)",101,0.677625140731906,2.09034409623597,3.10877532019493e-09,1.30568563448187e-07,1.07170938669878e-07,1651,"tags=30%, list=10%, signal=27%","H2-Eb2/H2-Ob/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Eb1/Il17f/Foxp3/Irf4/H2-Oa/H2-DMa/Il2ra/Il21r/Cd3e/Cd3d/Cd247/Lat/Il2rb/Il6/Cd4/Cd3g/Il2rg/Tbx21/Il1b/Il27/Il27ra/Nfatc2/Il17a/Il12rb1"
"mmu04672","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)",39,0.817185586974355,2.19425217593715,5.80005737911633e-09,2.1653547548701e-07,1.77732752436079e-07,1105,"tags=56%, list=7%, signal=53%","H2-Eb2/Tnfrsf13c/H2-Ob/H2-Aa/H2-DMb2/H2-DMb1/H2-Ab1/Tnfrsf17/H2-Eb1/Ccr10/H2-Oa/H2-DMa/Tnfrsf13b/Itgb7/Tnfsf13b/Ccl28/Cd28/Icos/Il6/Madcam1/Cd80/Cd86"
"mmu05162","mmu05162","Measles - Mus musculus (house mouse)",124,0.641525615745185,2.03288682496316,7.18811292738572e-09,2.4152059436016e-07,1.98240588102638e-07,2977,"tags=36%, list=18%, signal=30%","Cd209a/Oas3/Cd209d/Il12b/Hspa1a/Oas2/Fasl/Irf7/Hspa1b/Akt3/Mx1/Mx2/Il2ra/Il12a/Cd3e/Cd3d/Tlr9/Oas1g/Cd28/Il2rb/Il6/Oas1a/Cd3g/Il2rg/Slamf1/Cd209f/Oas1b/Il1b/Ifih1/Il1a/Stat2/Ccnd2/Pik3cd/Mapk10/Trp73/Tradd/Tnfaip3/Tlr7/Msn/Stat1/Mavs/Myd88/Fas/Irf9/Fcgr2b"
