"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",242,0.542638011356221,2.25782611793956,3.39777338917767e-16,1.14504963215287e-13,7.94005991997307e-14,1998,"tags=41%, list=12%, signal=37%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Osm/Inhba/Il11/Csf3/Il23a/Il1a/Il1b/Tnfrsf11b/Il36g/Ppbp/Tnfrsf8/Il6/Ccl2/Il17c/Il17a/Ifne/Ccl20/Ccl7/Csf2/Il1r2/Ccl17/Tnfsf18/Il17f/Il22/Tnfsf11/Ccl24/Il33/Csf3r/Tnf/Il5ra/Ccr8/Tnfrsf9/Il1rl1/Inhbb/Il18rap/Ccl3/Eda2r/Ccr6/Gdf3/Il1rn/Tnfsf4/Ccr7/Ccl22/Lif/Cxcl10/Gdf11/Tnfrsf12a/Il18/Tnfsf14/Tnfsf9/Csf2rb/Thpo/Cd40/Il13ra2/Ccl1/Csf2rb2/Cxcr1/Il2ra/Ccl4/Il36a/Tnfrsf13c/Il34/Ackr3/Ccr1/Il20ra/Cxcr4/Il12b/Osmr/Il24/Pf4/Cxcr5/Il23r/Clcf1/Gdf15/Tnfrsf19/Cxcl9/Bmp7/Cxcl16/Ccr5/Ccr2/Tnfrsf1b/Il27/Tgfb1/Il1rl2/Bmp8b/Relt/Csf1/Ltb/Cxcl17/Il10ra/Tnfsf10/Ifnar2/Il22ra1/Bmp6"
"mmu05323","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",81,0.712966334192771,2.59416681599959,1.21016467471562e-13,2.03912747689582e-11,1.41398188308878e-11,1877,"tags=44%, list=11%, signal=40%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Mmp3/Il11/Il23a/Il1a/Il1b/Il6/Ccl2/Il17a/Ccl20/Atp6v0d2/Csf2/Tnfsf11/Tnf/Icam1/Ccl3/H2-Eb2/Il18/Cd80/H2-DMb1/Cd86/H2-DMb2/Ctla4/Itgb2/H2-Oa/H2-Ab1/Tgfb1/H2-Aa/Atp6v0c/Csf1/Ltb/Atp6v1b1/Itgal"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",290,-0.56867497163948,-1.93697222114766,2.13378511511813e-13,2.3969519459827e-11,1.66210630019728e-11,2717,"tags=43%, list=16%, signal=37%","Ghrl/Gabbr1/Chrm4/S1pr3/Chrnb2/P2rx2/Ednrb/Pth1r/Nmur1/Rxfp2/Crhr1/Ucn3/Rxfp4/Hrh3/Grin2a/Cnr1/Edn3/Glp1r/Grm1/Chrna10/Paqr6/Tbxa2r/Paqr9/Cck/Trh/Grm8/Npy4r/Drd4/Lpar3/Calcb/Oxtr/Grik5/Calca/Sstr1/Gzma/Grid2/Sstr5/Grpr/Grm4/Crhr2/Tshb/Sstr2/Drd3/Kiss1/Uts2b/Tshr/Gria4/Gabrq/Sstr4/Htr2b/Nts/Edn2/Mas1/Galr1/Chrna1/Ghrhr/Ptger1/Penk/Galr2/Gabrr2/Chrna4/Nmbr/P2rx1/Npff/Chrm1/S1pr5/Gcg/Sctr/Gabra3/Cckbr/Adra2c/Agtr1b/Drd1/F2/Gnrh1/Vipr2/Chrna7/Adra2b/Prlh/Chrna9/Chrna6/Gal/Adrb1/Adra1a/Gabrg2/Chrm3/Agtr1a/Mchr1/Agtr2/Glrb/Grik3/Chrna5/Lep/Prl6a1/Chrnb4/Grid1/Grik1/Gabrg3/Sct/Adcyap1r1/Grm7/Chrm2/Tacr3/Adra2a/Vgf/Oprk1/Adrb3/Oprl1/Grik2/Hc/Cckar/Gabrb3/Tacr2/Hcrtr1/Gria2/Prlr/Ntsr1/Gabre/Sst/Gria1/Nmu/Vip/Grin3a/Pdyn/Grp/Chrna3"
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)",80,0.684823584196519,2.48490928975496,2.94757808944531e-11,2.48333454035767e-09,1.72200614699173e-09,1975,"tags=52%, list=11%, signal=47%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Ppbp/Il6/Ccl2/Ccl20/Ccl7/Ccl17/Ccl24/Tnf/Ccr8/Il18rap/Ccl3/Ccr6/Ccr7/Ccl22/Cxcl10/Il18/Tnfsf14/Ccl1/Cxcr1/Il2ra/Ccl4/Il34/Ackr3/Ccr1/Il20ra/Cxcr4/Il24/Pf4/Cxcr5/Cxcl9/Ccr5/Ccr2/Tnfrsf1b/Csf1/Il10ra/Tnfsf10/Il22ra1"
"mmu04657","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",87,0.650446768195935,2.39817634303677,4.58858985168411e-11,3.09270956003509e-09,2.14456199383973e-09,411,"tags=26%, list=2%, signal=26%","Cxcl5/Cxcl3/Cxcl2/S100a8/S100a9/Cxcl1/Mmp13/Mmp3/Csf3/Lcn2/Il1b/Mmp9/Il6/Ccl2/Il17c/Il17a/Ccl20/Ptgs2/Ccl7/Csf2/Ccl17/Il17f/Tnf"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",87,0.624095006210803,2.3010182429737,8.45399999622697e-10,4.74832999788081e-08,3.29261052484629e-08,1877,"tags=53%, list=11%, signal=47%","Krt36/Krt15/Krt14/Krt16/Krt13/Krt35/Cfi/Defa5/Defa2/Defa21/Defa32/Defa20/Fpr2/Defa22/Fpr1/Selp/Defa34/Krt32/Defa17/Krt23/Dsg1c/Icam1/Krt34/Defa30/H2-Eb2/C1rb/Defa24/Cfh/Krt17/Fcgr1/Krt39/H2-DMb1/Ptafr/H2-DMb2/Krt42/Itgb2/H2-Oa/C1s2/H2-Ab1/Fcgr3/C5ar1/Defa3/H2-Aa/Krt33b/Defa26/Itgal"
"mmu04668","mmu04668","TNF signaling pathway - Mus musculus (house mouse)",112,0.572040175567331,2.1574834024378,7.17086281535205e-09,3.44723473355159e-07,2.39039859705905e-07,709,"tags=16%, list=4%, signal=16%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Sele/Mmp3/Il1b/Mmp9/Il6/Ccl2/Ccl20/Ptgs2/Csf2/Tnf/Icam1/Lif/Cxcl10/Socs3"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",194,0.473747641554597,1.92471083954489,8.18334654849043e-09,3.44723473355159e-07,2.39039859705905e-07,2755,"tags=36%, list=16%, signal=30%","Mmp3/Defa5/Defa2/Defa21/Defa32/Wnt16/Mmp9/Defa20/Il6/Defa22/Csf2/Defa34/Il1r2/Defa17/Plat/Mycn/Bcl2a1a/H3c2/Lmo2/Bcl2a1d/Cd14/Tlx1/H3c10/Defa30/Defa24/Pax5/Hoxa9/Cd40/Fcgr1/H3c8/Hhex/Plau/Slc45a3/Spi1/H3c6/Cd86/Hoxa10/Rel/H3c7/Tcf3/Runx1/Tlx3/H3c3/Defa3/H3c11/Etv4/Defa26/Dusp6/Arnt2/H3f3a/Birc3/Ccnd2/H3c1/Mpo/Myc/Bcl11b/Csf1r/Cdk14/Gadd45b/H3f3b/Fli1/Tgfbr2/Runx2/Etv6/Igf1/Six4/Nfkbiz/Defa36/Hdac2"
"mmu04064","mmu04064","NF-kappa B signaling pathway - Mus musculus (house mouse)",98,0.5864494632791,2.16859026030973,1.11206916771005e-08,4.16408121686985e-07,2.88747783896644e-07,2396,"tags=30%, list=14%, signal=26%","Cxcl3/Cxcl2/Cxcl1/Il1b/Ptgs2/Bcl2a1a/Bcl2a1d/Tnfsf11/Tnf/Cd14/Icam1/Eda2r/Tnfsf14/Cd40/Ccl4/Tnfrsf13c/Plau/Lbp/Card11/Ticam2/Card14/Ltb/Birc3/Parp1/Btk/Plcg1/Gadd45b/Nfkbia/Tnfaip3"
"mmu04062","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)",177,0.453287316987213,1.82022062307793,2.73479315600693e-07,9.21625293574335e-06,6.39077979614251e-06,1466,"tags=19%, list=8%, signal=18%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Adcy8/Cxcr2/Ppbp/Ccl2/Ccl20/Ccl7/Ccl17/Ccl24/Ccr8/Ccl3/Ccr6/Ccr7/Ccl22/Cxcl10/Gngt1/Rac3/Ccl1/Cxcr1/Ccl4/Adcy1/Ccr1/Cxcr4/Pf4/Cxcr5/Fgr/Cxcl9/Cxcl16/Akt3/Ccr5/Ccr2"
