"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04612","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)",69,0.827693872537438,2.58685494069508,1.3340569510802e-18,4.48243135562948e-16,3.4404626633121e-16,1746,"tags=61%, list=11%, signal=55%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/Cd74/H2-Aa/Cd8a/H2-Q7/Ciita/H2-DMb1/H2-Ab1/Hspa1b/Cd8b1/H2-Q6/H2-Eb1/Hspa1a/H2-DMa/Klrd1/H2-T10/Tap1/B2m/H2-M2/H2-Q2/H2-Q1/Tap2/H2-K1/H2-Q4/Ifng/H2-T22/H2-D1/H2-T23/Cd4/Ctss/H2-T24/H2-M3/H2-Bl/H2-Q10/Psme2/Ifi30/H2-T-ps/Psme2b/Tapbp"
"mmu05169","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)",196,0.652614892322309,2.37255441169544,1.1475900986932e-17,1.92795136580457e-15,1.47978723252544e-15,1847,"tags=28%, list=11%, signal=25%","Cr2/H2-Eb2/Cd19/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/Oas3/H2-DMb1/H2-Ab1/Isg15/H2-Q6/H2-Eb1/Fcer2a/Oas2/H2-DMa/Irf7/H2-T10/Oas1b/Oas1g/Tap1/B2m/Cd3e/H2-M2/Akt3/H2-Q2/H2-Q1/Cd3g/Oas1a/Cd247/Tap2/H2-K1/H2-Q4/Cd3d/H2-T22/H2-D1/H2-T23/Btk/Cxcl10/Stat2/H2-T24/H2-M3/Stat1/H2-Bl/H2-Q10/Runx3/Traf5/H2-T-ps/Fas/Mapk13/Tapbp/Tradd/Itgal/Irf9"
"mmu05164","mmu05164","Influenza A - Mus musculus (house mouse)",141,0.680588447780556,2.37983649778573,2.76594645723708e-15,3.09786003210553e-13,2.37774344569504e-13,2851,"tags=45%, list=17%, signal=37%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/Oas3/Ciita/H2-DMb1/H2-Ab1/H2-Eb1/Mx2/Rsad2/Oas2/H2-DMa/Prss2/Irf7/Mx1/Slc25a31/Fasl/Oas1b/Oas1g/Tpsab1/Akt3/Ccl5/Oas1a/Tmprss11d/Nxf7/Ifng/Cxcl10/Stat2/Ifih1/Prkcb/Casp1/Il12a/Stat1/Rnasel/Pycard/Il1b/Tpsb2/Fas/Tradd/Ifngr1/Irf9/Nlrx1/Tlr4/Pik3cd/Myd88/Tlr3/Nlrp3/Tnfsf10/Trim25/Tmprss2/Bak1/Rab11a/Adar/Ccl2/Cycs/Dnajb1/Map2k1/Prkca/Il12b/Tnfrsf10b/Ikbke"
"mmu04940","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)",48,0.826699110702287,2.43508551834206,4.81839962669694e-13,4.04745568642543e-11,3.10659975931777e-11,1729,"tags=69%, list=10%, signal=62%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Fasl/H2-T10/H2-M2/H2-Q2/H2-Q1/Cd28/H2-K1/H2-Q4/Ifng/H2-T22/H2-D1/H2-T23/H2-T24/Il12a/H2-M3/H2-Bl/H2-Q10/Il1b/Cd80/Prf1/H2-T-ps/Fas"
"mmu05332","mmu05332","Graft-versus-host disease - Mus musculus (house mouse)",41,0.85244426102826,2.45487356496463,9.72662933349757e-13,6.53629491211036e-11,5.01689302464611e-11,1729,"tags=80%, list=10%, signal=72%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Fasl/Klrd1/H2-T10/H2-M2/H2-Q2/H2-Q1/Cd28/H2-K1/H2-Q4/Ifng/H2-T22/H2-D1/H2-T23/H2-T24/H2-M3/H2-Bl/H2-Q10/Il1b/Cd80/Prf1/H2-T-ps/Fas"
"mmu05330","mmu05330","Allograft rejection - Mus musculus (house mouse)",42,0.845056916440781,2.43602000489735,1.41707997935597e-12,7.93564788439342e-11,6.09095780600372e-11,1729,"tags=79%, list=10%, signal=71%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Cd40lg/Fasl/H2-T10/H2-M2/H2-Q2/H2-Q1/Cd28/H2-K1/H2-Q4/Ifng/H2-T22/H2-D1/H2-T23/H2-T24/Il12a/H2-M3/H2-Bl/H2-Q10/Cd80/Prf1/H2-T-ps/Fas"
"mmu05320","mmu05320","Autoimmune thyroid disease - Mus musculus (house mouse)",42,0.816988626632417,2.35510839510376,1.44200330353099e-10,6.92161585694875e-09,5.31264374985101e-09,1729,"tags=79%, list=10%, signal=71%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Cd40lg/Tshr/Fasl/H2-T10/H2-M2/H2-Q2/H2-Q1/Cd28/H2-K1/H2-Q4/H2-T22/H2-D1/H2-T23/Tg/H2-T24/H2-M3/H2-Bl/H2-Q10/Cd80/Prf1/H2-T-ps/Fas"
"mmu04672","mmu04672","Intestinal immune network for IgA production - Mus musculus (house mouse)",39,0.821205904821594,2.34944802387902,2.35288520939563e-10,9.88211787946164e-09,7.58495889870959e-09,1887,"tags=69%, list=11%, signal=61%","H2-Eb2/Tnfrsf13c/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-DMb1/H2-Ab1/H2-Eb1/H2-DMa/Cd40lg/Ccr9/Tnfrsf13b/Cd28/Tnfrsf17/Itgb7/Tnfsf13b/Ccr10/Pigr/Icos/Ccl28/Tnfsf13/Il15ra/Cd80/Cxcr4/Itga4/Madcam1"
"mmu05162","mmu05162","Measles - Mus musculus (house mouse)",124,0.62649403393332,2.16575100652253,5.60776735874961e-10,2.09356648059985e-08,1.60690409695164e-08,2851,"tags=34%, list=17%, signal=28%","Cd209d/Oas3/Hspa1b/Mx2/Hspa1a/Oas2/Irf7/Mx1/Fasl/Cd209a/Oas1b/Oas1g/Cd3e/Akt3/Cd28/Cd3g/Oas1a/Tlr9/Slamf1/Cd3d/Fos/Il2rb/Il2ra/Stat2/Ifih1/Il12a/Il2rg/Stat1/Il1b/Fas/Tradd/Irf9/Fcgr2b/Tlr4/Pik3cd/Myd88/Tnfaip3/Bak1/Adar/Cycs/Il12b/Ikbke"
"mmu04659","mmu04659","Th17 cell differentiation - Mus musculus (house mouse)",101,0.655841408328043,2.20059433580938,8.36468245181343e-10,2.81053330380931e-08,2.1572075796782e-08,1881,"tags=33%, list=11%, signal=29%","H2-Eb2/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-DMb1/H2-Ab1/H2-Eb1/Irf4/H2-DMa/Cd3e/Il21r/Cd3g/Lat/Cd247/Tbx21/Cd3d/Fos/Ifng/Foxp3/Il2rb/Il17f/Cd4/Rxrg/Il2ra/Il27ra/Il2rg/Stat1/Il1b/Mapk13/Il12rb1/Ifngr1/Ebi3"
"mmu04640","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)",87,0.676252147810592,2.21494784667484,2.4829572544003e-09,7.5843057952591e-08,5.82128734285238e-08,1517,"tags=41%, list=9%, signal=38%","Cr2/H2-Eb2/Cd19/Ms4a1/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/Cd8a/H2-DMb1/H2-Ab1/Cd8b1/H2-Eb1/Cd22/Dntt/Fcer2a/Il9r/Siglech/H2-DMa/Cd2/Cd3e/Cd3g/Cd55b/Cd3d/Cd7/Cd14/Flt3/Cd4/Cd5/Il2ra/Cd37/Cd59b/Cd38/Il7/Cd55/Il1b"
"mmu05416","mmu05416","Viral myocarditis - Mus musculus (house mouse)",75,0.694227093689234,2.21568796912436,4.04313568893001e-09,1.1320779929004e-07,8.68919512094607e-08,1923,"tags=48%, list=12%, signal=43%","H2-Eb2/Sgcg/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Cd40lg/H2-T10/H2-M2/H2-Q2/H2-Q1/Cd28/Cd55b/H2-K1/H2-Q4/H2-T22/H2-D1/H2-T23/H2-T24/H2-M3/H2-Bl/Cd55/H2-Q10/Rac2/Cd80/Prf1/H2-T-ps/Itgal/Sgca/Myh6"
"mmu05340","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)",32,0.82447751999442,2.28467288146729,1.65231732094216e-08,4.27060476797357e-07,3.27787646664638e-07,1286,"tags=53%, list=8%, signal=49%","Cd19/Tnfrsf13c/Cd79a/Cd8a/Ciita/Cd8b1/Cd40lg/Tnfrsf13b/Tap1/Cd3e/Tap2/Cd3d/Cd4/Btk/Icos/Ptprc/Il2rg"
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)",79,0.6763940543631,2.17586884137473,2.65765294732042e-08,6.378367073569e-07,4.89567648190603e-07,3005,"tags=62%, list=18%, signal=51%","Cxcr5/Xcl1/Ccr6/Ccl8/Ccr9/Ccl7/Il24/Ccl5/Ccr4/Ccr3/Ccl24/Ccr10/Il2rb/Ccr8/Ccr7/Xcr1/Cxcr3/Ccr2/Il18r1/Cxcl10/Il2ra/Ccl17/Ccl28/Ccl4/Ccl22/Il34/Il10ra/Il2rg/Cxcl13/Ccr5/Cxcl5/Cxcr4/Ccl1/Ccl6/Tnfrsf14/Cxcl11/Ccl20/Csf1r/Tnfsf10/Cxcl9/Il22ra1/Il10rb/Tnfrsf1b/Ccl2/Tnfsf14/Tnfrsf10b/Cx3cl1/Tnfrsf1a/Ccl3"
"mmu05166","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)",228,0.518038315312162,1.91817122379873,4.07420583677018e-08,9.12622107436521e-07,7.00477494742944e-07,1784,"tags=19%, list=11%, signal=17%","H2-Eb2/Tnfrsf13c/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/Slc25a31/H2-T10/B2m/Cd3e/H2-M2/Akt3/H2-Q2/H2-Q1/Cd3g/H2-K1/H2-Q4/Cd3d/Fos/Il2rb/H2-T22/H2-D1/H2-T23/Cd4/Cdkn2a/Il2ra/H2-T24/Il2rg/H2-M3/Il15ra/H2-Bl/H2-Q10/Zfp36/Egr2/H2-T-ps/Tspo/Itgal"
"mmu04145","mmu04145","Phagosome - Mus musculus (house mouse)",149,0.559569292272199,1.97657598858427,1.06884506151816e-07,2.24457462918814e-06,1.72280947415756e-06,1717,"tags=28%, list=10%, signal=25%","H2-Eb2/Cd209d/H2-Ob/H2-Oa/H2-DMb2/H2-Aa/H2-Q7/H2-DMb1/H2-Ab1/H2-Q6/H2-Eb1/H2-DMa/H2-T10/Cd209a/Tap1/H2-M2/H2-Q2/H2-Q1/Tap2/H2-K1/H2-Q4/Cd14/Tubal3/H2-T22/H2-D1/H2-T23/Ctss/C1ra/Clec7a/Rilp/Coro1a/H2-T24/H2-M3/C3/Thbs4/H2-Bl/H2-Q10/Atp6v1c2/Ncf4/Mrc1/H2-T-ps"
"mmu05152","mmu05152","Tuberculosis - Mus musculus (house mouse)",155,0.551898826041321,1.95702763151247,1.4211359815089e-07,2.80883346933524e-06,2.15590288216521e-06,2979,"tags=33%, list=18%, signal=27%","H2-Eb2/Cd209d/H2-Ob/H2-Oa/H2-DMb2/Cd74/H2-Aa/Ciita/H2-DMb1/H2-Ab1/H2-Eb1/H2-DMa/Cd209a/Akt3/Tlr9/Ifng/Cd14/Ctss/Vdr/Clec7a/Coro1a/Il10ra/Il12a/Stat1/C3/Nos2/Itgax/Il1b/Plk3/Mrc1/Tlr1/Mapk13/Tradd/Ifngr1/Fcgr2b/Tlr4/Fcgr4/Myd88/Il10rb/Calm3/Syk/Itgb2/Fcgr1/Cycs/Cebpg/Il12b/Fcer1g/Tlr6/Atp6v0b/Mapk11/Tnfrsf1a"
"mmu05310","mmu05310","Asthma - Mus musculus (house mouse)",21,0.857102585317088,2.14446403226206,1.80607939574317e-07,3.19390882615635e-06,2.45146510779544e-06,607,"tags=62%, list=4%, signal=60%","H2-Eb2/H2-Ob/H2-Oa/Prg2/H2-DMb2/H2-Aa/H2-DMb1/H2-Ab1/H2-Eb1/H2-DMa/Cd40lg/Ms4a2/Fcer1a"
