"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",87,0.69733475418981,2.67692376792352,1.10494749838255e-14,3.72367306954918e-12,2.77981528540451e-12,884,"tags=43%, list=5%, signal=41%","Defa21/Defa5/Defa2/Cfi/Defa32/Defa20/Defa22/Krt36/Defa34/Krt35/Krt16/Defa17/Krt14/Defa41/Defa30/Fpr1/Fpr2/Defa24/Krt13/Krt34/Krt23/Krt15/Dsg1c/Defa36/Krt32/Defa3/Defa26/Krt17/Icam1/Defa35/C1rb/Selp/Krt39/Defa38/C1s2/Defa29/Cfh"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",194,0.534142225197875,2.25140353739467,1.71381712403369e-13,2.88778185399677e-11,2.15580154023185e-11,2434,"tags=37%, list=14%, signal=32%","Defa21/Defa5/Defa2/Defa32/Defa20/Defa22/Defa34/Defa17/Defa41/Mmp9/Defa30/Plat/Defa24/Wnt16/Mmp3/Csf2/Il1r2/Defa36/Il6/Defa3/Defa26/Lmo2/Bcl2a1a/H3c10/Mycn/Defa35/Tlx1/Defa38/Arnt2/Bcl2a1d/Hoxa9/Defa29/Six4/Cd40/H3c8/Mpo/Cd14/Hoxa10/Plau/Tcf3/Etv5/H3c6/H3c3/Tlx3/Defa28/Runx1/Id2/H3c2/H3c7/Rel/Runx2/Defa40/H3f3a/Six1/Fcgr1/Myc/H3c1/Spi1/Hhex/Etv6/Hdac2/Etv4/Aspscr1/Bmi1/Cd86/Gadd45b/H3c11/Bcl11b/Slc45a3/Cdk14/H3f3b"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",290,-0.543129055721753,-1.90698131280781,2.44525938589089e-12,2.74684137681743e-10,2.0505859411506e-10,2346,"tags=35%, list=14%, signal=31%","Htr2b/Calcb/S1pr5/Hrh1/Galr1/Pth1r/Chrm3/Htr4/Chrna1/Cck/Gzma/Grin2b/Crhr2/Cnr1/Npff/Ptger1/Sctr/Gnrh1/Sstr1/Grid2/Glp1r/Edn3/Chrna10/Drd3/Rxfp4/Ptger3/Chrna7/Chrm1/Chrna4/Ptgfr/Lpar3/Gabrq/P2rx1/Galr2/Mchr1/Oxtr/Edn2/Gabrg3/Adra2b/Vipr2/Ucn3/Grm8/Adra2a/Nmbr/Chrna6/Prl6a1/Prlh/Nts/Gabrb3/Chrm2/Adrb1/Gabrg2/Grm7/Chrna9/Nmur2/Chrnb4/Cckbr/Crhr1/Agtr1b/Grik3/Gria4/Lep/Gabra3/Gal/Oprk1/Penk/Oprl1/Gria2/Sct/Tshr/Glrb/Gabre/Agtr1a/Gabrr2/Adrb3/Adra1a/Hc/Grpr/Gcg/Tacr3/Chrna5/Agtr2/Vgf/P2ry4/Grik1/Hcrtr1/Grik2/Nmu/Adra2c/Prlr/Ntsr1/Cckar/Adcyap1r1/Pdyn/Tacr2/Gria1/Sst/Grp/Grin3a/Vip/Chrna3"
"mmu04657","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",87,0.582988691778788,2.2379729048016,1.93978642374131e-08,1.08951337466803e-06,8.13349044340654e-07,1317,"tags=29%, list=8%, signal=27%","Cxcl5/S100a9/S100a8/Cxcl3/Cxcl2/Cxcl1/Lcn2/Mmp13/Csf3/Mmp9/Il1b/Il17c/Mmp3/Csf2/Tnf/Ptgs2/Il6/Ccl20/Ccl2/Il17a/Ccl17/Mapk15/Mapk4/Fosl1/Ccl7"
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",177,0.470309238991362,1.95890935304073,1.64240957636441e-08,1.08951337466803e-06,8.13349044340654e-07,795,"tags=15%, list=5%, signal=15%","Defa21/Defa5/Cxcl3/Cxcl2/Cxcl1/Defa2/Defa32/Defa20/Defa22/Defa34/Defa17/Defa41/Defa30/Defa24/Il1b/Sting1/Nlrp12/Defa36/Tnf/Il6/Defa3/Defa26/Nlrp3/Ccl2/Defa35/Defa38/Defa29"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",242,0.415833267080649,1.81426847886296,1.37948481034432e-08,1.08951337466803e-06,8.13349044340654e-07,1796,"tags=28%, list=10%, signal=26%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Il23a/Inhba/Osm/Ppbp/Tnfrsf11b/Csf3/Il11/Il1a/Il36g/Il1b/Il17c/Tnfrsf9/Csf2/Il1r2/Il33/Gdf11/Tnf/Il6/Tnfsf18/Inhbb/Ccl20/Ccl2/Tnfrsf8/Il17a/Csf3r/Tnfsf9/Tnfrsf19/Il1rl1/Ifne/Il36a/Il22/Il18rap/Eda2r/Cxcl15/Cxcl17/Gdf15/Tnfrsf12a/Lif/Tnfsf4/Il5ra/Ccl17/Tnfsf14/Cd40/Bmp7/Cxcr1/Ccl24/Ccl3/Ccr8/Clcf1/Ccl7/Ccr1/Il18/Thpo/Csf2rb/Pf4/Il17f/Il13ra2/Il1rn/Relt/Cxcr4/Bmp6/Tnfsf11/Ackr3"
"mmu04310","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)",163,0.466957504231933,1.93626839193053,9.91591050949082e-08,4.77380263099772e-06,3.56376332596738e-06,2146,"tags=26%, list=12%, signal=23%","Wnt10a/Notum/Wif1/Mmp7/Wnt7b/Lgr6/Dkk2/Wnt7a/Apcdd1/Wnt6/Sox17/Wnt16/Lef1/Wnt3/Nkd1/Fzd10/Lgr5/Vangl2/Tcf7/Axin2/Rnf43/Rspo4/Znrf3/Bambi/Rac3/Wnt10b/Fzd6/Sfrp2/Fosl1/Ccnd1/Wnt8b/Csnk1e/Wnt5a/Nfatc2/Ruvbl1/Ccn4/Siah1b/Gpc4/Myc/Jun/Wnt11/Lrp5/Mcc"
"mmu05323","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",81,0.577594698222506,2.16550512977324,1.20503907058299e-07,5.07622708483085e-06,3.78953076143862e-06,625,"tags=22%, list=4%, signal=22%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Il23a/Il11/Il1a/Il1b/Mmp3/Atp6v0d2/Csf2/Tnf/Il6/Ccl20/Ccl2/Il17a/Icam1/Atp6v1b1"
"mmu04110","mmu04110","Cell cycle - Mus musculus (house mouse)",154,0.46845369759686,1.94105619934431,3.43152438671472e-07,1.28491524258096e-05,9.59221436754174e-06,4752,"tags=52%, list=28%, signal=38%","Cdkn2a/Cdkn1c/Mcm2/Ccnd1/Ywhaq/Ccnb1/Mcm3/Cdk4/Mcm7/Bub1/Mcm5/Mad2l2/Mtbp/Trip13/Mcm4/Smc1b/Mad2l1/Myc/Bub1b/Pcna/Cdc6/Cdc45/Hdac2/Ccne1/Mad1l1/Aurkb/Gadd45b/Orc2/Atrx/Ywhag/Tfdp1/Chek1/Smad3/Anapc15/Cdca5/Fbxo5/Tgfb1/Anapc4/Dbf4/Mcm6/Espl1/Trp53/Skp1/Cdk1/Esco2/Cdc20/Atm/Ndc80/Skp2/Ticrr/Cdc23/Orc6/Atr/Ppp2r1b/Cdc16/Sgo1/Ccna2/Ttk/Cdc27/Anapc7/Bub3/Knl1/Ccne2/Ddx11/E2f1/Cdt1/Orc4/Pds5b/Anapc16/Anapc10/Smad4/Ppp2cb/Ywhah/Ccnb2/E2f3/Zbtb17/Gadd45g/Cdk7/Cdc14b/Smad2"
"mmu05204","mmu05204","Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)",56,-0.677509761541753,-1.99904481235265,7.77272475076051e-07,2.54213543031796e-05,1.8977678208527e-05,2821,"tags=52%, list=16%, signal=43%","Gsto1/Cyp2c40/Gstm1/Gstt1/Mgst3/Mgst2/Gstt3/Cyp1a1/Gstm2/Cyp2e1/Gsta1/Ugt2b1/Gstk1/Ugt1a7c/Gstm3/Ugt1a2/Cyp3a13/Cyp3a25/Sult1a1/Ugt1a6a/Cyp3a44/Ugt1a6b/Ugt1a1/Ugt1a8/Cyp2c65/Cyp2c66/Ugt2b36/Cyp2c55/Ugt2b5"
"mmu04024","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)",203,-0.510399096901553,-1.74362415328934,8.29777143427228e-07,2.54213543031796e-05,1.8977678208527e-05,3001,"tags=31%, list=17%, signal=26%","Pld1/Cnga4/Atp2b1/Acox1/Sstr2/Calml4/Pde3a/Cnga3/Cftr/Creb3l4/Creb3l3/Gpr119/Cacna1c/Htr4/Grin2b/Crhr2/Hcn4/Rapgef4/Gli1/Atp2a3/Creb3l1/Hcn2/Fxyd2/Atp1b2/Sstr1/Glp1r/Edn3/Hhip/Atp2b3/Hcar1/Pde4c/Ptger3/Atp2b4/Chrm1/Oxtr/Edn2/Ffar2/Vipr2/Ppara/Kcnk2/Chrm2/Adrb1/Atp2b2/Crhr1/Gria4/Popdc3/Gria2/Tshr/Myl9/Adcy5/Gcg/Mapk10/Fxyd1/Popdc2/Sucnr1/Ryr2/Adcyap1r1/Gria1/Sst/Grin3a/Pln/Vip/Bves"
"mmu04668","mmu04668","TNF signaling pathway - Mus musculus (house mouse)",112,0.498581675375473,1.95234406820123,2.33225371038287e-06,6.54974583665855e-05,4.8895494454518e-05,917,"tags=16%, list=5%, signal=15%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Mmp9/Il1b/Mmp3/Sele/Csf2/Tnf/Ptgs2/Il6/Ccl20/Ccl2/Icam1/Lif/Mmp14/Socs3"
"mmu04613","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)",159,0.438493731121253,1.80989530296352,2.85852864083743e-06,7.41018578432472e-05,5.53188943449511e-05,3437,"tags=38%, list=20%, signal=31%","Padi4/Fpr1/Fpr2/H2ac4/H3c10/H2ac13/Clec7a/Selp/H2bc27/H2bc12/H4c18/Macroh2a2/H2bc13/Aqp9/H2bc11/H3c8/H2ac12/Mpo/Tlr8/H3c6/H3c3/H2az1/H2ac8/H2ac22/Cyba/H2bc3/H3c2/H2ac11/H3c7/H2ac15/H4c1/H3f3a/Fcgr3/Fcgr1/H2bc14/H3c1/C5ar1/Slc25a31/Itgb2/H2aj/H4c9/Hdac2/H3c11/H2ac20/Hdac6/H3f3b/Plcg1/Hat1/H2bc8/Ncf1/Hmgb1/Plcg2/H2bc22/Clcn3/Akt2/Cybb/Actg1/Ncf4/H4c12/Itgb3"
"mmu00140","mmu00140","Steroid hormone biosynthesis - Mus musculus (house mouse)",55,-0.661807592018134,-1.94979082220266,3.59275597230922e-06,8.64827687620148e-05,6.45615546903687e-05,1948,"tags=56%, list=11%, signal=50%","Hsd11b2/Sult2b1/Hsd17b2/Cyp1a1/Cyp2d9/Cyp2e1/Ugt2b1/Cyp2d34/Cyp2d12/Dhrs11/Ugt1a7c/Cyp2d26/Cyp2d22/Ugt1a2/Cyp3a13/Cyp3a25/Akr1c18/Akr1c21/H2-Ke6/Ugt1a6a/Cyp3a44/Hsd3b3/Hsd3b2/Ugt1a6b/Ugt1a1/Ugt1a8/Cyp2c65/Cyp2c66/Ugt2b36/Cyp2c55/Ugt2b5"
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)",148,-0.526635447634756,-1.7325516604208,6.23651806246226e-06,0.000140113772469985,0.000104598443293227,3028,"tags=32%, list=18%, signal=27%","Ppp2r3a/Atp2b1/Ppp2r2b/Plcb1/Cacna2d1/Calml4/Plcb2/Mapk12/Pik3r5/Creb3l4/Creb3l3/Cacna1c/Rapgef4/Atp2a3/Creb3l1/Fxyd2/Prkca/Cacng5/Atp1b2/Atp2b3/Atp2b4/Cacng2/Cacna2d2/Slc8a3/Cacna2d3/Kcnk2/Adrb1/Scn7a/Ppp1r1a/Atp2b2/Agtr1b/Myl4/Popdc3/Myh6/Agtr1a/Slc8a1/Tpm2/Ppp2r2c/Adra1a/Adcy5/Agtr2/Cacnb2/Slc8a2/Popdc2/Ryr2/Actc1/Pln/Bves"
