"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu05150","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)",89,0.67840606840192,2.65448943552441,4.8838735086317e-13,1.65074924591752e-10,1.18755240051992e-10,1027,"tags=43%, list=6%, signal=40%","Krt36/Defa21/Defa5/Cfi/Krt35/Defa2/Defa20/Defa32/Defa22/Defa34/Krt15/Krt14/Krt13/Krt16/Defa17/Krt34/Fpr1/Fpr2/Defa30/Defa24/Krt23/Krt32/Defa41/Dsg1c/Selp/Defa3/Icam1/Defa26/Defa36/Krt33b/C1s2/Krt17/Cfh/Krt39/C1rb/Defa35/Krt33a/Defa28"
"mmu05202","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)",195,0.509922414029194,2.16710717587522,3.32942791415763e-12,5.6267331749264e-10,4.04788341142323e-10,2171,"tags=32%, list=12%, signal=29%","Defa21/Defa5/Defa2/Defa20/Defa32/Defa22/Defa34/Defa17/Mmp9/Wnt16/Plat/Mmp3/Il6/Defa30/Defa24/Defa41/Il1r2/Mycn/Lmo2/Csf2/Defa3/Defa26/H3c10/Bcl2a1a/Tlx1/Defa36/Six4/Bcl2a1d/Arnt2/H3c8/Hoxa9/Cd40/Defa35/H3c6/H3c2/Plau/Defa28/Etv5/Cd14/Tcf3/Hoxa10/H3c3/Runx1/H3c7/Tlx3/Fcgr1/Rel/Defa38/H3c1/Id2/Cdk14/Igf1/Igfbp3/Slc45a3/H3f3a/Runx2/Cd86/Mpo/Hhex/Spi1/Gadd45b/Myc/Etv6"
"mmu04080","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",301,-0.536621271564328,-1.90790689319554,6.77586047031452e-12,7.63413612988769e-10,5.49201322330756e-10,3311,"tags=43%, list=19%, signal=35%","P2rx4/P2rx5/Chrnb2/Hrh1/Nr3c1/Grm4/Gabbr1/Sstr4/Grik5/Hcrt/Iapp/Ghrhr/Gabrd/Qrfprl/Ctsg/S1pr3/Htr4/Calcb/Cysltr2/Pth1r/Sstr2/Glra1/Ptger3/Htr2b/Rxfp2/Grin2b/Ucn2/Grid1/Kiss1/Lpar3/Chrna7/Calca/Nmbr/Drd2/Crhr2/Adra2b/Galr1/Oxt/Lhb/Ptgfr/Gabrq/Ptger1/Grm6/P2ry4/Sstr1/Chrna1/Npffr2/Prl6a1/Edn3/Galr2/Glp1r/Chrm3/Mchr1/Gabra3/Grpr/Chrm2/Taar9/Htr2c/Avpr2/Chrng/Paqr9/Rxfp4/Chrm1/Ucn3/Edn2/Nts/Vipr2/P2rx1/Nmur2/Grid2/Drd3/Oxtr/Adrb1/Gzma/Sctr/Agtr1b/Gabrr2/Gria4/Chrna9/Chrna6/Crhr1/Adra2a/Gabrb3/Gabrg2/Grik3/Npff/Cckbr/Agtr2/Chrnb4/Oprl1/Glrb/Gabrg3/Agtr1a/Tacr3/Tshr/Lep/Gal/Grik2/Oprk1/Gcg/Sct/Adra2c/Grm7/Adrb3/Penk/Hcrtr1/Adra1a/Chrna5/Hc/Vgf/Grik1/Gnrh1/Gria2/Gabre/Prlh/Adcyap1r1/Ntsr1/Tacr2/Prlr/Nmu/Gria1/Sst/Cckar/Pdyn/Chrna3/Vip/Grp/Grin3a"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",246,0.445947586004631,1.96739884760437,6.03113752477877e-10,5.09631120843806e-08,3.66629675848394e-08,2318,"tags=36%, list=13%, signal=32%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Csf3/Inhba/Osm/Il11/Il23a/Ppbp/Il1a/Tnfrsf11b/Il36g/Il1b/Il6/Il17c/Cxcl15/Il1r2/Ccl2/Gdf11/Tnfrsf9/Inhbb/Il17a/Tnfrsf8/Tnfsf18/Ccl20/Csf2/Il33/Il22/Tnf/Il1rl1/Csf3r/Ifne/Il5ra/Tnfrsf19/Tnfsf4/Ccl17/Cxcl17/Il18rap/Tnfsf9/Eda2r/Il17f/Ccl3/Bmp7/Il20ra/Cd40/Ccl7/Cxcr1/Ccr8/Tnfrsf12a/Lif/Ccl24/Il18/Il1rn/Gdf15/Tnfsf14/Thpo/Tnfsf11/Il27/Il36a/Ackr3/Il13ra2/Pf4/Ccl22/Csf2rb/Ccr1/Bmp8b/Ccl1/Bmp6/Osmr/Il12b/Ccr7/Il23r/Cxcl10/Csf2rb2/Il20rb/Clcf1/Il1rl2/Csf1/Relt/Cxcr4/Tgfb1/Tgfbr1/Il3ra/Bmp5/Ccl4/Il34"
"mmu04310","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)",165,0.495363327787529,2.07210854214676,1.73108272752227e-09,1.17021192380505e-07,8.41852863279251e-08,1586,"tags=23%, list=9%, signal=21%","Wnt10a/Notum/Lgr6/Wif1/Wnt7b/Mmp7/Apcdd1/Dkk2/Wnt7a/Wnt16/Wnt6/Sox17/Lef1/Nkd1/Wnt3/Vangl2/Tcf7/Fzd10/Lgr5/Axin2/Wnt8b/Sfrp2/Rnf43/Znrf3/Bambi/Rspo4/Wnt9b/Fzd6/Wnt10b/Rac3/Nfatc2/Ccnd1/Ccn4/Wnt5a/Fosl1/Gpc4/Csnk1e/Fzd1"
"mmu04657","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)",89,0.599792455159985,2.34688752044914,5.40288230127918e-09,3.04362369638727e-07,2.18958914314998e-07,1060,"tags=27%, list=6%, signal=25%","Cxcl5/S100a9/S100a8/Cxcl3/Cxcl2/Cxcl1/Csf3/Mmp13/Lcn2/Mmp9/Mmp3/Il1b/Il6/Il17c/Ptgs2/Ccl2/Il17a/Ccl20/Csf2/Tnf/Ccl17/Il17f/Ccl7/Mapk4"
"mmu04621","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)",178,0.46170220580847,1.95439857400953,3.48726489531927e-08,1.68385076373988e-06,1.21136570047932e-06,566,"tags=13%, list=3%, signal=13%","Cxcl3/Cxcl2/Cxcl1/Defa21/Defa5/Defa2/Defa20/Defa32/Defa22/Defa34/Defa17/Il1b/Il6/Defa30/Defa24/Defa41/Ccl2/Sting1/Nlrp12/Nlrp3/Defa3/Tnf/Defa26/Defa36"
"mmu04668","mmu04668","TNF signaling pathway - Mus musculus (house mouse)",112,0.522599223203702,2.07929408774064,4.83873675827505e-08,2.04436628037121e-06,1.47072130415992e-06,975,"tags=16%, list=6%, signal=15%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Mmp9/Sele/Mmp3/Il1b/Il6/Ptgs2/Ccl2/Ccl20/Csf2/Icam1/Tnf/Mmp14/Socs3/Lif"
"mmu05323","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)",83,0.572828563363773,2.2033531244535,1.19101342302006e-07,4.47291707756421e-06,3.21782573938752e-06,1237,"tags=25%, list=7%, signal=24%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Il11/Il23a/Il1a/Mmp3/Atp6v0d2/Il1b/Il6/Ccl2/Il17a/Ccl20/Csf2/Icam1/Tnf/Ccl3/Atp6v1b1/Il18/Tnfsf11"
"mmu05224","mmu05224","Breast cancer - Mus musculus (house mouse)",142,0.480037798866447,1.99455202307955,1.486237908063e-07,5.02348412925293e-06,3.61390480802687e-06,3131,"tags=32%, list=18%, signal=27%","Wnt10a/Wnt7b/Fgf3/Wnt7a/Wnt16/Wnt6/Fgf20/Lef1/Esr1/Wnt3/Tcf7/Fzd10/Axin2/Wnt8b/Hey1/Fgf23/Wnt9b/Fzd6/Notch1/Jag2/Wnt10b/Tnfsf11/Ccnd1/Wnt5a/Fgf22/Notch2/Fzd1/Fgf16/Igf1/Notch4/Cdk4/Brca2/Gadd45b/Lrp5/Myc/Fzd7/Jun/Dll4/Dvl2/Fgf7/Shc2/Brca1/Wnt11/Notch3/Trp53/Ctnnb1"
"mmu04110","mmu04110","Cell cycle - Mus musculus (house mouse)",154,0.453485618085649,1.89208567439991,5.7218662269482e-07,1.75817344064408e-05,1.2648335870096e-05,4824,"tags=51%, list=27%, signal=38%","Cdkn2a/Ccnd1/Cdkn1c/Mcm2/Ywhaq/Ccnb1/Mcm3/Mad2l2/Smc1b/Mcm7/Cdk4/Bub1b/Bub1/Mcm5/Gadd45b/Myc/Mcm4/Mad1l1/Tgfb1/Mad2l1/Atrx/Smad3/Pcna/Hdac2/Trip13/Orc2/Ywhag/Mtbp/Cdc6/Atm/Ccne1/Cdc45/Anapc4/Ticrr/Ccnd2/Aurkb/Tfdp1/Skp1/Fbxo5/Espl1/Atr/Cdc20/Trp53/Chek1/Cdc23/Anapc15/Skp2/Ppp2r1b/Anapc7/Cdca5/Ndc80/Dbf4/Cdc27/Smad4/Cdk1/Mcm6/Cdc14b/Esco2/Gadd45g/Cdc16/Orc6/Bub3/Ppp2cb/Ccne2/Ccna2/Ttk/Smad2/Knl1/Ywhah/E2f3/Pds5b/Sgo1/Anapc10/E2f1/Anapc16/Ccnb2/Zbtb17/Ddx11/Gsk3b"
"mmu04390","mmu04390","Hippo signaling pathway - Mus musculus (house mouse)",155,0.44092872059633,1.82876179782511,1.50051291252247e-06,4.22644470360495e-05,3.04051300695342e-05,2806,"tags=32%, list=16%, signal=27%","Wnt10a/Wnt7b/Wnt7a/Wnt16/Wnt6/Lef1/Nkd1/Wnt3/Serpine1/Tcf7/Fzd10/Ajuba/Afp/Axin2/Tead2/Wnt8b/Amot/Bmp7/Wnt9b/Fzd6/Pard6g/Wnt10b/Ccnd1/Dlg5/Wnt5a/Tead4/Llgl1/Csnk1e/Bmp8b/Fzd1/Id2/Bmp6/Ywhaq/Wwtr1/Tead1/Itgb2/Myc/Tgfb1/Fzd7/Tgfbr1/Smad3/Bmp5/Bmpr2/Ywhag/Dvl2/Tgfbr2/Actg1/Areg/Ccnd2/Ccn2"
"mmu00040","mmu00040","Pentose and glucuronate interconversions - Mus musculus (house mouse)",29,-0.754106038769005,-1.9922713750754,2.1595216598996e-06,5.61475631573896e-05,4.03926723430614e-05,1255,"tags=41%, list=7%, signal=38%","Ugt1a7c/Ugt1a5/Ugdh/Kl/Ugt1a2/Akr1b7/Ugt1a6a/Ugt1a1/Ugt1a6b/Ugt1a8/Ugt2b36/Ugt2b5"
"mmu05217","mmu05217","Basal cell carcinoma - Mus musculus (house mouse)",61,0.581175790946219,2.12166292549815,4.1360649894181e-06,9.64690491109545e-05,6.9400032216227e-05,1764,"tags=31%, list=10%, signal=28%","Wnt10a/Wnt7b/Wnt7a/Wnt16/Wnt6/Lef1/Wnt3/Tcf7/Shh/Fzd10/Axin2/Wnt8b/Wnt9b/Fzd6/Wnt10b/Wnt5a/Ptch2/Fzd1/Smo"
"mmu00140","mmu00140","Steroid hormone biosynthesis - Mus musculus (house mouse)",61,-0.632428497400869,-1.87861707505699,4.28117081853348e-06,9.64690491109545e-05,6.9400032216227e-05,2650,"tags=51%, list=15%, signal=43%","Hsd17b2/Cyp2e1/Hsd3b1/Sult2b1/Cyp2d34/Akr1c21/Hsd17b6/Dhrs11/Cyp2d22/Ugt1a7c/Ugt1a5/Cyp2d26/Cyp3a13/Cyp1a1/Hsd17b1/Ugt1a2/Akr1c18/Cyp3a25/H2-Ke6/Hsd3b3/Cyp3a44/Hsd3b2/Ugt1a6a/Ugt1a1/Ugt1a6b/Ugt1a8/Cyp2c65/Cyp2c55/Cyp2c66/Ugt2b36/Ugt2b5"
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)",81,0.540433469003759,2.07579520376215,6.82766929892713e-06,0.000144234513939836,0.000103762605792906,2645,"tags=43%, list=15%, signal=37%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Ppbp/Il6/Ccl2/Ccl20/Tnf/Ccl17/Il18rap/Ccl3/Il20ra/Ccl7/Cxcr1/Ccr8/Ccl24/Il18/Tnfsf14/Ackr3/Pf4/Ccl22/Ccr1/Ccl1/Ccr7/Cxcl10/Il20rb/Csf1/Cxcr4/Ccl4/Il34/Cxcl9/Il2ra/Tnfrsf1b"
