"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",173,-0.551814329278741,-2.06539119661276,7.77016775947703e-09,8.97454376219596e-06,8.33043775055511e-06,2518,"tags=37%, list=17%, signal=31%","H2-Eb1/Ubc/Ifi35/Ifi30/Bst2/Trim26/Stat2/H2-Ab1/Mapk3/Trim25/Eif2ak2/Socs1/B2m/Irf4/Flnb/Usp18/Trim34a/Jak2/Mx2/H2-Aa/H2-T23/Trim12c/Trim14/H2-M2/H2-D1/Ifngr1/Irf2/Samhd1/Prkcd/H2-Q7/Uba7/Irf8/Egr1/Camk2d/Ube2l6/Trim6/Ifi27l2b/Psmb8/Xaf1/Irf1/H2-Q10/Oas1g/Ifit3/Oas1a/Sp100/Irf7/Ciita/Gbp7/Oas3/Gbp5/Trim10/Trim31/Gbp3/Oasl1/Isg15/Trim5/Gbp2/Ifit2/H2-Q2/Rnasel/Rsad2/H2-Q1/Ifit1bl1/Trim38"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",194,0.503126689452083,2.0408252647668,4.21371790430122e-09,8.97454376219596e-06,8.33043775055511e-06,5877,"tags=71%, list=40%, signal=43%","Rps10/Rpl13a/Uba52/Rpp38/Nop56/Dis3/Dimt1/Gnl3/Csnk1e/Gar1/Dhx37/Tbl3/Rpl36al/Trmt112/Rpl24/Mrm3/Wdr43/Exosc1/Nop58/Utp25/Pelp1/Rpp40/Rpl22l1/Wdr36/Wdr75/Utp4/Rps21/Wdr3/Mphosph10/Rps19/Dkc1/Rps3/Rps8/Rpl3/Wdr18/Nip7/Exosc8/Rcl1/Rpl35/Nop14/Tsr3/Fbl/Nhp2/Pwp2/Rpl17/Utp18/Rrp9/Rps16/Wdr12/Rpl38/Rps9/Rpl5/Hsd17b10/Utp15/Trmt10c/Ftsj3/Tex10/Nob1/Krr1/Heatr1/Bysl/Nop2/Rps2/Noc4l/Rps18/Nol9/Rpl6/Rpl14/Rpl9/Utp14a/Rpp14/Rps4x/Rpl12/Eri1/Rpsa/Nol11/Rps28/Pes1/Rpl32/Rpl11/Rps5/Nsun4/Mrm1/Rrp1/Snu13/Exosc10/Rpl35a/Xrn2/Rpl7/Ddx21/Pno1/Rpp30/Rpl10a/Rpl10/Rpl15/Rpl36/Riok1/Pdcd11/Ddx52/Rpl39/Exosc5/Ncl/Isg20l2/Rps14/Rpl13/Wdr46/Rpl19/Rps24/Senp3/Bms1/Rpl26/Rps25/Fcf1/Rps6/Rpl28/Rbm28/Riok2/Rpl4/Las1l/Rpl22/Tfb1m/Exosc9/Rps27a/Bud23/Emg1/Rps26/Bop1/Rps12/Rpl37/Rps23/Rpl8/Rps15/Nat10/Rpl27a/Rps7/Utp3/Rps27l"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",84,-0.650648382033938,-2.19264399781434,1.26366945089472e-08,9.73025477188937e-06,9.03191112797386e-06,2518,"tags=50%, list=17%, signal=42%","H2-Eb1/Ifi30/Trim26/H2-Ab1/Trim25/Socs1/B2m/Irf4/Trim34a/Jak2/H2-Aa/H2-T23/Trim12c/Trim14/H2-M2/H2-D1/Ifngr1/Irf2/Prkcd/H2-Q7/Irf8/Camk2d/Trim6/Irf1/H2-Q10/Oas1g/Oas1a/Sp100/Irf7/Ciita/Gbp7/Oas3/Gbp5/Trim10/Trim31/Gbp3/Oasl1/Trim5/Gbp2/H2-Q2/H2-Q1/Trim38"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",57,-0.688899866651704,-2.17788946589123,1.07277935009211e-07,6.19530074678193e-05,5.75066193720428e-05,2454,"tags=60%, list=17%, signal=50%","Ifi35/Bst2/Stat2/Socs1/Irf4/Usp18/Mx2/H2-T23/H2-M2/H2-D1/Irf2/Samhd1/H2-Q7/Irf8/Egr1/Ifi27l2b/Psmb8/Xaf1/Irf1/H2-Q10/Oas1g/Ifit3/Oas1a/Irf7/Oas3/Oasl1/Isg15/Gbp2/Ifit2/H2-Q2/Rnasel/Rsad2/H2-Q1/Ifit1bl1"
"WP_NUCLEAR_RECEPTORS_METAPATHWAY","WP_NUCLEAR_RECEPTORS_METAPATHWAY","WP_NUCLEAR_RECEPTORS_METAPATHWAY",257,-0.481037002211757,-1.87239858899906,1.4116931465893e-07,6.52202233724257e-05,6.05393460968928e-05,2387,"tags=35%, list=16%, signal=30%","Slc39a2/Mgst2/Sertad2/Hbegf/Ncoa3/Egfr/Cbr1/Ppard/Cyp2b10/Kat2b/Alas1/Slc2a10/Acadm/Ppargc1a/Txn1/Tsc22d3/Akap13/Cpt1a/Stom/Ggt1/Rxra/Srxn1/Cavin2/Slc6a20a/Slc39a11/Nr3c1/Slc2a5/Irs2/Nr1h3/Slc5a3/Slc5a6/Slc5a1/Fgd4/Pltp/Slc5a9/Slc39a9/Aldh3a1/Epb41l4b/Acox1/Cpeb4/Nav3/Egr1/Ncoa1/Serpina1b/Slco2b1/Slc6a19/Hspa1a/Abcb4/Nr1i2/Ehhadh/Cyp2c66/Slc39a4/Fkbp5/Cbr3/Smarca1/Gstm2/Slc2a13/Slc2a12/Slc39a5/Ugt1a7c/Ppara/Hgf/Snai2/Slc6a8/Mgst3/Abcc3/Vdr/Prdx6/Edn2/Abcg8/Ugt1a1/Scnn1a/Sult1a1/Fabp1/Ugt2b36/Nr1h4/Cyp3a13/Ces1d/Slc5a8/Abcb1a/Slc26a2/Slc6a14/Abcg5/Slc6a4/Pck1/Ahrr/Cyp4f14/Gsta1/Cyp2c65/Ugt1a6b/Slc5a7"
"REACTOME_BIOLOGICAL_OXIDATIONS","REACTOME_BIOLOGICAL_OXIDATIONS","REACTOME_BIOLOGICAL_OXIDATIONS",149,-0.540593548490297,-1.9873060670644,6.45705316661726e-07,0.000248596546914764,0.00023075468948069,2372,"tags=40%, list=16%, signal=34%","Mgst2/Papss1/Gss/Acss1/Ugdh/Cyp2b10/Cyp2u1/Ugp2/Abhd14b/Cyp7b1/Aldh1b1/Fmo1/Acy3/Papss2/Ggt1/Rxra/Nnmt/Ptgis/Acss2/Aoc1/Aldh3a1/Ncoa1/Aldh2/Nat2/Gsto1/Gstk1/Cyp2d22/Ggt6/Cyp2c66/Cyp4f40/Cbr3/Gstm2/Ugt1a7c/Maoa/Mgst3/Cmbl/Ugt1a1/Sult1a1/Ugt2b36/Sult1b1/Nr1h4/Cyp3a13/Ces1d/Slc26a2/Adh1/Aldh1a7/Aadac/Cyp26b1/Maob/Cyp2f2/Cyp2s1/Ahrr/Cyp4f14/Gsta1/Dpep1/Cyp2c65/Sult1c2/Ugt1a6b/Cyp2c55"
"WP_MRNA_PROCESSING","WP_MRNA_PROCESSING","WP_MRNA_PROCESSING",124,0.510422319983769,1.94462698777543,1.74607914171812e-06,0.00057620611676698,0.000534851610778919,5436,"tags=66%, list=37%, signal=42%","Clk2/Hnrnph1/Snrpg/Srsf7/Ncbp2/Clk4/Sugp2/Hnrnpa1/Rbmx/Ptbp2/Srek1/Mettl3/Rnmt/Clk1/Hnrnpab/Snrpe/Prmt1/Nxf1/Sfpq/Tra2b/Nudt21/Snrpd1/Lsm7/Snrnp70/Srsf10/Snrpa/Celf4/Snrpn/Nono/Srsf4/Rbm5/Snrpd2/Srsf3/Snrpb2/Srsf1/Srsf2/Cpsf4/Prpf3/Prpf4b/Hnrnpl/U2af2/Dhx15/Srsf6/Srsf9/Hnrnpc/Clasrp/Rnps1/Snrpa1/Pcbp2/Sf3a3/Snrnp40/Txnl4a/Lsm2/Clk3/Prpf4/Sf3b3/Snrpd3/Rbm39/Srpk2/Cpsf3/Sf3a1/Snu13/Eftud2/Xrn2/Fus/Hnrnpk/Ncbp1/U2af1/Cstf2/Cstf3/Dnajc8/Snrpb/Ptbp1/Sfswap/Sf3a2/Hnrnpu/Prpf40a/Sf3b4/Sf3b1/Cdc40/Snrpf/Cpsf1"
"WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY","WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY","WP_CONSTITUTIVE_ANDROSTANE_RECEPTOR_PATHWAY",23,-0.797175151801827,-2.12526149226437,4.01261620735712e-06,0.00115864292987437,0.00107548673873506,2146,"tags=65%, list=15%, signal=56%","Cyp2b10/Alas1/Ppargc1a/Rxra/Ncoa1/Ehhadh/Cyp2c66/Ugt1a7c/Abcc3/Ugt1a1/Sult1a1/Abcb1a/Gsta1/Cyp2c65/Ugt1a6b"
"WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II","WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II","WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II",113,-0.546581208700029,-1.9404223069455,7.80222054873866e-06,0.00200256994084292,0.00185884482547142,1369,"tags=29%, list=9%, signal=27%","Chst4/Fmo4/Gsto1/Gstk1/Cyp2d22/Chst3/Gal3st1/Cyp2c66/Cyp4f40/Gstm2/Ugt1a7c/Ephx2/Gal3st2c/Fmo5/Mgst3/Akr1c18/Ugt1a1/Sult1a1/Ugt2b36/Sult1b1/Cyp3a13/Cyp26b1/Cyp2f2/Cyp2s1/Chst13/Cyp4f14/Gsta1/Cyp2c65/Sult1c2/Ugt1a6b/Kcnab1/Hs3st5/Cyp2c55"
"WP_PREGNANE_X_RECEPTOR_PATHWAY","WP_PREGNANE_X_RECEPTOR_PATHWAY","WP_PREGNANE_X_RECEPTOR_PATHWAY",25,-0.779413799135928,-2.10404430477362,9.41924206330911e-06,0.00212153495711951,0.0019692716826851,2307,"tags=64%, list=16%, signal=54%","Ncoa3/Cyp2b10/Ppargc1a/Rxra/Ncoa1/Nr1i2/Cyp2c66/Ugt1a7c/Abcc3/Ugt1a1/Cyp3a13/Abcb1a/Cyp4f14/Gsta1/Cyp2c65/Ugt1a6b"
