"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",440,0.473600181337911,2.15816195309976,2.67589650949539e-20,6.40877214024145e-17,4.81943045025958e-17,2679,"tags=30%, list=15%, signal=26%","Cxcl3/Cxcl2/Cxcl1/Osm/Il1a/Il23a/Csf3/Lcn2/Il11/Il1b/Mmp3/Mmp9/Il36g/Il17c/Il6/Ccl2/Fpr1/Ccl20/Muc1/Serpinb2/Il33/Csf2/Dusp4/Il17a/Ptprz1/Ptgs2/Il1r2/Nos2/Tnf/Il17f/Icam1/Timp1/Mtap/Csf3r/Il5ra/Ccl3/H3c10/Il1rl1/Lif/Ighe/Hmox1/H3c2/Il18rap/Ccl22/Irs1/Ccl4/Cd80/Alox15/Anxa1/Il13ra2/Socs3/Il1rn/Havcr2/Fscn1/Ighg2c/Il12b/Lama5/Csf2rb2/Il2ra/Il36a/Il27/Cd86/Hgf/Hif1a/Il20ra/Il24/Ccr1/H3c8/Clcf1/Il18/Gsta5/Cxcl10/Itgb2/Ptafr/Osmr/Ccnd1/Ccr5/Mif/Csf1/Ptpn13/Tgfb1/Fn1/Ighg2b/H3c3/Fcer2a/Stx1a/Ppia/Dusp7/Ccr2/S1pr1/Psma8/Tnfrsf1b/Itgax/Il34/Cebpd/Lmnb1/Hnrnpf/Map3k8/Il7r/Myc/Jak3/Lcp1/Sdc1/Jun/F13a1/App/Nod2/Batf/Il10ra/Vim/Rps6ka2/Smad3/Ptpn4/H3c7/Nfkbia/Il1rl2/Csf1r/H3c1/Dusp6/Lbp/Vcam1/Il23r/Sox2/Tec/Il3ra/Msn/Il4ra/Rplp0/Anxa2/Psmb5"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",43,0.862081811405771,2.8859754570954,6.64982509739752e-17,7.96316555413352e-14,5.98834249560376e-14,1677,"tags=77%, list=10%, signal=70%","Cxcl3/Cxcl2/Cxcl1/Il1a/Csf3/Il1b/Il6/Ccl2/Fpr1/Ccl20/Csf2/Ptgs2/Il1r2/Tnf/Icam1/Timp1/Ccl3/Lif/Ccl22/Ccl4/Cd80/Il1rn/Il12b/Cd86/Ccr1/Il18/Cxcl10/Ptafr/Ccr5/Csf1/Fcer2a/Ccr2/Tnfrsf1b"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",381,-0.554784060406015,-1.98196754893278,1.08246775614444e-16,8.64170091988644e-14,6.49860466934434e-14,2998,"tags=38%, list=17%, signal=32%","Camk2b/Plcb2/Chrnb2/Rab3a/Slitrk2/Kcnj1/Kcnd1/Nlgn1/Cacna1b/Abat/Kcnh1/Grin2d/Grik5/Grik4/Tubb3/Plcb1/Hcn4/Kcns1/Gjc1/Apba1/Kcnk6/Cacnb4/Kcnmb1/Chrna4/Arhgef9/Lin7a/Kcng2/Gng4/Grin2c/Gabrr2/Chrng/Slc6a3/Syt1/Ache/Lrrtm4/Prkca/Kcnab1/Kcnc1/Syn1/Kcnmb3/Grip1/Dlgap3/Abcc9/Ppfia2/Chrna1/Hcn2/Syt9/Gnb3/Chrna7/Prkaa2/Kcna5/Begain/Kcnf1/Maoa/Syt7/Kcnk4/Kcnq2/Actn2/Kcnma1/Cacna2d2/Lin7b/Slc1a3/Shank1/Kcns2/Kcnv1/Gabrq/Kcnj11/Slc6a1/Nlgn3/Kcnv2/Rasgrf2/Cacng2/Syt2/Snap25/Kcnc4/Glrb/Gria4/Hcn1/Kcnj5/Chrna6/Cacna2d3/Slitrk4/Gabra3/Kcnk2/Kcnb1/Ppfia3/Kcnk3/Ntrk3/Tubal3/Lrrc7/Kcnn3/Gng3/Gabrg2/Chrna9/Kcng4/Gnat3/Bche/Gria2/Kcnk9/Kcnj3/Gabrb3/Cacna1e/Gjd2/Abcc8/Ppm1e/Kcnd2/Grik3/Nrxn2/Adcy5/Kcnc2/Slc5a7/Cplx1/Lrrc4b/Nefl/Chrnb4/Lrrtm1/Slitrk5/Htr3b/Kcnh3/Kcna6/Dlg2/Lrfn2/Chrna5/Kcnd3/Kcng1/Slitrk1/Cacnb2/Grik1/Slitrk3/Gabrg3/Syt10/Lrrtm3/Slc18a3/Dlgap2/Kcnj12/Grik2/Kcna1/Chat/Kcnq3/Gria1/Rims1/Grin3a/Htr3a/Kcna2/Chrna3"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",216,0.545762579474767,2.32363330576386,1.2495109627344e-15,7.28179377283381e-13,5.47594732241233e-13,2138,"tags=38%, list=12%, signal=33%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Osm/Cxcr2/Inhba/Il1a/Il23a/Csf3/Il11/Il1b/Tnfrsf11b/Ppbp/Il6/Ccl2/Tnfsf18/Ccl20/Csf2/Ccl17/Il17a/Ccl7/Ccr8/Il1r2/Tnfrsf8/Tnf/Tnfrsf9/Inhbb/Eda2r/Csf3r/Il5ra/Ccl3/Ccl24/Lif/Tnfsf9/Tnfsf11/Tnfsf4/Il18rap/Ccl22/Ccl1/Ccl4/Tnfrsf12a/Ccr7/Ifne/Pdgfb/Il12b/Cd40/Csf2rb2/Il2ra/Tnfrsf19/Hgf/Ccr6/Tnfsf14/Il20ra/Il24/Ccr1/Cxcr4/Clcf1/Il18/Cxcl10/Osmr/Bmp7/Cxcl16/Ccr5/Csf1/Tgfb1/Pf4/Ccr2/Relt/Tnfrsf1b/Cxcl9/Il7r/Ccr4/Gdf5/Ifnar2/Tnfrsf4/Cxcr5/Mpl/Vegfc/Il10ra/Tnfrsf10b"
"REACTOME_M_PHASE","REACTOME_M_PHASE","REACTOME_M_PHASE",388,0.447967705996477,2.02761222761304,1.52020746823253e-15,7.28179377283381e-13,5.47594732241233e-13,5264,"tags=53%, list=30%, signal=38%","H2ac4/Tubb2b/H3c10/H3c2/H2ac13/H2bc3/H4c18/Tuba1b/Tubb5/H3c8/H2az1/Tubb4a/Ninl/Cep72/Rcc2/Cenpm/Ran/Ccnb1/H3c3/Kif20a/Ncapg2/Cenpp/Tuba8/Haus6/Psma8/Cep78/Cenps/Tuba1a/Tuba1c/Kntc1/Mastl/Ncapg/Tubb1/Tubb6/Lmnb1/Bub1/Nup188/H3f3a/Nup43/Ncaph/Bub1b/H2aj/Tubg1/Cenpi/Ywhag/Nup107/Nup155/Nup93/Csnk1e/Smc2/Cdc20/Nup35/Tnpo1/B9d2/Mad1l1/Mad2l1/Nup133/Ube2e1/Ercc6l/Aurkb/H4c12/Ccp110/H3c7/Clasp1/Kif18a/H3c1/Fbxo5/Zwilch/Cdk1/Set/Ube2i/Haus4/Kif2c/H3f3b/Cdca5/Nsl1/Kif23/Tmpo/Psmb5/Cdca8/Prkar2b/Nup205/H3c11/Ndc80/Xpo1/Incenp/Espl1/Nme7/Plk4/Tuba4a/Nup54/Rcc1/Mcph1/Cenph/Aaas/Anapc4/H2bc8/Ncapd2/H2bu1-ps/Dsn1/Nup153/Anapc15/Spdl1/Nup85/Nup37/Ska1/Nde1/Nup62/Nedd1/Bub3/Ssna1/H2ax/H2az2/Anapc7/Cdc23/Nudc/Nuf2/Nup160/Psmd1/Haus3/Psma7/Ppp2r1b/Vrk1/Ndc1/Cdc16/Ube2s/H4c6/Ube2c/Kpnb1/Ncapd3/Knl1/Psmb7/Ppp1cc/Seh1l/Cep76/Ube2d1/Psma1/Ccnb2/Psmd14/Cep192/Emd/Lmna/Cenpk/Cep290/Haus2/Eml4/Cdk5rap2/Cenpn/Hsp90aa1/H2bc14/Mzt1/Nup214/Spc24/Rangap1/H4c8/Sgo1/Tubgcp2/Psmd2/Cdc27/Nup210/H2ac10/Haus7/Psmd7/Cenpa/Cep135/Ska2/Haus1/H4c1/Cep43/Cenpt/Cep57/Rae1/Psma5/Cenpf/Lemd3/Psmb6/Anapc10/Cenpq/Ckap5/Sgo2a/Psmb3/H4c11/Smc4/Pds5b/Psmd6/Cetn2/Ofd1/Tpr/Psma3/Odf2/Nek7/Anapc16/Ppp2cb/Spc25/Csnk1d/Ubb/Dynll1/Mapre1/Psmd12/Dctn3/Psmd13/Psme3/Psmd3/Psme4"
"WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS",86,0.700209242515631,2.63454443925748,1.95601380712068e-14,7.80775511342337e-12,5.87147302453242e-12,1473,"tags=52%, list=8%, signal=48%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Osm/Spp1/Il1a/Il23a/Csf3/Il11/Il1b/Mmp3/Mmp9/Il36g/Il17c/Ppbp/Il6/Ccl2/Ccl20/Il33/Csf2/Ccl17/Il17a/Ccl7/Tnf/Il17f/Ccl3/Ccl24/Lif/Ccl22/Ccl1/Ccl4/Il1rn/Il12b/Il36a/Il27/Il24/Il18/Cxcl10/Cxcl17/Cxcl16/Csf1/Tgfb1/Areg/Pf4"
"REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS",279,0.476304892031841,2.10890849216535,1.13997601763706e-13,3.90034651748678e-11,2.93308115214587e-11,6150,"tags=65%, list=35%, signal=43%","Cdkn2a/H2bc3/H4c18/Rcc2/Cenpm/Mcm2/Ccnb1/Cenpp/Ywhaq/Psma8/Cenps/Mcm3/Kntc1/Mcm8/Bub1/Nup43/Mcm5/Mcm7/Bub1b/Clspn/Gtse1/Cenpi/Cdc45/Ube2v2/Blm/Ywhag/Nup107/Mcm4/Bard1/Cdc20/B9d2/Mad1l1/Mad2l1/Rfc3/Nup133/Exo1/Ube2e1/Ercc6l/Aurkb/H4c12/Clasp1/Kif18a/Cdc6/Ccne1/Zwilch/Cdk1/Kif2c/Hus1/Nsl1/Psmb5/Cdca8/Topbp1/Dna2/Trp53/Orc2/Ndc80/Xpo1/Incenp/Cenph/Anapc4/H2bc8/Chek1/H2bu1-ps/Ywhah/Trp53bp1/Brca1/Dsn1/Dbf4/Anapc15/Mcm6/Spdl1/Nup85/Nup37/Ska1/Nde1/Ccna2/Ccne2/Bub3/Orc6/H2ax/Anapc7/Cdc23/Rpa1/Nudc/Nuf2/Nup160/Psmd1/Psma7/Ppp2r1b/Rpa3/Cdc16/Ube2s/H4c6/Rfc5/Ube2c/Knl1/Brip1/Psmb7/Ppp1cc/Seh1l/Top3a/Ube2n/Ube2d1/Psma1/Ccnb2/Rfc4/Atr/Psmd14/Rpa2/Cenpk/Atm/Cenpn/Nsd2/H2bc14/Spc24/Rangap1/H4c8/Sgo1/Psmd2/Cdc27/Mre11a/Psmd7/Cenpa/Ska2/H4c1/Cenpt/Psma5/Cenpf/Psmb6/Anapc10/Cenpq/Ckap5/Sgo2a/Psmb3/H4c11/Psmd6/Psma3/Anapc16/Ppp2cb/Spc25/Rad50/Ubb/Dynll1/Orc4/Mapre1/Psmd12/Atrip/Psmd13/Psme3/Psmd3/Phf20/Psme4/Psmb4/Mdc1/Kat5/Orc5/Cdc25c/Psmc2/Psmc3/Psmc5/Ywhae/Psmc6/Cenpe/Birc5/Psmc4/Ywhaz/Cenpl/Rps27a/Anapc2/Psmd4/Rad1/Pcbp4/Sfn/Cenpo/Anapc1/Mis12/Ranbp2/Psma2/Psma6/Mcm10/Clasp2/Nup98"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",196,0.528524850054277,2.2565497765844,5.79332610093327e-13,1.7343770014669e-10,1.30426065246011e-10,6004,"tags=72%, list=34%, signal=48%","Nhp2/Fbl/Rpl27/Rpl15/Rcl1/Snu13/Trmt112/Noc4l/Nip7/Rps6/Gar1/Las1l/Csnk1e/Utp4/Utp18/Ncl/Rps2/Wdr3/Dimt1/Ddx21/Ftsj3/Rpl10a/Nop56/Tex10/Rpl23a/Pes1/Wdr43/Dkc1/Rpl3/Rplp0/Wdr12/Rpp38/Ltv1/Xrn2/Pwp2/Wdr46/Heatr1/Rps23/Rpp40/Rpl27a/Pdcd11/Rpl34/Rpl13/Riok2/Nol11/Wdr75/Nop2/Rrp9/Bop1/Rps12/Wdr18/Bysl/Utp15/Dis3/Rpl36/Rps16/Rpl6/Nop14/Dhx37/Rpsa/Rps9/Tbl3/Rps15a/Thumpd1/Exosc8/Exosc1/Pelp1/Prorp/Nob1/Rpl31/Rpl10/Pno1/Rps18/Rpl5/Rpl35a/Eri1/Rbm28/Rpl7/Rpl12/Rps3/Nop58/Utp25/Imp3/Rps14/Exosc3/Nop10/Rrp1/Utp3/Bms1/Rpl11/Tsr3/Exosc2/Ebna1bp2/Tsr1/Rpl37/Gnl3/Krr1/Rps20/Exosc5/Rpl30/Rpl26/Utp14a/Rpl9/Mtrex/Ddx49/Utp6/Rpl39/Isg20l2/Nol9/Exosc7/Exosc4/Rpl8/Rps5/Rpl32/Rps7/Rpl29/Rpp14/Rps3a1/Rps21/Mphosph10/Csnk1d/Wdr36/Rpl36a/Rpp30/Rpl18/Rpl14/Rpp25/Rpl19/Ddx52/Rplp2/Rps11/Rpl13a/Rpl17/Rpl4/Imp4/Rpl35/Exosc9/Rps27a/Rps17/Emg1/Nsun4/Rplp1"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",222,-0.579043032668638,-1.99985559199023,1.72274121793256e-12,4.58440579660943e-10,3.44749733787441e-10,3408,"tags=51%, list=19%, signal=42%","P2rx4/Grm8/Cnr1/Glra1/Nr3c1/Chrm4/Oprd1/P2rx5/Gpr50/Ghrhr/Galr3/Chrnb2/Tbxa2r/Glp2r/Nmur2/Ednrb/S1pr3/Lpar1/Rxfp1/Sstr5/Grin2d/Grik5/Htr4/Grik4/Mas1/Avpr2/Npy4r/Npffr1/Mc5r/Sstr2/Chrna4/Pth1r/Drd4/Ptger3/Htr2b/Grin2c/Ptgfr/Gabrr2/Chrng/F2/Crhr2/Ptger1/Grm4/Drd3/Chrna1/Glp1r/Plg/Rxfp2/Sstr1/Grid2/Cckbr/Sstr4/Chrna7/Nmbr/P2ry4/Tshr/P2rx1/Taar9/Htr2c/Npffr2/Drd2/Adra2c/Lpar3/Gzma/Oxtr/Vipr2/Grid1/Gabrq/Galr2/Chrm3/Crhr1/Chrm1/Glrb/Gria4/Grpr/Chrna6/Gabra3/Adrb1/Gabrg2/Tacr3/Chrna9/Sctr/Gria2/Galr1/Gabrb3/Grm7/Lep/Agtr1a/Mchr1/Grik3/Hcrtr1/Chrm2/Adrb3/Adra2a/Chrnb4/Agtr2/Adra1a/Oprl1/Adcyap1r1/Chrna5/Adra2b/Oprk1/Grik1/Cckar/Ntsr1/Gabrg3/Prlr/Grik2/Gabre/Tacr2/Gria1/Grin3a/Chrna3"
"WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY",199,0.51804189346207,2.20287444634623,2.55353373564142e-12,6.1157132968612e-10,4.5990486544026e-10,1506,"tags=25%, list=9%, signal=23%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cfi/Cxcr2/Il1a/Il1b/Hp/Il6/Alb/Ccl2/Lrg1/Nlrp3/Ccl20/Selp/Il33/Il17a/Ptgs2/Il1r2/Serpine1/Tnf/Ifitm1/Cd14/Ccl3/Hbb-bt/Ddit4/Trf/Ifitm3/Il18rap/Ccl22/Ccl1/Ccl4/Serpina10/Mmp25/Cfh/Hrg/Ccr6/Hif1a/Col7a1/C1rb/Nlrp1a/Il18/Cxcl10/Cxcl16/Ccr5/Fn1/Pf4/Ccnb1"
