"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",139,0.776299677523374,2.50913108543287,2.38500056117639e-23,5.63814132662099e-20,5.22440649242955e-20,849,"tags=25%, list=5%, signal=24%","Igkv12-38/Ighm/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Cd19/Cd79a/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Cd79b/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Blk/Igkv1-88/Cd22/Igkv12-41/Psmb9/Prkcb/Psmb8"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",110,0.80129679560861,2.52510947994182,2.31372521934278e-21,2.73482320926316e-18,2.53413799023806e-18,849,"tags=28%, list=5%, signal=27%","Igkv12-38/Igkv2-109/Ighe/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Igkv1-88/Fcer1a/Igkv12-41/Psmb9/Ms4a2/Psmb8"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",160,0.737321412529112,2.41901896329712,3.55097545891209e-21,2.79816866162273e-18,2.59283506315651e-18,1078,"tags=23%, list=7%, signal=22%","Igkv12-38/Igkv2-109/Ighe/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Igkv1-88/Grap2/Fcer1a/Igkv12-41/Lat2/Lat/Psmb9/Txk/Ms4a2/Psmb8/Itk/Btk"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",62,0.878742017418421,2.54811372738253,1.45897878995966e-19,8.6225646486616e-17,7.9898285839633e-17,732,"tags=50%, list=4%, signal=48%","Igkv12-38/Igkv2-109/Ighe/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Igkv1-88/Grap2/Fcer1a/Igkv12-41/Lat/Ms4a2"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",46,0.910185694727467,2.5260383968807,2.98443907246383e-19,1.4110427934609e-16,1.30749846522047e-16,732,"tags=65%, list=4%, signal=63%","Igkv12-38/Igkv2-109/Ighe/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Igkv1-88/Fcer1a/Igkv12-41/Lat2/Ms4a2"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",60,0.877748810919354,2.53996797774072,4.11749214425052e-19,1.62229190483471e-16,1.50324581617287e-16,627,"tags=53%, list=4%, signal=51%","Igkv12-38/Ighm/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Cd19/Cd79a/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Cd79b/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Blk/Igkv1-88/Cd22/Igkv12-41"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",127,0.760772644711621,2.44376232547695,5.61151543051562e-19,1.89508892539127e-16,1.75602460314331e-16,2104,"tags=57%, list=13%, signal=50%","Igkv12-38/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Klrb1a/Igkv1-135/Cd19/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Cd8b1/Cd8a/Igkv17-121/Slamf7/Igkv17-127/Klrg1/Igkv9-120/Sh2d1a/Igkv12-98/Ighv5-9/Igkv1-110/H2-Q1/Siglecg/Itgb7/Igkv1-88/Cd3e/Cd22/H2-Q7/Igkv12-41/Cd3d/H2-Q2/Cd247/Slamf6/B2m/H2-M2/Treml4/Cd300e/Cd96/Col17a1/Cd3g/Madcam1/Vcam1/H2-T23/H2-D1/Klrk1/Icam5/Clec2h/Raet1e/Hcst/Igkv11-125/Ncr1/Cd300a/Mill2/Col1a2/Cd34/Icam2/Itgal/Pianp/Fcgr1/C3/Klrd1/Col3a1"
"REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,0.937528751109684,2.48530688575895,9.05653247578319e-19,2.67620534659393e-16,2.47982158975063e-16,627,"tags=86%, list=4%, signal=83%","Igkv12-38/Ighm/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Cd79a/Iglc2/Igkv8-21/Igkv13-84/Igkv8-30/Iglc3/Igkv1-117/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Cd79b/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Igkv1-88/Cd22/Igkv12-41"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",117,0.766782682545822,2.4304277122145,2.13136930540873e-18,5.5983967088736e-16,5.18757839129306e-16,927,"tags=29%, list=6%, signal=28%","Igkv12-38/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Plpp4/Igkv8-30/Ighg2b/Iglc3/Igkv1-117/Ighg2c/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Ighg3/Igkv1-88/Igkv12-41/Cd247/Cd3g/Cyfip2/Pld4"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",57,0.873535644995083,2.49248831393896,4.29351993397039e-18,1.0149881123906e-15,9.40506840272883e-16,927,"tags=58%, list=6%, signal=55%","Igkv12-38/Igkv2-109/Igkv8-27/Igkv12-44/Igkv8-28/Igkv13-85/Igkv14-100/Igkv1-99/Igkv14-111/Igkv1-135/Iglc2/Igkv8-21/Igkv13-84/Plpp4/Igkv8-30/Ighg2b/Iglc3/Igkv1-117/Ighg2c/Igkv14-126/Iglc1/Igkv17-121/Igkv17-127/Igkv9-120/Igkv12-98/Ighv5-9/Igkv1-110/Ighg3/Igkv1-88/Igkv12-41/Cd247/Cd3g/Pld4"
