"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",436,0.48109938355821,2.12746600532654,1.09359471719945e-19,2.60822340052069e-16,2.04099308799434e-16,2681,"tags=30%, list=16%, signal=26%","Cxcl3/Cxcl2/Cxcl1/Osm/Mmp3/Il11/Csf3/Il23a/Il1a/Lcn2/Il1b/Il36g/Mmp9/Il6/Fpr1/Ccl2/Il17c/Muc1/Il17a/Ccl20/Ptgs2/Serpinb2/Csf2/Il1r2/Dusp4/Il17f/H3c2/Nos2/Ptprz1/Il33/Csf3r/Tnf/Il5ra/Il1rl1/Timp1/Icam1/Ighe/Gsta5/Il18rap/Hmox1/Mtap/H3c10/Ccl3/Hgf/Irs1/Anxa1/Alox15/Il1rn/Ccl22/Lif/Cxcl10/Socs3/Ighg2c/Il18/Hif1a/Havcr2/Cd80/Il13ra2/Fscn1/Csf2rb2/Il2ra/Ccl4/Il36a/Lama5/Il34/H3c8/Ccr1/Il20ra/Fcer2a/Il12b/Osmr/Ptafr/Il24/Cd86/Ccnd1/Itgb2/Il23r/H3c7/Psma8/Clcf1/Ccr5/Lbp/Ptpn13/Ccr2/Mif/Ppia/Tnfrsf1b/Il27/Tgfb1/Il1rl2/S1pr1/H3c3/Lcp1/Hnrnpf/H3c11/F13a1/Itgax/Dusp6/Dusp7/Batf/Csf1/App/Fn1/Il10ra/Ighg2b/Il22ra1/H3c1/Anxa2/Lmnb1/Jak3/Myc/Sdc1/Il4ra/Ebi3/Csf1r/Cebpd/Rps6ka2/Map3k8/Smad3/Nfkbia/Junb/Jun/Rplp0/Fos/Il21r/Psmb5/Capza1/Vim/Vcam1/Il7r/Ptpn7/Ptpn4"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",375,-0.578355738365378,-1.99817299441837,1.91506602520859e-18,2.28371623506125e-15,1.7870589803657e-15,2816,"tags=39%, list=16%, signal=34%","Camk2b/Kif17/Cacna1a/Plcb2/Kcnh2/Tspoap1/Rab3a/Gabbr1/Kcnq5/Slc22a1/Chrnb2/Vamp2/Apba1/Prkaa2/Nrgn/Kcnf1/Slitrk5/Grin2a/Lrrtm4/Gng8/Slc6a1/Kcnh6/Grm1/Kcnq4/Kcnd1/Plcb1/Gjc1/Kcnmb3/Lrfn3/Prkca/Tubb3/Kcnn2/Gng13/Syt1/Kcns1/Kcna5/Kcnk4/Lin7a/Prkcg/Maoa/Hcn2/Hcn4/Cacna2d2/Grik5/Hcn1/Syt7/Ache/Tubal3/Cacnb4/Kcnc1/Abcc9/Kcnmb1/Nlgn1/Syt2/Grip1/Syt9/Arhgef9/Slc5a7/Gng4/Gria4/Gabrq/Kcnma1/Kcng2/Chrna1/Syn1/Kcnc4/Gabrr2/Dlgap3/Lrrc7/Chrna4/Slc1a3/Actn2/Lin7b/Snap25/Gjd2/Ppfia3/Rasgrf2/Begain/Gabra3/Ppfia2/Cacng2/Kcnn3/Chrna7/Shank1/Bche/Chrna9/Chrna6/Kcng4/Gnat3/Kcnj5/Kcnq2/Slitrk4/Cacna1e/Gnb3/Kcnk3/Kcnk9/Cacna2d3/Lrrc4b/Kcnj3/Gabrg2/Ppm1e/Adcy5/Kcnj11/Glrb/Kcnb1/Grik3/Kcnc2/Lrrtm1/Abcc8/Chrna5/Nefl/Kcng1/Chrnb4/Kcnk2/Nlgn3/Dlg2/Grik1/Gabrg3/Cacnb2/Kcnd3/Nrxn2/Lrrtm3/Kcnh3/Ntrk3/Lrfn2/Cplx1/Slitrk1/Chat/Htr3b/Kcnd2/Kcnj12/Grik2/Kcna1/Gng3/Slitrk3/Gabrb3/Kcna6/Syt10/Gria2/Kcnq3/Dlgap2/Kcna2/Gria1/Slc18a3/Rims1/Grin3a/Htr3a/Chrna3"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",213,0.560413265140916,2.31144407837801,2.02510840308492e-15,1.60996118045251e-12,1.25983059602441e-12,1583,"tags=35%, list=9%, signal=32%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Osm/Inhba/Il11/Csf3/Il23a/Il1a/Il1b/Tnfrsf11b/Ppbp/Tnfrsf8/Il6/Ccl2/Il17a/Ifne/Ccl20/Ccl7/Csf2/Il1r2/Ccl17/Tnfsf18/Tnfsf11/Ccl24/Csf3r/Tnf/Il5ra/Ccr8/Tnfrsf9/Inhbb/Il18rap/Ccl3/Hgf/Eda2r/Ccr6/Tnfsf4/Ccr7/Ccl22/Lif/Cxcl10/Tnfrsf12a/Il18/Tnfsf14/Tnfsf9/Cd40/Ccl1/Csf2rb2/Cxcr1/Il2ra/Ccl4/Tnfrsf13c/Ccr1/Il20ra/Cxcr4/Il12b/Osmr/Il24/Pf4/Pdgfb/Cxcr5/Il23r/Clcf1/Tnfrsf19/Cxcl9/Bmp7/Cxcl16/Ccr5/Ccr2/Tnfrsf1b/Vegfc/Tgfb1"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",43,0.849502823913173,2.72060369111664,2.88998235991896e-15,1.72315198210168e-12,1.34840492740429e-12,1497,"tags=74%, list=9%, signal=68%","Cxcl3/Cxcl2/Cxcl1/Csf3/Il1a/Il1b/Il6/Fpr1/Ccl2/Ccl20/Ptgs2/Csf2/Il1r2/Tnf/Timp1/Icam1/Ccl3/Il1rn/Ccl22/Lif/Cxcl10/Il18/Cd80/Ccl4/Ccr1/Fcer2a/Il12b/Ptafr/Cd86/Ccr5/Ccr2/Tnfrsf1b"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",462,0.424017801959202,1.86976102815486,7.27172249449573e-14,3.46861162987446e-11,2.71426610162967e-11,2165,"tags=23%, list=13%, signal=20%","Cxcl3/Cxcl2/S100a8/S100a9/Cxcl1/Cxcr2/Clec4d/Slpi/Hp/Lcn2/Defa32/Mmp9/Ppbp/Mmp8/Lrg1/Fpr2/Sell/Arg1/Fpr1/Ltf/Mcemp1/Abca13/Tarm1/Gpr84/Defa17/Adam8/Sting1/Olr1/Clec5a/Cd14/Mme/Ttr/Serpina1b/Sirpb1a/Plaur/Bst1/Serpina1e/Stom/Ggh/Chit1/Prss2/Irag2/S100a11/Mmp25/Cxcr1/Cd53/Lyz2/Rab31/Pkp1/Slc11a1/Plau/Tyrobp/Nfam1/Chil1/Tubb5/Rab44/Rnaset2a/Itgav/Ptafr/Hk3/H2-M2/Hexb/Atp8b4/Cd300a/Cd55b/Itgb2/Slco4c1/Fgr/Cyba/Cd33/Gusb/Pgam1/H2-Q7/Mif/Ppia/Tnfrsf1b/Ticam2/Apaf1/C5ar1/Siglece/Defa3/Cybb/Tspan14/Itgax/Lamp2/Prg2/Acpp/Atp6v0c/Defa26/Clec12a/Pglyrp1/Adgre4/Itgal/Nckap1l/Ifi205/Cd44/Glipr1/Hebp2/Mpo/Adam10/Anxa2/Manba/Fcer1g/Cd47/Syngr1"
"WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY","WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY",197,0.536314847778995,2.20653631734381,5.81873130689599e-13,2.31294569449116e-10,1.80993168546081e-10,1415,"tags=25%, list=8%, signal=23%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Cfi/Hp/Il1a/Il1b/Lrg1/Il6/Selp/Ccl2/Nlrp3/Il17a/Alb/Ccl20/Ptgs2/Serpine1/Il1r2/Il33/Tnf/Cd14/Ifitm1/Il18rap/Ccl3/Trf/Ccr6/Ddit4/Ifitm3/C1rb/Ccl22/Cxcl10/Serpina10/Col7a1/Cfh/Il18/Hif1a/Ccl1/Mmp25/Cxcr1/Ccl4/Hrg/Pf4/Nlrp1a/Cxcl9/Cxcl16/Ccr5/Lbp"
"REACTOME_M_PHASE","REACTOME_M_PHASE","REACTOME_M_PHASE",388,0.427966370542391,1.84169234815507,6.23855813844795e-12,2.12556588002834e-09,1.66330279390499e-09,5789,"tags=59%, list=34%, signal=40%","H2ac4/H3c2/Tubb2b/H4c18/H3c10/H2ac13/H2bc3/Tuba1b/H3c8/Tubb5/H2az1/H3c7/Psma8/Ninl/Rcc2/Cenpm/Ncapg2/Cep72/Ran/Tuba1c/H3c3/Mastl/Cep78/Kif20a/Haus6/H3c11/Cenps/H2bc7/H2aj/Ccnb1/H4c12/Tubb4a/H3f3a/H3c1/Kntc1/Tubg1/Nup188/Ncaph/Mad1l1/Lmnb1/Nup107/H2bc8/Ncapg/Tnpo1/Tuba1a/Smc2/Tuba8/Cenpp/Cenpi/Ywhag/Tubb6/Bub1b/Nup43/Nup93/Bub1/Nup133/Nup155/B9d2/H3f3b/Ercc6l/Tuba4a/Ccp110/Aurkb/Kif18a/Nup62/Tubb1/Clasp1/Cdc20/Psmb5/Ube2e1/Cdca5/Haus4/Csnk1e/Fbxo5/Nup35/Ube2i/Mad2l1/Set/Kif2c/Kif23/Cdca8/Incenp/H2bu1-ps/H4c8/Lmna/Nme7/Nup205/Anapc15/Nsl1/H2ax/Prkar2b/Ndc80/Rcc1/Cdk1/Cenph/Mcph1/H4c1/Tmpo/Anapc4/Ppp2r1b/Plk4/Anapc7/Xpo1/Espl1/Bub3/Nedd1/Psmd1/Nup54/Dsn1/Spdl1/H2ac10/Nudc/Nek7/Psma7/Nup85/Ska1/Ncapd3/Nup153/Ncapd2/Aaas/Kpnb1/Psma1/Ssna1/Psmb7/Nup37/Cdc23/Nup160/Vrk1/Mzt1/Ppp1cc/Psmb9/Nuf2/Haus2/Ndc1/H2az2/Haus7/Cenpk/Nde1/Cep192/Zwilch/Psmd2/Haus3/Nup214/Psmd14/H2bc14/Seh1l/Knl1/Emd/Cdc27/Eml4/Psmb3/Cep290/Rae1/Hsp90aa1/Anapc10/Tubgcp2/Cep76/Dctn3/Cdc16/Tpr/Ppp2cb/Psmb6/Sgo2a/Lemd3/Ckap5/Ubb/Nup210/Psmd7/Ube2d1/Psma5/Ube2c/Cenpt/Cep57/Sgo1/Csnk1d/Tubb4b/Psmd13/Anapc16/Ccnb2/Dynll1/Cep135/Ofd1/Ube2s/Cenpn/Psmd6/Cenpf/Rangap1/Psmc3/Spc24/Cdk5rap2/Psme4/Spc25/H4c6/Psmd3/Psmb4/Ska2/Mapre1/Cenpl/H4c11/Smc4/Spast/Cenpq/Psmd9/Cetn2/Odf2/Chmp4b/Tubgcp5/Psmc2/Nup50/Haus1/Cenpe/Psma3/Sdccag8/Psmc5/Haus8/Cep43/Smc3/Psmd12/Psme3/Ppp2r2a/Psma2/Nek2/Ywhae/Nupl1/Pds5b/Psmd4/Stag1/Cenpj/Chmp2b"
"WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS","WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS",83,0.68338050925961,2.45435055572219,1.6879289488169e-11,5.0321381786604e-09,3.93776056085838e-09,1583,"tags=53%, list=9%, signal=48%","Cxcl5/Cxcl3/Cxcl2/Cxcl1/Osm/Mmp3/Il11/Csf3/Spp1/Il23a/Il1a/Il1b/Il36g/Mmp9/Ppbp/Il6/Ccl2/Il17c/Il17a/Ccl20/Ccl7/Csf2/Ccl17/Il17f/Ccl24/Il33/Tnf/Ccl3/Il1rn/Ccl22/Lif/Cxcl10/Il18/Ccl1/Ccl4/Il36a/Il12b/Il24/Pf4/Cxcl9/Areg/Cxcl16/Il27/Tgfb1"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",109,0.623159254530605,2.319134787229,2.09859907751358e-11,5.56128755541099e-09,4.35183177126501e-09,2225,"tags=45%, list=13%, signal=39%","Osm/Mmp3/Il23a/Il1a/Lcn2/Il1b/Mmp9/Il6/Ccl2/Muc1/Il17a/Ptgs2/Il17f/Nos2/Tnf/Timp1/Icam1/Ighe/Hmox1/Hgf/Anxa1/Alox15/Ccl22/Lif/Socs3/Ighg2c/Il18/Hif1a/Il13ra2/Fscn1/Lama5/Fcer2a/Il12b/Ccnd1/Itgb2/Il23r/Lbp/Tnfrsf1b/Tgfb1/S1pr1/F13a1/Itgax/Batf/Fn1/Ighg2b/Jak3/Myc/Il4ra/Cebpd"
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",72,0.69368666682756,2.43293192332581,4.73950908608197e-11,1.02761174275505e-08,8.04129149246252e-09,1491,"tags=42%, list=9%, signal=38%","Krt36/Krt15/Casp14/Krt6a/Krt14/Krt16/Krt13/Krt35/Tgm1/Dsg4/Krt4/Krt6b/Krt32/Krt23/Tgm5/Lor/Krt34/Spink5/Krt17/Lipk/Dsc3/Krt75/Dsg3/Pkp1/Tchh/Krt39/Krt83/Pcsk6/Krt7/Ppl"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",196,0.505123959988836,2.07595985080939,4.47023124559329e-11,1.02761174275505e-08,8.04129149246252e-09,5088,"tags=61%, list=29%, signal=44%","Nhp2/Rpl27/Fbl/Rpl15/Rcl1/Snu13/Rps6/Noc4l/Rpl39l/Trmt112/Nip7/Las1l/Rpl23a/Ncl/Rps2/Utp18/Gar1/Utp4/Ddx21/Rplp0/Rpl10a/Pes1/Ftsj3/Wdr3/Ltv1/Csnk1e/Tex10/Rpl34/Rps23/Xrn2/Dkc1/Wdr46/Wdr12/Rpl27a/Rpl3/Dimt1/Wdr43/Rpl13/Pdcd11/Bop1/Heatr1/Riok2/Pwp2/Rps12/Nop56/Prorp/Nol11/Rps15a/Nop2/Thumpd1/Rpl36/Rrp9/Rpp40/Bysl/Rpsa/Rpl6/Utp15/Rpl31/Rpp38/Wdr75/Rps16/Rps9/Wdr18/Nop14/Imp3/Rpl10/Pno1/Tsr1/Exosc2/Rbm28/Exosc3/Rpp25/Nop10/Rpl35a/Nob1/Rpl30/Exosc8/Eri1/Rps18/Rpl7/Ebna1bp2/Rpl5/Rpl12/Utp3/Dhx37/Rps14/Rps20/Tbl3/Exosc1/Bms1/Dis3/Ddx49/Pelp1/Utp6/Rpl37/Exosc7/Rrp1/Rpl11/Mtrex/Rps3/Rps3a1/Exosc5/Exosc4/Rpl26/Rpl29/Csnk1d/Tsr3/Rpl8/Utp25/Nop58/Isg20l2/Rpl39/Utp14a/Krr1/Rps7/Rpl9/Nol9/Rps5/Rpl32/Rpl36a"
