"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",127,0.774118513821189,2.7051523532941,5.49374279593764e-24,8.5247335501162e-21,7.78530078871151e-21,1483,"tags=52%, list=9%, signal=48%","Igkv14-130/Cd19/Igkv11-125/Igkv8-28/Sh2d1a/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Siglecg/Igkv2-109/Cd8a/H2-Q7/Iglc3/Cd8b1/Cd22/Iglc1/Klrb1a/Igkv13-84/Igkv1-88/Ighv5-9/Cd40lg/Cd226/Igkv1-135/Slamf6/Klrd1/Igkv14-111/B2m/Cd3e/Igkv17-127/Igkv14-126/H2-M2/H2-Q2/H2-Q1/Klrg1/Cd3g/Cd300e/Igkv12-44/Cd247/Slamf7/Crtam/Igkv9-120/Itgb7/Cd3d/Klrk1/Treml2/Siglecf/Igkv14-100/H2-D1/H2-T23/Cd96/Cd160/Igkv17-121/Igkv1-117/Clec2h/Igkv8-21/Treml4/H2-M3/C3/Pianp/H2-Q10/Ighv1-84"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",139,0.761255121823797,2.69661961808014,7.21212652294094e-24,8.5247335501162e-21,7.78530078871151e-21,1151,"tags=27%, list=7%, signal=26%","Igkv14-130/Ighm/Cd19/Igkv11-125/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Cd79a/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Cd79b/Igkv2-109/Iglc3/Blk/Cd22/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Psmb8/Psmb9/Igkv14-111/Igkv17-127/Igkv14-126/Igkv12-44/Igkv9-120/Igkv14-100/Btk/Psmb10/Igkv17-121/Igkv1-117/Igkv8-21/Prkcb"
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING","REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",160,0.705827086248344,2.52979565135809,7.82640492031993e-20,6.16720707721211e-17,5.63226543564077e-17,1521,"tags=27%, list=9%, signal=25%","Igkv14-130/Igkv11-125/Ighe/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Psmb8/Psmb9/Igkv14-111/Grap2/Igkv17-127/Igkv14-126/Lat/Ms4a2/Igkv12-44/Itk/Igkv9-120/Fcer1a/Fos/Igkv14-100/Btk/Psmb10/Igkv17-121/Igkv1-117/Igkv8-21/Lat2/Txk/Ighv1-84/Rasgrp1/Psme2"
"REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION",110,0.765152848086938,2.61444364787547,1.86296139124605e-19,1.10101018222641e-16,1.00550889827517e-16,1112,"tags=30%, list=7%, signal=28%","Igkv14-130/Igkv11-125/Ighe/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Psmb8/Psmb9/Igkv14-111/Igkv17-127/Igkv14-126/Ms4a2/Igkv12-44/Igkv9-120/Fcer1a/Igkv14-100/Psmb10/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION",62,0.846824522191974,2.66065864588833,1.05310145953364e-18,4.97906370067503e-16,4.54718124948103e-16,1112,"tags=53%, list=7%, signal=50%","Igkv14-130/Igkv11-125/Ighe/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Igkv14-111/Grap2/Igkv17-127/Igkv14-126/Lat/Ms4a2/Igkv12-44/Igkv9-120/Fcer1a/Fos/Igkv14-100/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",175,0.677164941362356,2.45746638137626,1.71928521393353e-18,6.77398374289812e-16,6.18641048031171e-16,1847,"tags=37%, list=11%, signal=33%","Ifit3/H2-Aa/H2-Q7/Oas3/Ciita/H2-Ab1/Isg15/H2-Eb1/Mx2/Rsad2/Irf4/Ifit1bl1/Gbp2/Oas2/Irf7/Gbp3/Psmb8/Xaf1/Ifit2/Sp100/Oas1g/B2m/H2-M2/H2-Q2/H2-Q1/Oas1a/Oasl1/Trim38/Gbp8/Bst2/Gbp5/Ube2l6/Ifng/Trim31/Ifi27l2b/Trim34a/Gbp7/H2-D1/H2-T23/Uba7/Stat2/Irf1/Trim5/Usp18/Ifi27/H2-M3/Stat1/Samhd1/Socs1/Rnasel/Trim10/H2-Q10/Isg20/Ptafr/Trim46/Ifi35/Trim12c/Ifi30/Irf5/Trim6/Trim29/Trim21/Ifngr1/Irf9"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",60,0.854188334056568,2.66267585269982,2.35098243159795e-18,7.93960352613936e-16,7.25092476271788e-16,1112,"tags=57%, list=7%, signal=53%","Igkv14-130/Ighm/Cd19/Igkv11-125/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Cd79a/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Cd79b/Igkv2-109/Iglc3/Blk/Cd22/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Igkv12-44/Igkv9-120/Igkv14-100/Btk/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION",61,0.85161747736732,2.65975583978471,2.95958095078855e-18,8.74556170958017e-16,7.98697438166753e-16,1112,"tags=56%, list=7%, signal=52%","Igkv14-130/Igkv11-125/Ighe/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Igkv14-111/Grap2/Igkv17-127/Igkv14-126/Lat/Ms4a2/Igkv12-44/Itk/Igkv9-120/Fcer1a/Igkv14-100/Btk/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",35,0.917365265597628,2.58681599842001,3.08448459496864e-17,8.10191286945096e-15,7.39915544360313e-15,1112,"tags=89%, list=7%, signal=83%","Igkv14-130/Ighm/Igkv11-125/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Cd79a/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Cd79b/Igkv2-109/Iglc3/Cd22/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Igkv12-44/Igkv9-120/Igkv14-100/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION",46,0.87750019521589,2.62507990904181,5.15633367734551e-17,1.21895728132448e-14,1.11322530234059e-14,1112,"tags=65%, list=7%, signal=61%","Igkv14-130/Igkv11-125/Ighe/Igkv8-28/Iglc2/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Ms4a2/Igkv12-44/Igkv9-120/Fcer1a/Igkv14-100/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",57,0.839213432748718,2.57891255271031,1.1536062759102e-16,2.47920476022884e-14,2.26415930324577e-14,1112,"tags=56%, list=7%, signal=53%","Igkv14-130/Igkv11-125/Igkv8-28/Iglc2/Ighg3/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Ighg2c/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Ighg2b/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Cd3g/Igkv12-44/Cd247/Igkv9-120/Igkv14-100/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_PARASITE_INFECTION","REACTOME_PARASITE_INFECTION","REACTOME_PARASITE_INFECTION",90,0.759411950845269,2.51127864449065,4.22660467224285e-16,8.32641120431842e-14,7.60418086207903e-14,1112,"tags=38%, list=7%, signal=35%","Igkv14-130/Igkv11-125/Igkv8-28/Iglc2/Ighg3/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Ighg2c/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Ighg2b/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Cd3g/Igkv12-44/Cd247/Igkv9-120/Igkv14-100/Cyfip2/Btk/Igkv17-121/Igkv1-117/Igkv8-21"
"REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION",44,0.870046690305241,2.57525076867541,9.02979607242342e-16,1.64203368578531e-13,1.49960418984133e-13,1112,"tags=73%, list=7%, signal=68%","Igkv14-130/Igkv11-125/Igkv8-28/Iglc2/Ighg3/Igkv13-85/Igkv1-99/Igkv12-41/Igkv8-27/Igkv12-38/Ighg2c/Igkv1-110/Igkv8-30/Igkv2-109/Iglc3/Iglc1/Igkv13-84/Igkv1-88/Ighv5-9/Ighg2b/Igkv1-135/Igkv14-111/Igkv17-127/Igkv14-126/Cd3g/Igkv12-44/Cd247/Igkv9-120/Igkv14-100/Igkv17-121/Igkv1-117/Igkv8-21"
