"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",196,0.543855552034256,2.32344911613646,1.53495532082935e-14,1.22028948005933e-11,9.5921243031476e-12,5538,"tags=70%, list=32%, signal=48%","Nhp2/Csnk1e/Rpl15/Rpl27/Rcl1/Fbl/Dimt1/Nip7/Rps6/Snu13/Ltv1/Trmt112/Ddx21/Utp18/Noc4l/Ncl/Gar1/Xrn2/Utp4/Rpl10a/Rpl3/Las1l/Riok2/Pes1/Wdr3/Wdr12/Rps2/Wdr43/Nop56/Ftsj3/Rpl23a/Dkc1/Nol11/Tex10/Wdr75/Dis3/Utp15/Rplp0/Prorp/Rpp38/Rpl27a/Rpl34/Tbl3/Rps23/Rpl6/Heatr1/Wdr46/Rpl13/Nop58/Rpl7/Rbm28/Pwp2/Pdcd11/Rpl5/Rpl36/Rps15a/Rps18/Nop14/Nop2/Rps12/Rpsa/Pno1/Eri1/Rps3/Rps9/Exosc8/Rpl10/Bop1/Dhx37/Thumpd1/Rpl12/Rpp25/Rpp40/Rpl31/Pelp1/Exosc1/Mtrex/Gnl3/Wdr18/Bysl/Tsr1/Rps16/Krr1/Rrp9/Utp14a/Rpl35a/Nob1/Rps14/Tsr3/Rpl11/Rrp1/Bms1/Exosc2/Wdr36/Ddx52/Rpl39/Ddx49/Exosc4/Imp3/Rps20/Nop10/Exosc5/Rpl26/Rpl9/Rps7/Utp3/Mphosph10/Isg20l2/Utp25/Rps5/Rpl30/Rpl37/Ebna1bp2/Rpl32/Rpl29/Utp6/Nol9/Riok1/Rpl8/Rpp14/Rpl19/Rpl13a/Rpl17/Exosc3/Rpl4/Rps3a1/Exosc10/Exosc9/Rpl14/Csnk1d/Rps21/Nsun4/Rpl36a/Exosc7/Imp4/Rpp30/Rps11"
"REACTOME_M_PHASE","REACTOME_M_PHASE","REACTOME_M_PHASE",388,0.441372083279256,1.98745325497466,6.58322257609983e-15,1.22028948005933e-11,9.5921243031476e-12,5473,"tags=56%, list=32%, signal=39%","Tubb2b/H2ac4/H3c10/H2ac13/H4c18/Tubb4a/Tubb1/Psma8/Tuba8/Cep72/Tubb5/H3c8/Ninl/Tuba1b/Cep78/H3c3/Haus6/H2az1/Prkar2b/Mastl/Kif20a/Ncapg2/Csnk1e/Rcc2/H2bc3/H3c2/Ran/Kntc1/Ccnb1/Tubb6/H3c7/Cenpm/Bub1/Cenps/Cenpi/Cenpp/H4c1/H3f3a/Tuba1a/Tubg1/Kif18a/Ccp110/H2bc14/Nup188/Zwilch/Mad2l1/Smc2/Bub1b/Ncapg/H3c1/Nup155/Nup133/Tnpo1/Nup107/Ube2e1/Ncaph/Nup43/Tuba1c/H2aj/Clasp1/Lmnb1/Ube2i/Mad1l1/Ercc6l/Nup93/Aurkb/Tmpo/H3c11/H2ac20/Plk4/Haus4/H3f3b/Ywhag/Haus2/B9d2/Set/Anapc15/Cdca5/Nup205/Fbxo5/Anapc4/Mcph1/Kif2c/Cenph/Cep290/Dsn1/H2bc8/Xpo1/Ncapd3/Espl1/Cdk1/Cdc20/Kif23/Nup153/Ndc80/Ska1/Psmd1/Incenp/Cdc23/Psmb5/Spdl1/Mzt1/Tubgcp2/Nedd1/Nde1/Ncapd2/Ofd1/Cdk5rap2/Nuf2/Nup54/Nup37/Nsl1/Nup35/Cep57/Cenpk/Ppp2r1b/Cdca8/Seh1l/Cdc16/Vrk1/Aaas/Sgo1/H4c12/Lemd3/Nup62/Nup85/Rcc1/Nup160/Cep135/Cep192/Psma7/Cdc27/Nup214/Kpnb1/Anapc7/Ndc1/Bub3/Cep76/Psmd14/Knl1/Cenpn/Ssna1/Emd/Nup210/Psmb7/H2az2/Nme7/Cenpq/Ppp1cc/Nudc/Haus3/Tubgcp5/Sgo2a/Pds5b/Ckap5/Alms1/Ska2/Anapc16/Cenpt/Anapc10/Ppp2cb/Ccnb2/H2ax/Haus1/Smc4/Psme4/Rae1/Ube2d1/Psma1/Odf2/Tuba4a/Cenpu/Hsp90aa1/Psmd2/Cetn2/Psmd7/Psma3/Haus7/Ube2s/Psmd12/Psmd6/Cenpf/Mapre1/Arpp19/Cep70/Psmd3/Spast/Psmb6/Cenpl/Spc24/Tpr/Psma5/Cep43/Cep41/Rangap1/Stag1/Smc3/Ubb/Psmc6/Anapc1/Tubb2a/Eml4/Ankle2/Psme3/Csnk1d/H4c6/Ube2c/Cenpa/Cenpe/Psmb3/Nupl1/Pcm1/Ranbp2/Nup98/Lpin1/Nup88/Clasp2"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",375,-0.537365762915607,-1.91382502625157,1.47927123715236e-14,1.22028948005933e-11,9.5921243031476e-12,2270,"tags=32%, list=13%, signal=28%","Syn2/Kcnab1/Slc1a1/Slc6a11/Chrna1/Grin2b/Lrrtm1/Hcn4/Cacna1b/Slitrk2/Kcnk6/Ache/Tubb3/Kcnmb3/Kcnmb1/Apba1/Shank1/Hcn2/Prkca/Hcn1/Dlgap3/Gng4/Lrrc7/Syn1/Abat/Syt7/Kcnj3/Kcnc1/Ppfia2/Prkaa2/Chrna7/Chrna4/Kcnk4/Kcna5/Maoa/Kcnma1/Gabrq/Begain/Gabrg3/Lin7b/Actn2/Cacng2/Cacna2d2/Kcnj11/Gjd2/Chrna6/Kcnq2/Tubal3/Slitrk4/Cacna2d3/Kcnk2/Slc1a3/Gabrb3/Kcnn3/Rasgrf2/Snap25/Lrfn2/Gabrg2/Chrna9/Nlgn3/Kcnf1/Kcnh3/Syt2/Ppfia3/Chrnb4/Kcnk9/Grik3/Gnat3/Kcnb1/Lrrc4b/Kcnj5/Gria4/Syt9/Gng3/Gabra3/Lrrtm3/Nrxn2/Htr3b/Kcng4/Bche/Ppm1e/Ntrk3/Gria2/Abcc8/Glrb/Kcnk3/Cacna1e/Slc18a3/Gabrr2/Cplx1/Nlgn1/Adcy5/Kcnc2/Kcna6/Kcnd2/Kcnd3/Chrna5/Dlg2/Slitrk5/Cacnb2/Grik1/Slitrk3/Nefl/Syt10/Grik2/Slitrk1/Kcna1/Chat/Kcng1/Kcnq3/Dlgap2/Kcnj12/Slc5a7/Gria1/Rims1/Grin3a/Kcna2/Htr3a/Chrna3"
"REACTOME_MITOTIC_PROMETAPHASE","REACTOME_MITOTIC_PROMETAPHASE","REACTOME_MITOTIC_PROMETAPHASE",196,0.524339546636208,2.24007321729163,4.4887493548216e-13,2.67641680281238e-10,2.10380594761507e-10,5473,"tags=62%, list=32%, signal=43%","Tubb2b/Tubb4a/Tubb1/Tuba8/Cep72/Tubb5/Ninl/Tuba1b/Cep78/Haus6/Prkar2b/Csnk1e/Rcc2/Kntc1/Ccnb1/Tubb6/Cenpm/Bub1/Cenps/Cenpi/Cenpp/Tuba1a/Tubg1/Kif18a/Ccp110/Zwilch/Mad2l1/Smc2/Bub1b/Ncapg/Nup133/Nup107/Ncaph/Nup43/Tuba1c/Clasp1/Mad1l1/Ercc6l/Aurkb/Plk4/Haus4/Ywhag/Haus2/B9d2/Cdca5/Kif2c/Cenph/Cep290/Dsn1/Xpo1/Cdk1/Cdc20/Ndc80/Ska1/Incenp/Spdl1/Mzt1/Tubgcp2/Nedd1/Nde1/Ncapd2/Ofd1/Cdk5rap2/Nuf2/Nup37/Nsl1/Cep57/Cenpk/Ppp2r1b/Cdca8/Seh1l/Sgo1/Nup85/Nup160/Cep135/Cep192/Bub3/Cep76/Knl1/Cenpn/Ssna1/Nme7/Cenpq/Ppp1cc/Nudc/Haus3/Tubgcp5/Sgo2a/Pds5b/Ckap5/Alms1/Ska2/Cenpt/Ppp2cb/Ccnb2/Haus1/Smc4/Odf2/Tuba4a/Cenpu/Hsp90aa1/Cetn2/Haus7/Cenpf/Mapre1/Cep70/Cenpl/Spc24/Cep43/Cep41/Rangap1/Stag1/Smc3/Tubb2a/Eml4/Csnk1d/Cenpa/Cenpe/Pcm1/Ranbp2/Nup98/Clasp2"
"REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS",279,0.46210913283378,2.02224467261397,1.15826208239409e-12,5.52491013301983e-10,4.34287319735554e-10,6267,"tags=69%, list=36%, signal=45%","Cdkn2a/H4c18/Psma8/Mcm2/Rcc2/H2bc3/Ywhaq/Clspn/Kntc1/Blm/Mcm8/Ccnb1/Mcm3/Cenpm/Mcm7/Bub1/Cenps/Cenpi/Cenpp/Mcm5/H4c1/Ube2v2/Rfc3/Kif18a/Mcm4/H2bc14/Zwilch/Mad2l1/Bub1b/Exo1/Nup133/Nup107/Ube2e1/Bard1/Cdc6/Dna2/Nup43/Cdc45/Clasp1/Ccne1/Mad1l1/Ercc6l/Aurkb/Topbp1/Orc2/Brca1/Ywhag/Chek1/B9d2/Anapc15/Brip1/Anapc4/Kif2c/Cenph/Dbf4/Dsn1/H2bc8/Xpo1/Gtse1/Mcm6/Trp53bp1/Trp53/Top3a/Cdk1/Cdc20/Hus1/Atm/Ndc80/Ska1/Psmd1/Incenp/Cdc23/Psmb5/Spdl1/Orc6/Nde1/Atr/Nuf2/Phf20/Nup37/Nsl1/Rpa1/Cenpk/Ppp2r1b/Cdca8/Seh1l/Cdc16/Sgo1/Nsd2/H4c12/Nup85/Ccna2/Rpa3/Nup160/Psma7/Rfc4/Mre11a/Cdc27/Rfc5/Anapc7/Bub3/Psmd14/Knl1/Cenpn/Ccne2/Psmb7/Mdc1/Cenpq/Ppp1cc/Orc4/Rpa2/Nudc/Sgo2a/Ckap5/Ska2/Ube2n/Anapc16/Cenpt/Anapc10/Ppp2cb/Ywhah/Ccnb2/H2ax/Psme4/Ube2d1/Psma1/Cenpu/Psmd2/Atrip/Psmd7/Psma3/Kat5/Rad50/Ube2s/Psmd12/Psmd6/Cenpf/Mapre1/Psmd3/Psmb6/Cenpl/Spc24/Psma5/Mcm10/Rangap1/Orc5/Pcbp4/Ubb/Psmc6/Anapc1/Psme3/H4c6/Ube2c/Cenpa/Cenpe/Rad9b/Psmb3/Rbbp8/Ranbp2/Nup98/Clasp2/H2bu1-ps/Ywhae/Rad17/Orc1/Psmc4/Psmc2/Psmd13/Rad1/Psmc3/Psmc5/Chek2/Taok1/Ywhaz/Psma6/H4c4/Cenpo/Rhno1/Spc25/Cdc25c/Anapc5/Psmb4/Psma2/Psmd4/Cdk2/Rps27a/Uba52/Ccna1/Cdc26/Psmc1/Wee1/Psmd9/Cenpc1"
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",238,0.487321602103777,2.09159359564128,1.43616741142401e-12,5.70876546041042e-10,4.48739326271255e-10,6440,"tags=70%, list=37%, signal=44%","Elavl2/Snrpf/Hnrnpa1/Lsm7/Hnrnpf/Nup188/Nup155/Nup133/Nup107/Snu13/Prpf19/Hnrnpa3/Nudt21/Nup43/Nxt1/Nup93/Sf3b4/Eif4e/Eftud2/Snrpg/Prpf31/Nup205/Dhx15/Hnrnpr/Dhx9/Snrpe/Lsm5/Lsm8/Ptbp1/Prpf4/Usp39/Nup153/Magoh/Snrpd1/Polr2g/Fyttd1/U2af2/Snrpd3/Hnrnpa0/Thoc3/Polr2d/Nup54/Polr2b/Nup37/Ppil1/Snrnp40/Sf3a3/Cstf2/Nup35/Sf3b5/Hnrnph2/Rnps1/Polr2l/Seh1l/Prpf40a/Aaas/Sf3b3/Cpsf2/Fus/Ddx39a/Nup62/Nup85/Nup160/Aqr/Nup214/Snrnp35/Ndc1/Srsf10/Tra2b/Polr2a/Nup210/Mtrex/Bcas2/Eif4a3/Hnrnpu/Ctnnbl1/Srsf3/Ncbp1/Wbp11/Snrpc/Hnrnpk/Snrpb/Dhx38/Alyref/Cwc22/Ppie/U2af1/Hnrnpm/Thoc6/Srsf7/Srsf4/Snrnp200/Rae1/Thoc2/Ncbp2/Plrg1/Gtf2f2/Snrpd2/Sympk/Snrpb2/Lsm6/Srsf1/Rnpc3/Polr2e/Tpr/Hnrnpc/Prpf6/Cherp/Pcbp1/Srsf9/Lsm2/Lsm4/Chtop/Sf3a1/Ddx46/Ccar1/Prpf8/Fip1l1/Cdc40/Cpsf1/Polr2k/Clp1/Lsm3/Rbm17/Hspa8/Smndc1/Nupl1/Puf60/Ranbp2/Nup98/Nup88/Hnrnpa2b1/Ddx42/Polr2j/Cstf1/Sarnp/Gpkow/Ppih/Dnajc8/Srsf2/Gcfc2/Snw1/Elavl1/Mettl14/Dhx16/Pom121/Polr2c/Magohb/Hnrnph1/Wdr33/Polr2h/Gtf2f1/Gle1/Ddx23/Cpsf4/Hnrnpl/Papola/Srsf11/Srsf6/Ddx5/Wtap/Pcbp2/Rbm22/Cstf3/Ddx39b/Xab2"
"WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING",32,0.835263430182311,2.59572692260104,5.51789339000854e-11,1.88002510502434e-08,1.47779971843687e-08,517,"tags=38%, list=3%, signal=36%","Cxcl1/Il1a/Mmp9/Il1b/Mmp3/Sele/Csf2/Tnf/Ptgs2/Il6/Bcl2a1a/Icam1"
"REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR",315,0.419571227086544,1.84586271479734,1.51606123789396e-10,4.51975756547135e-08,3.55276982195939e-08,5462,"tags=50%, list=32%, signal=35%","H2ac4/H2ac13/H4c18/Sumo2/Fen1/Eya2/Pole/Hmgn1/Rad18/H2az1/Tdg/Apex1/H2bc3/Clspn/Blm/Fancd2/Fanci/Parp1/Ruvbl1/Actl6a/Cenps/H4c1/Dtl/Mad2l2/Brca2/Ube2v2/Rfc3/Timeless/Poln/H2bc14/Pcna/Exo1/Fancm/Rad51/Bard1/Pole2/Msh2/Prpf19/Eme1/Dna2/H2aj/Chd1l/Fanca/Pclaf/Ube2i/Rif1/Rad51ap1/H2ac20/Xrcc5/Topbp1/Ube2t/Rad23b/Brca1/Lig3/Chek1/Brip1/Spidr/Gps1/H2bc8/Neil2/Msh6/Trp53bp1/Trp53/Tipin/Top3a/Hus1/Atm/Rnf111/Polr2g/Fancb/Polr2d/Atr/Gtf2h5/Polr2b/Rpa1/Ascc3/Ppp4r2/Rfc1/Polr2l/Mnat1/Poli/Mapk8/Nsd2/Ogg1/H4c12/Rev1/Tdp1/Polq/Rev3l/Vcp/Ccna2/Rpa3/Aqr/Rfc4/Mre11a/Lig1/Rfc5/Palb2/Cops2/Pot1a/Polr2a/Ddb1/Xrcc2/Pold1/Usp10/Smarca5/H2az2/Terf1/Mdc1/Rpa2/Faap100/Nthl1/Xrcc6/Ube2n/Fan1/Paxip1/Parg/Ppie/Nfrkb/H2ax/Xpc/Kdm4a/Cul4b/Cetn2/Atrip/Pms2/Sirt6/Tcea1/Cdk7/Kat5/Fto/Rad50/Usp1/Gtf2h2/Rad51b/Pole4/Cops5/Polr2e/Cul4a/Gtf2h3/Rnf4/Smug1/Ercc3/Ubb/Mutyh/Ccnh/Ascc1/Polr2k/Polh/H4c6/Alkbh2/Adprs/Pole3/Fance/Rad9b/Slx4/Mbd4/Rbbp8/Ino80c"
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",72,0.666881610914939,2.43849436887382,1.92932654189037e-10,5.11271533600948e-08,4.01886616503713e-08,1636,"tags=43%, list=9%, signal=39%","Krt36/Krt6a/Krt4/Casp14/Krt35/Krt16/Tgm1/Dsg4/Krt14/Ivl/Krt13/Krt34/Krt23/Krt15/Krt32/Krt17/Krt75/Krt39/Dsc3/Tgm5/Krt6b/Lor/Pkp1/Krt33b/Ppl/Krt7/Pcsk6/Tchh/Lipk/Krt83/Krt86"
"REACTOME_TRNA_PROCESSING","REACTOME_TRNA_PROCESSING","REACTOME_TRNA_PROCESSING",104,0.60046623674532,2.30680570340156,2.41226335848931e-10,5.75324810999701e-08,4.52235899102049e-08,5507,"tags=69%, list=32%, signal=47%","Trdmt1/Trmt9b/Qtrt1/Ran/Trmt10a/Trmt6/Nup188/Nup155/Nup133/Nup107/Trit1/Nup43/Xpot/Trmt112/Adat2/Nup93/Thada/Nup205/Tsen2/Prorp/Rpp38/Nup153/Nsun2/Nup54/Nup37/Thg1l/Pus7/Cstf2/Nup35/Seh1l/Aaas/Pop1/Trmt61a/Nup62/Nup85/Nup160/Dus2/Ctu2/Nup214/Ndc1/Rpp25/Alkbh8/Pop4/Rpp40/Nup210/Tsen34/Wdr4/AI597479/Lcmt2/Fam98b/Pus1/Cdkal1/Rae1/Tyw1/Eprs/Lage3/Tsen15/Ftsj1/Tpr/Rpp14/Qtrt2/Osgep/Trnt1/Trmt5/Cpsf1/Clp1/Nupl1/Ranbp2/Nup98/Nup88/Rtcb/Rpp30"
