"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_TRANSLATION","REACTOME_TRANSLATION","REACTOME_TRANSLATION",285,0.577212397961858,2.42661128953495,1.3874967565355e-20,3.25229239731922e-17,2.81296710851303e-17,5841,"tags=80%, list=37%, signal=51%","Rps10/Rpl13a/Rpl36al/Chchd1/Uba52/N6amt1/Gadd45gip1/Eef1e1/Rpl35/Rpl17/Rps18/Tars2/Eif4a2/Rps19/Sec11c/Yars2/Rps24/Sec61g/Rpl22l1/Mrpl13/Rps3/Rpl9/Rpl14/Cars/Rps16/Ssr4/Ptcd3/Eef1g/Mrpl32/Mrpl28/Rps25/Mrps10/Rpl35a/Rpl36/Rps14/Rpl24/Mrpl57/Rps8/Rpl5/Mrpl38/Mrpl3/Rpl19/Eif3j1/Sec61a2/Rps12/Mrpl11/Mrpl15/Spcs2/Rpl12/Cars2/Mars1/Rps9/Eif4ebp1/Rpl38/Trmt112/Aimp2/Rps15/Gars/Rpl10a/Mrps18a/Eif2s1/Rps27/Rpl32/Rps11/Rps5/Eef1d/Wars2/Rpl34/Sars2/Rpl13/Rps21/Rps13/Mrps35/Mtif2/Srp14/Mrpl46/Rps2/Rps27l/Ears2/Rpl15/Mrpl21/Dars/Rpl10/Mrpl33/Rpl6/Mrpl37/Rpl27a/Fau/Rpl7/Rpl3/Eif3i/Mrpl58/Mrpl16/Rps26/Vars/Mrps28/Eif2b5/Ddost/Mrps27/Rpl11/Rps15a/Ssr2/Rpl26/Eif2b1/Rpl39/Spcs3/Mrpl54/Rpl27/Pars2/Rpl7a/Mrps5/Mrpl24/Mrpl50/Rpsa/Rps7/Eif4a1/Mrps11/Rps28/Rps20/Mrps14/Pabpc1/Mrpl17/Mrpl1/Mrps25/Dars2/Eif3m/Rpl37/Rpl29/Eif4e/Rpl37a/Eef1b2/Mrpl19/Farsa/Rpl18/Mrps17/Mrpl23/Mrpl22/Rpl28/Rplp2/Ssr1/Eef1a1/Rps4x/Farsb/Mrpl14/Srprb/Mrpl4/Eif3h/Mrpl41/Rpl8/Gspt1/Ssr3/Rps23/Rpl23a/Rplp0/Mrps31/Sec11a/Aimp1/Rps6/Mrps7/Rpn1/Srpr/Vars2/Dap3/Eif1ax/Eif3f/Srp54a/Mrps30/Eif3d/Mrps24/Mrps26/Eif3k/Rps27a/Tram1/Mrpl12/Mrps15/Eif5/Rpl18a/Rpl31/Mrps18b/Eif3b/Eif3g/Sars/Mrps16/Mrpl40/Mrpl39/Rpl22/Mrpl18/Hars2/Mrps22/Mrpl2/Mrps33/Rpl36a/Eif3e/Mrpl43/Sec61a1/Rps17/Lars/Mrpl44/Mrpl34/Eif2b3/Mrpl52/Mrpl10/Sec61b/Rpn2/Tsfm/Mrpl36/Tars/Rpl23/Mrps9/Hars/Rpl4/Eif3l/Rps29/Mrps36/Mrrf/Rplp1/Srp19/Mrps21/Eif2s3x/Mrpl30/Aars2/Eif2b2/Aurkaip1/Rps3a1/Nars2/Mrps12/Mrpl47"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",194,0.592067980718583,2.41625702062722,7.81796501261524e-16,9.16265499478506e-13,7.92494769173524e-13,4974,"tags=72%, list=31%, signal=50%","Rps10/Rpl13a/Rpl36al/Uba52/Exosc8/Gnl3/Dimt1/Rpl35/Rpl17/Rps18/Nhp2/Nop56/Rps19/Rps24/Wdr12/Rpp38/Rpp25/Rpl22l1/Rps3/Rpl9/Rpp30/Rpl14/Emg1/Prorp/Rps16/Rps25/Rpl35a/Rpl36/Rps14/Rpl24/Fbl/Rps8/Rpl5/Rpl19/Rps12/Mphosph6/Nip7/Rpl12/Rps9/Rpl38/Trmt112/Rrp9/Rpp14/Rps15/Rpp40/Rpl10a/Rps27/Rpl32/Exosc1/Rps11/Gar1/Nat10/Rps5/Rcl1/Dkc1/Rpl34/Exosc10/Tfb1m/Rpp21/Rpl13/Rps21/Rps13/Nop10/Rps2/Rps27l/Rpl15/Rpl10/Exosc5/Rpl6/Csnk1e/Mphosph10/Trmt10c/Rpl27a/Fau/Wdr36/Ebna1bp2/Ltv1/Rpl7/Rpl3/Dis3/Rps26/Wdr75/Riok2/Nop58/Rpl11/Rps15a/Rpl26/Rpl39/Exosc7/Noc4l/Utp14a/Wdr18/Pno1/Las1l/Rpl27/Rpl7a/Eri1/Snu13/Utp15/Rpsa/Rps7/Rps28/Rps20/Wdr43/Tsr3/Imp4/Rpl37/Rpl29/Rpl37a/Krr1/Rpl18/Nol11/Rpl28/Nob1/Rplp2/Rps4x/Nol12/Rpl8/Tbl3/Rps23/Senp3/Rpl23a/Bop1/Exosc2/Rplp0/Fcf1/Rps6/Bud23/Rps27a/Nsun4/Rpl18a/Rpl31/Ddx52/Hsd17b10/Utp18/Ncl/Rpl22/Rpl36a/Rbm28/Nop14"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",270,-0.60411054222881,-2.06993653236562,7.24196971391059e-15,5.65839233646881e-12,4.89404690140063e-12,2706,"tags=50%, list=17%, signal=42%","Capn5/Itgb4/Bmp4/Itga3/Itgb7/Sh3pxd2a/Adamts5/Matn4/Itga4/Tgfb2/Jam2/Lox/Itga5/Sdc3/P3h1/Musk/Plod1/Adam19/Jam3/Sdc2/Itgb8/Prkca/Cma1/Col8a1/Adam12/Comp/Plod2/Scube1/Col16a1/Vwf/Col5a3/Col11a1/Itgb3/Vtn/Lama3/Itga9/Ncan/Itga11/Itga1/Itgb5/Loxl4/Lamc1/Serpinh1/Capn8/Fmod/Ctss/Adamts14/Tnc/P3h3/Scube3/Vcam1/Adamts3/Col4a5/Fbln5/Adamts4/Ctsk/Ltbp1/Dst/Col4a1/Icam2/Col22a1/Loxl2/Col4a2/Pecam1/Nid1/Sparc/Lamb1/Klk1b5/Mmp17/Lama1/Hspg2/Col12a1/Kdr/Ibsp/Col10a1/Col18a1/Loxl1/Emilin1/Dcn/P3h2/Bgn/Col24a1/Loxl3/Capn6/Lama4/Col13a1/Plec/Tll1/Itgad/Col5a2/Ltbp2/Col4a6/Col15a1/Pcolce/Spock3/Mmp2/Klk1/Nid2/Aspn/Adamts2/Capn9/Col7a1/Mfap2/Itga8/Eln/Col6a1/Colgalt2/Col17a1/P4ha3/Lama2/Col6a2/Capn13/Fbln2/Ddr2/Fbn1/Col5a1/Col3a1/Col1a1/Vcan/Tnxb/Col1a2/Fbn2/Col6a3/Emilin3/Tnn/Efemp1/Mfap5/Mfap4/Lamc3/Mmp16/Lum/Ncam1/Col6a5/Hapln1"
"REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS","REACTOME_CELL_CYCLE_CHECKPOINTS",275,0.499583252780367,2.10942929445118,6.99055853909547e-13,4.09646730390995e-10,3.54310940692049e-10,5283,"tags=62%, list=33%, signal=42%","Ccna1/H4c14/H4c16/H4c1/Cenpk/Rmi2/H2bu1-ps/Rad9b/Cenpq/Ska1/Pkmyt1/H4c4/Mcm8/Zwilch/H4c18/Rpa3/Uba52/Cenpi/Nup37/Orc4/Nup85/Dna2/Nuf2/Mcm10/Cenpa/Cenpn/Cenpt/Spc24/Kif18a/Cenpu/Cdkn2a/Sgo1/Mcm6/Dbf4/Cdc6/Wee1/Chek1/Cdc45/Cdk2/Psmd14/Anapc15/Psma3/Spdl1/Cenpl/Cenph/Cdc26/Psmb8/Cenpm/Aurkb/Cenps/Cdk1/Rfc5/Mdm4/Orc6/Psma7/Dsn1/Brip1/Psmb5/Nup133/Rad1/Mcm7/Brcc3/H2bc21/Nde1/Ccne1/Rfc3/Mad2l1/Rps27/Pmf1/Bub1/Mcm3/Bard1/Mcm5/Abraxas1/Brca1/Blm/Psmc4/Mcm4/Cdc25c/Ywhaq/Ube2s/Birc5/Exo1/Xpo1/Topbp1/Rpa2/Ube2c/Ccnb1/Ndc80/Kat5/Ube2e1/Ube2v2/Rfc4/Nsd2/Nbn/Nudc/Psme2/Gtse1/Top3a/Psmc6/Kif2c/Rhno1/Cdc16/Psma6/Mdm2/Nup43/Sec13/Psmb4/Rfc2/Cdca8/Ccna2/H2ax/Psma5/Psmd8/Chek2/Nup107/Ercc6l/Spc25/Seh1l/Mcm2/Plk1/Psmd7/Psmb6/Psmd10/Trp53/Psmb2/Rnf8/Psmd12/Anapc11/Psmb7/Kntc1/Psme1/Zwint/Ywhae/Ube2n/Ska2/Psmb3/Sgo2a/Clspn/Knl1/Psmd6/B9d2/Rps27a/Psmd4/Mre11a/Anapc16/Cdc20/Psmc3/Psmc2/Psma1/Psmb1/Psmc5/Anapc5/Cenpo/Cenpc1/H4c12/Anapc4/Psmd11/Psma2/Psmd3/Ccnb2/Nsl1/Sumo1/Cdc23/Bub3/Rbbp8/Cdc25a/Rad17/Cenpe/Ppp1cc/Orc2"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",114,0.630046619766147,2.3588971133107,1.69277617206907e-11,7.93573469465981e-09,6.86376191032638e-09,4942,"tags=82%, list=31%, signal=56%","Rps10/Rpl13a/Rpl36al/Uba52/Rpl35/Rpl17/Rps18/Eif4a2/Rps19/Rps24/Rpl22l1/Rps3/Rpl9/Rpl14/Rps16/Rps25/Rpl35a/Rpl36/Rps14/Rpl24/Rps8/Rpl5/Rpl19/Eif3j1/Rps12/Rpl12/Rps9/Eif4ebp1/Rpl38/Rps15/Rpl10a/Eif2s1/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Rps2/Rps27l/Rpl15/Rpl10/Rpl6/Rpl27a/Fau/Rpl7/Rpl3/Eif3i/Rps26/Eif2b5/Rpl11/Rps15a/Rpl26/Eif2b1/Rpl39/Rpl27/Rpl7a/Rpsa/Rps7/Eif4a1/Rps28/Rps20/Pabpc1/Eif3m/Rpl37/Rpl29/Eif4e/Rpl37a/Rpl18/Rpl28/Rplp2/Rps4x/Eif3h/Rpl8/Rps23/Rpl23a/Rplp0/Rps6/Eif1ax/Eif3f/Eif3d/Eif3k/Rps27a/Eif5/Rpl18a/Rpl31/Eif3b/Eif3g/Rpl22/Rpl36a/Eif3e"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",106,0.640208061765313,2.37253318426621,5.01798822762331e-11,1.96036073425817e-08,1.69555181164956e-08,4618,"tags=83%, list=29%, signal=59%","Rps10/Rpl13a/Rpl36al/Uba52/Rpl35/Rpl17/Rps18/Rps19/Sec11c/Rps24/Sec61g/Rpl22l1/Rps3/Rpl9/Rpl14/Rps16/Ssr4/Rps25/Rpl35a/Rpl36/Rps14/Rpl24/Rps8/Rpl5/Rpl19/Sec61a2/Rps12/Spcs2/Rpl12/Rps9/Rpl38/Rps15/Rpl10a/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Srp14/Rps2/Rps27l/Rpl15/Rpl10/Rpl6/Rpl27a/Fau/Rpl7/Rpl3/Rps26/Ddost/Rpl11/Rps15a/Ssr2/Rpl26/Rpl39/Spcs3/Rpl27/Rpl7a/Rpsa/Rps7/Rps28/Rps20/Rpl37/Rpl29/Rpl37a/Rpl18/Rpl28/Rplp2/Ssr1/Rps4x/Srprb/Rpl8/Ssr3/Rps23/Rpl23a/Rplp0/Sec11a/Rps6/Rpn1/Srpr/Srp54a/Rps27a/Tram1/Rpl18a/Rpl31"
"REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR","REACTOME_DNA_REPAIR",310,0.445205531479986,1.89562189241713,1.9358788797587e-10,6.48242870593486e-08,5.60677101115077e-08,5308,"tags=58%, list=34%, signal=39%","Ccna1/H4c14/H4c16/Neil2/H4c1/Pole2/H2ac7/Neil1/Rmi2/Ube2t/H2bu1-ps/Rad9b/Alkbh2/Tipin/H4c4/Rad51ap1/Mutyh/H4c18/Rpa3/Uba52/Ddb2/Pold1/Fen1/Rad51/Dna2/Pole/Mus81/Rad52/Fancc/Xrcc3/Chek1/Cdk2/Ppie/Dtl/Parp2/Gtf2h2/Pcna/Pms2/Mlh1/Poli/Pclaf/Cenps/Sirt6/Eya2/Pole4/Rfc5/Rtel1/Eme1/Fancb/Rad18/Dclre1c/Brip1/Timeless/Rad1/Brcc3/Tdp2/Ube2i/Rad51b/H2bc21/Polr2g/Poll/Cdk7/Tcea1/Rev1/Fancd2/Rbx1/Rfc3/Rad23a/Actl6a/Pot1a/Ube2b/Bard1/Abraxas1/Brca1/Blm/Nthl1/Polb/Neil3/Tinf2/Paxip1/Exo1/Topbp1/Rpa2/Mapk8/Polr2c/Kat5/Mpg/Pold3/Ube2v2/Rfc4/Usp1/Nsd2/Terf1/Cops3/Nbn/Hmgn1/Ercc1/Top3a/Ruvbl1/Mbd4/Ccnh/Cul4b/Rhno1/Fanca/Ung/Brca2/Cops5/Rfc2/Ccna2/Fance/H2ax/Isy1/Pole3/Chek2/Xrcc6/Lig1/Apex1/Gtf2h3/Pold2/Polr2f/Faap20/Gps1/H2az1/Actr8/Trp53/Rnf8/Xrcc4/Polr2j/Sumo2/Cops7a/Fancf/Tdp1/Ercc8/Polr2k/Polr2e/Fanci/Gen1/Ppp4c/Xpa/Polr2i/Ube2n/Clspn/Mgmt/Rif1/Rad51c/Xrcc2/Polr2l/Msh3/Rps27a/Cops6/Mnat1/Cetn2/Mre11a/Cops7b/Gtf2h4/Usp10/Msh6/H2az2/Xab2/Rnf111/Dclre1a/Smarca5/Ino80c/H4c12/Mcrs1/Smug1/Cops2/Sumo1/Rnf4/Fancg/Polr2h/Rbbp8/Xrcc1/Ubxn1/Ufd1/Rad17/Rad23b/H2aj/Tfpt"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",145,0.567552153227628,2.21539507643307,2.32400982098361e-10,6.80934877548197e-08,5.88953015159793e-08,4629,"tags=70%, list=29%, signal=50%","Rps10/Rpl13a/Rpl36al/Ran/Uba52/Nup37/Nup85/Rpl35/Rpl17/Rps18/Rps19/Rps24/Rpl22l1/Rps3/Rpl9/Rpl14/Rps16/Rps25/Rpl35a/Rpl36/Rps14/Rpl24/Rps8/Rpl5/Rpl19/Rps12/Nup133/Rpl12/Rps9/Rpl38/Polr2g/Rps15/Rpl10a/Gtf2f2/Rps27/Nup35/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Cpsf4/Nup155/Rps2/Rps27l/Rpl15/Rpl10/Nup54/Xpo1/Rpl6/Polr2c/Ndc1/Aaas/Rpl27a/Fau/Rpl7/Rpl3/Rps26/Hsp90aa1/Rpl11/Rps15a/Rpl26/Rpl39/Rpl27/Rpl7a/Nup43/Sec13/Rpsa/Calr/Rps7/Rps28/Rps20/Nup107/Seh1l/Rpl37/Rpl29/Rpl37a/Polr2f/Rpl18/Grsf1/Rpl28/Rplp2/Rps4x/Polr2j/Rpl8/Polr2k/Polr2e/Rps23/Rpl23a/Ipo5/Rplp0/Polr2i/Rps6/Polr2l/Nup210/Nupl1/Rps27a/Rpl18a/Rpl31/Nup88"
"REACTOME_SYNTHESIS_OF_DNA","REACTOME_SYNTHESIS_OF_DNA","REACTOME_SYNTHESIS_OF_DNA",118,0.60215337343148,2.28511419712801,3.92840740600529e-10,1.02313188440849e-07,8.84925457773823e-08,5622,"tags=80%, list=36%, signal=52%","Ccna1/Pole2/Gins1/Mcm8/Gins3/Rpa3/Uba52/Pold1/Gins2/Fen1/Orc4/Dna2/Pole/Prim1/Mcm6/Cdc6/Cdc45/Cdk2/Psmd14/Anapc15/Psma3/Pcna/Cdc26/Psmb8/Pole4/Rfc5/Orc6/Psma7/Psmb5/Cdt1/Mcm7/Ccne1/Rbx1/Rfc3/Pola2/Mcm3/Mcm5/Psmc4/Mcm4/Ube2s/Rpa2/Ube2c/Ube2e1/Pold3/Rfc4/Gins4/Psme2/Prim2/Psmc6/Cdc16/Psma6/Psmb4/Rfc2/Ccna2/Psma5/Pole3/Psmd8/Lig1/Pold2/Mcm2/Psmd7/Psmb6/Psmd10/Psmb2/Psmd12/Anapc11/Psmb7/Psme1/Skp2/Psmb3/Psmd6/Rps27a/Psmd4/Anapc16/Psmc3/Psmc2/Psma1/Psmb1/Psmc5/Anapc5/Anapc4/Psmd11/Psma2/Psmd3/Cdc23/Orc2/Cul1/Anapc10/Ccne2/Ubb/Psmc1/Psmd9/Pola1/Psmd13"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",95,0.630863982288385,2.30250734004956,4.45900140142785e-10,1.04518992849469e-07,9.04003863068426e-08,4618,"tags=81%, list=29%, signal=58%","Rps10/Rpl13a/Atf3/Rpl36al/Uba52/Rpl35/Rpl17/Asns/Rps18/Rps19/Rps24/Rpl22l1/Rps3/Rpl9/Rpl14/Rps16/Rps25/Rpl35a/Rpl36/Rps14/Rpl24/Rps8/Rpl5/Rpl19/Rps12/Rpl12/Rps9/Rpl38/Cebpb/Rps15/Rpl10a/Eif2s1/Rps27/Rpl32/Rps11/Rps5/Rpl34/Rpl13/Rps21/Rps13/Rps2/Rps27l/Rpl15/Rpl10/Rpl6/Rpl27a/Fau/Rpl7/Rpl3/Rps26/Rpl11/Rps15a/Rpl26/Rpl39/Rpl27/Rpl7a/Rpsa/Rps7/Rps28/Rps20/Rpl37/Rpl29/Rpl37a/Rpl18/Rpl28/Rplp2/Impact/Rps4x/Rpl8/Rps23/Rpl23a/Rplp0/Ddit3/Rps6/Rps27a/Rpl18a/Rpl31"
