"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM","REACTOME_NEURONAL_SYSTEM",381,-0.521361694572799,-1.87894515221098,3.58122243481973e-13,8.57702773139324e-10,6.85709853572324e-10,2760,"tags=34%, list=16%, signal=29%","Kcnk6/Glra1/Kcnmb1/Grip1/Grin2b/Kcnab1/Slitrk2/Kcnd1/Cacnb4/Kcng2/Slc32a1/Lin7a/Prkcg/Hcn4/Gnb3/Plcb2/Chrna7/Tubb3/Slc6a1/Kcnc1/Prkca/Hcn2/Lrrc7/Syn1/Tuba3a/Gng4/Hcn1/Prkaa2/Gabrq/Ache/Cacna2d2/Chrna1/Gjd2/Syt7/Kcna5/Dlgap3/Maoa/Kcns1/Syt9/Shank1/Kcnj1/Kcnma1/Kcnk2/Syt2/Kcnmb3/Kcnf1/Gabra3/Lin7b/Chrng/Slc6a3/Kcnk9/Lrrtm1/Kcns2/Kcnv1/Kcnk4/Nlgn3/Begain/Lrrc4b/Cacng2/Tubal3/Gabrr2/Gria4/Cacna2d3/Kcnj11/Kcnj5/Chrna9/Chrna6/Kcnn3/Slitrk4/Kcng4/Bche/Kcnk3/Kcnq2/Rasgrf2/Kcnj3/Ppfia3/Snap25/Gabrb3/Gabrg2/Nrxn2/Grik3/Slc1a3/Chrnb4/Glrb/Kcnb1/Lrrtm3/Gabrg3/Cacna1e/Slitrk5/Adcy5/Kcnh3/Ppm1e/Gng3/Grik2/Actn2/Slc18a3/Lrfn2/Kcnc2/Kcna6/Ntrk3/Cacnb2/Slc5a7/Htr3b/Chat/Kcnd2/Ppfia2/Nlgn1/Nefl/Abcc8/Chrna5/Slitrk1/Gnat3/Grik1/Slitrk3/Kcnd3/Kcng1/Kcnj12/Dlgap2/Dlg2/Gria2/Cplx1/Syt10/Kcna1/Kcnq3/Gria1/Rims1/Chrna3/Kcna2/Grin3a/Htr3a"
"WP_MALIGNANT_PLEURAL_MESOTHELIOMA","WP_MALIGNANT_PLEURAL_MESOTHELIOMA","WP_MALIGNANT_PLEURAL_MESOTHELIOMA",423,0.401666240143776,1.82877633284528,2.31044502632512e-12,2.76675791902433e-09,2.21194710678179e-09,2641,"tags=27%, list=15%, signal=24%","Cxcl5/Wnt10a/Cxcl3/Cxcl2/Cxcl1/Notum/Wif1/Wnt7b/Fgf3/Csf3/Dkk2/Wnt7a/Cdkn2a/Mmp9/Sele/Wnt16/Wnt6/Sox17/Fgf20/Mmp3/Il1b/Il6/Lef1/Ccl2/Wnt3/Angpt2/Nlrp3/Tcf7/Fzd10/Angpt4/Csf2/Dsc3/Ajuba/Tead2/Lamc2/Hgf/Sfrp2/Lama1/Lama5/Lama3/Amot/Mmp14/Pgf/Cdh13/Map4k4/Fgf23/Cdh3/Cdh22/Hif1a/Plau/Vgll4/Fzd6/Wnt10b/Btc/Ntf5/Ccnd1/Cdh5/Wnt5a/Fn1/Fgf14/Itgav/Hmgn1/Tead4/Fosl1/Pdgfb/Fgf22/Efna4/Csnk1e/Col4a1/Fzd1/Igf1/Cxcl10/Uhrf1/Cdh24/Col4a2/Slc7a5/Cdk4/Wwtr1/Tnik/Adamts1/Tead1/Tert/Itgb3/Csf1/Rps6/Lrp5/Igf2/Itgb2/Myc/Lamc1/Mad1l1/Tgfb1/Vegfc/Fzd7/Pdgfd/Mad2l1/Pak6/Dkk4/Ccl4/Il34/Bard1/Pak3/Pdgfra/Bmi1/Itga6/Ezh2/Jun/Pdgfrb/Cd44/Dvl2/Atm/Fgf7/Ccne1/Rbbp4/Actg1"
"REACTOME_MITOTIC_PROMETAPHASE","REACTOME_MITOTIC_PROMETAPHASE","REACTOME_MITOTIC_PROMETAPHASE",196,0.497524532733243,2.13930868851211,2.83288766125646e-11,1.98716976181304e-08,1.58868774716533e-08,5377,"tags=58%, list=30%, signal=41%","Tubb2b/Tubb4a/Tubb1/Ninl/Tubb5/Cep72/Tuba1b/Cep78/Tuba8/Rcc2/Haus6/Cenpp/Csnk1e/Kntc1/Tubb6/Ccnb1/Prkar2b/Tuba1a/Cenpm/Tubg1/Clasp1/Bub1b/Ncapg/Bub1/Smc2/Cenps/Ccp110/Mad1l1/Nup107/Mad2l1/Tuba1c/Ncaph/Nup43/Cenpi/Nup133/Kif18a/Ywhag/Ercc6l/Zwilch/Haus4/B9d2/Aurkb/Haus2/Plk4/Kif2c/Cep290/Incenp/Mzt1/Cdc20/Cep192/Xpo1/Ofd1/Ncapd2/Ppp2r1b/Dsn1/Cdca5/Cenph/Nme7/Cdk5rap2/Nsl1/Tubgcp2/Nup160/Ndc80/Nedd1/Cdk1/Seh1l/Ckap5/Cdca8/Nde1/Cep57/Spdl1/Bub3/Ppp2cb/Cep76/Alms1/Knl1/Eml4/Ppp1cc/Tuba4a/Ssna1/Cep135/Nuf2/Tubgcp5/Cenpf/Pds5b/Haus3/Odf2/Sgo1/Sgo2a/Nup37/Haus7/Ska1/Nudc/Ska2/Ccnb2/Ranbp2/Clasp2/Nup85/Csnk1d/Pcm1/Mapre1/Cetn2/Smc4/Cenpn/Tubb2a/Smc3/Cep70/Haus1/Stag1/Nup98/Hsp90aa1/Rangap1/Cenpk"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",440,0.385906324115503,1.78307790337213,3.31886390281927e-11,1.98716976181304e-08,1.58868774716533e-08,2366,"tags=23%, list=13%, signal=21%","Cxcl3/Cxcl2/Cxcl1/Csf3/Osm/Lcn2/Il11/Il23a/Il1a/Mmp9/Fpr1/Il36g/Mmp3/Il1b/Il6/Il17c/Dusp4/Ptgs2/Muc1/Il1r2/Ccl2/Serpinb2/Ptprz1/Il17a/Alox15/Ccl20/Csf2/Il33/Irs1/Icam1/Tnf/H3c10/Il1rl1/Csf3r/Hgf/Timp1/Mtap/Il5ra/Il18rap/Nos2/Lama5/Fscn1/Il17f/Ccl3/Socs3/H3c8/Il20ra/H3c2/Hif1a/Lif/Gsta5/Hmox1/Il18/Anxa1/Il1rn/Psma8/Rps6ka2/Havcr2/Ccnd1/Vim/Il27/Fn1/H3c3/Il36a/Stx1a/Il13ra2/Ccl22/H3c7/Mif/Ptpn13/F13a1/Ccr1/H3c1/S1pr1/Map3k8/Cd80/Osmr/Ptpn4/Il12b/Il23r/Ppia/Cxcl10/Csf2rb2/App/Hnrnpf/Cd86/Il20rb/Clcf1/Il1rl2/Csf1/Itgb2/Lbp/Myc/Tgfb1/Cebpd/Smad3/Il3ra/Ccl4/Il34/Dusp7/Sdc1/Lmnb1"
"REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE","REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE",75,0.671362088968383,2.48328260286293,6.31520879070875e-11,2.59586834344678e-08,2.07532557597174e-08,1491,"tags=44%, list=8%, signal=40%","Krt36/Krt35/Casp14/Krt4/Krt15/Dsg4/Krt6a/Tgm1/Krt14/Krt13/Krt16/Krt34/Krt23/Krt32/Ivl/Dsc3/Tgm5/Krt33b/Krt17/Lor/Krt75/Krt39/Pkp1/Krt6b/Krt33a/Krt86/Tchh/Ppl/Krt83/Pcsk6/Rptn/Lipk/Krt7"
"REACTOME_M_PHASE","REACTOME_M_PHASE","REACTOME_M_PHASE",388,0.398074200293309,1.8203065684006,6.50321923201699e-11,2.59586834344678e-08,2.07532557597174e-08,5377,"tags=50%, list=30%, signal=36%","H2ac4/Tubb2b/H2ac13/H3c10/Tubb4a/H4c18/Tubb1/H3c8/H3c2/Ninl/Tubb5/Cep72/Psma8/Tuba1b/Cep78/H2bc3/Tuba8/H3c3/Kif20a/H2az1/H3c7/Rcc2/Haus6/Ncapg2/Mastl/Cenpp/H3c1/Csnk1e/Kntc1/Tubb6/Ccnb1/Prkar2b/H2bc14/Tuba1a/H3f3a/Nup188/Tnpo1/Cenpm/Ran/Tubg1/Clasp1/Bub1b/Ncapg/Bub1/Smc2/Cenps/Ccp110/Mad1l1/H2aj/Nup107/Mad2l1/Nup155/Ube2e1/Tuba1c/Ncaph/Nup43/Cenpi/Nup93/Lmnb1/Nup133/Kif18a/Ywhag/Ercc6l/H3f3b/H2bc8/Zwilch/Ube2i/H3c11/Haus4/Nup205/B9d2/Tmpo/Anapc4/Nup153/Aurkb/Haus2/Mcph1/Fbxo5/Plk4/Kif2c/Espl1/Cep290/Incenp/Set/Psmd1/Mzt1/Cdc20/Cep192/Xpo1/Ncapd3/Kif23/Cdc23/Anapc15/H4c1/Ofd1/Ncapd2/Nup214/Ppp2r1b/Dsn1/Anapc7/Cdca5/Cenph/Nme7/Cdk5rap2/Nsl1/Tubgcp2/Nup160/Ndc80/Nedd1/Cdc27/Nup62/Cdk1/Kpnb1/H4c12/Lemd3/Nup54/Seh1l/Psmb5/Ckap5/Cdca8/Nde1/Cep57/Cdc16/Rcc1/Spdl1/Bub3/Ppp2cb/Aaas/Nup35/Vrk1/Psme4/Cep76/Tpr/Alms1/Knl1/Eml4/Ppp1cc/H2az2/Nup210/Tuba4a/Ssna1/Cep135/Nuf2/Tubgcp5/Cenpf/Ndc1/Psmb7/Pds5b/Haus3/Emd/Psmd2/Odf2/Psma7/Sgo1/Sgo2a/Nup37/Haus7/Ska1/Anapc10/Ube2d1/Anapc16/Nudc/Ska2/Ccnb2/Ranbp2/Spast/Rae1/Clasp2/Nup85/Psmd14/Csnk1d/Psma1/Pcm1/H4c17/Mapre1/H2ax/Cetn2/Lpin1/Anapc1/Smc4/Cenpn/Tubb2a/Smc3/Cep70/Haus1/Psmd7/Stag1/Ankle2/Psmd3/Nup98/Hsp90aa1/Rangap1/Psmd6/Cenpk"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",196,0.482302431492335,2.07385508512257,2.55703659414203e-10,8.74871806138593e-08,6.99436024773586e-08,5812,"tags=63%, list=33%, signal=43%","Csnk1e/Rpl27/Rpl15/Nhp2/Rcl1/Fbl/Rps6/Ddx21/Utp18/Snu13/Nip7/Ncl/Xrn2/Utp4/Ltv1/Dimt1/Noc4l/Wdr3/Trmt112/Pes1/Gar1/Tex10/Las1l/Ftsj3/Riok2/Rpl3/Wdr43/Rpl10a/Rps2/Rpl23a/Nol11/Pdcd11/Rplp0/Heatr1/Wdr46/Wdr75/Dkc1/Utp15/Wdr12/Dis3/Thumpd1/Nop56/Tbl3/Pwp2/Rps23/Rbm28/Rpl27a/Tsr1/Nop2/Rpl34/Nop14/Prorp/Rpl6/Dhx37/Nop58/Rpl7/Rpp38/Rpl13/Rps15a/Pelp1/Mtrex/Rpsa/Bop1/Bysl/Pno1/Rpl31/Eri1/Rrp1/Rpl5/Bms1/Rpl36/Rpl10/Imp3/Rps12/Rps9/Wdr18/Ddx49/Utp3/Krr1/Rpl12/Nob1/Exosc4/Rpp40/Rps18/Utp6/Exosc1/Exosc2/Tsr3/Utp14a/Ddx52/Rps3/Utp25/Csnk1d/Rpl11/Isg20l2/Rpl30/Rpp25/Rrp9/Rps20/Wdr36/Rps16/Rpl39/Nol9/Exosc8/Rpl26/Rps14/Rpl35a/Exosc5/Rps7/Nop10/Riok1/Rpl37/Exosc9/Gnl3/Rpl29/Rps3a1/Exosc3/Mphosph10/Rpl4/Ebna1bp2/Rpl8/Rps5/Rpl32/Rpl9"
"REACTOME_KERATINIZATION","REACTOME_KERATINIZATION","REACTOME_KERATINIZATION",82,0.63670959490675,2.3934066981467,3.79201719179847e-10,1.13523514679467e-07,9.07589377879134e-08,1491,"tags=41%, list=8%, signal=38%","Krt36/Krt35/Casp14/Krt4/Krt15/Dsg4/Krt6a/Tgm1/Krt14/Krt13/Krt16/Krt34/Krt23/Krt32/Ivl/Dsc3/Tgm5/Krt33b/Krtap3-3/Krt17/Lor/Krt75/Krt39/Pkp1/Krt6b/Krt33a/Krt86/Tchh/Ppl/Krt83/Pcsk6/Rptn/Lipk/Krt7"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",43,0.761104098656734,2.57142732078903,7.99277384634767e-10,2.12696592911141e-07,1.70045095046859e-07,2073,"tags=63%, list=12%, signal=56%","Cxcl3/Cxcl2/Cxcl1/Csf3/Il1a/Fpr1/Il1b/Il6/Ptgs2/Il1r2/Ccl2/Ccl20/Csf2/Icam1/Tnf/Timp1/Ccl3/Lif/Il18/Il1rn/Ccl22/Ccr1/Cd80/Il12b/Cxcl10/Cd86/Csf1"
"WP_BURN_WOUND_HEALING","WP_BURN_WOUND_HEALING","WP_BURN_WOUND_HEALING",94,0.594316017131871,2.28617113691326,1.63373005579786e-09,3.56800991940855e-07,2.85252611511006e-07,1509,"tags=32%, list=9%, signal=29%","S100a9/Cxcl3/Cxcl2/Cxcl1/Cxcr2/Inhba/Mmp13/Krt6a/Il1a/Mmp9/Adam12/Mmp3/Il1b/Il6/Ccl2/Icam1/Tnf/Hgf/Timp1/Sfrp2/Slurp1/Scel/Tlr8/Nox4/Lin28a/Vim/Fn1/Col1a1/S100a11/F13a1"
