Sample,Group,Size,Grouping
BW10,NT,Large,NT_Large
BW12,NT,Large,NT_Large
BW13,NT,Large,NT_Large
BW1,NT,Large,NT_Large
BW2,NT,Large,NT_Large
BW3,NT,Large,NT_Large
BW4,NT,Large,NT_Large
BW5,NT,Large,NT_Large
BW6,NT,Large,NT_Large
BW7,NT,Large,NT_Large
BW8,NT,Large,NT_Large
BW9,NT,Large,NT_Large
K10.LCL9055,KO,Small,KO_Small
K12.LCL9056,KO,Small,KO_Small
K13.LCL9057,KO,Small,KO_Small
K15.LCL9058,KO,Small,KO_Small
K16.LCL9059,KO,Small,KO_Small
K17.LCL9060,KO,Small,KO_Small
K18.LCL9061,KO,Small,KO_Small
K6.LCL9048,KO,Large,KO_Large
K7.LCL9049,KO,Large,KO_Large
K8.LCL9051,KO,Large,KO_Large
K9.LCL9050,KO,Large,KO_Large
K19.LCL9052,KO,Large,KO_Large
K20.LCL9053,KO,Large,KO_Large
K21.LCL9054,KO,Large,KO_Large
W11.LCL9041,WT,Small,WT_Small
W12.LCL9042,WT,Small,WT_Small
W16.LCL9043,WT,Small,WT_Small
W17.LCL9044,WT,Small,WT_Small
W18.LCL9045,WT,Small,WT_Small
W19.LCL9046,WT,Small,WT_Small
W20.LCL9047,WT,Small,WT_Small
W1.LCL9034,WT,Large,WT_Large
W2.LCL9035,WT,Large,WT_Large
W3.LCL9036,WT,Large,WT_Large
W4.LCL9037,WT,Large,WT_Large
W6.LCL9038,WT,Large,WT_Large
W8.LCL9039,WT,Large,WT_Large
W10.LCL9040,WT,Large,WT_Large
